,count,mean,std,min,1%,25%,50%,75%,99%,max,missing,missing%,non_null
brent_price,1043.0,76.93200383509107,23.82155836039774,15.87,31.2482,60.345,73.94,94.86,127.08299999999994,143.95,0,0.0,1043
crude_stocks_change,1043.0,112.52253116011505,4706.787362178624,-17049.0,-10933.02,-2989.0,234.0,2857.5,13816.559999999998,21563.0,0,0.0,1043
global_econ_activity,1038.0,1.1910656859499025,68.8988912815739,-161.6111,-138.90258,-45.750456,-7.4581708,39.580008,186.94403,189.21109,5,0.5,1038
nonoil_industrial_commodity,1038.0,142.95597907489804,28.979366039016202,87.69734488791202,90.70561144991318,120.1975915634108,144.3996215648228,162.5323684884452,210.746608215434,221.1416278011332,5,0.5,1038
futures_spread,960.0,0.008428438248650711,0.03510631355332706,-0.1041141515111299,-0.04867374340243138,-0.0060509054569530245,0.00435213854102385,0.017015920421023876,0.10807046768943594,0.4421857578281356,83,8.0,960
ovx,973.0,37.95607398739821,15.913382406868225,14.5,16.67720024108887,29.3700008392334,34.939998626708984,42.939998626708984,93.05840270996092,190.0800018310547,70,6.7,973
gpr,1042.0,100.99844965870687,30.595863632608786,58.42076873779297,64.15979766845703,81.59033203125,92.4458236694336,111.95289611816406,216.1590118408203,318.9549255371094,1,0.1,1042
dgs10_change,1042.0,-0.0002303262955854103,0.12007660347824353,-0.52,-0.3018,-0.0799999999999998,-0.0099999999999997,0.0700000000000002,0.3258999999999991,0.4700000000000006,1,0.1,1042
gold_return,1042.0,0.0020415212020738712,0.02432672585827595,-0.101315691735904,-0.07123250774941858,-0.0109305484111707,0.0035124278425645,0.0162209410269724,0.06074460074180559,0.1239167158570007,1,0.1,1042
commodity_fx,1042.0,-5.1454318362056755e-06,0.013553174714466472,-0.1281004127212441,-0.040871766260893894,-0.00720425182204505,7.492775469039592e-05,0.00759552789550765,0.034629475426991414,0.0666562879931323,1,0.1,1042
ntl_anomaly_rotterdam,578.0,-0.3367186783575276,0.8811601204611726,-1.1882731436906564,-1.149246246986894,-0.9649953616763067,-0.7594226602525784,0.033284325963874,1.8596686324280072,2.2701766315467107,465,44.6,578
ntl_anomaly_fujairah,578.0,0.6647779804233882,1.2141678054962766,-3.932688858130462,-2.421713882484186,-0.01323875247303375,0.8314564539244278,1.4790750163053283,2.9918720250416726,3.3160641308682215,465,44.6,578
ntl_anomaly_ras_tanura,578.0,0.863922766618318,1.0086729837584774,-1.018415870420278,-0.788142538101315,0.013223827879076326,0.812164515084542,1.617656436725965,3.316668933419508,3.3243245073169616,465,44.6,578
ntl_anomaly_us_gulf,578.0,-0.10016017725009771,1.0354212616562866,-2.5607182697184867,-2.3622394483828133,-0.4872701159926814,-0.1716400848396432,0.1106535185008274,2.8074121630976663,8.377251519168743,465,44.6,578
ntl_anomaly_ningbo,578.0,1.0394522202220537,1.2094180478875596,-3.5085831294868504,-2.296867951821125,0.28827481236204267,1.34853330497924,1.865913113386313,3.2594580005109757,3.3985744936156372,465,44.6,578
pw_hormuz_n_tanker,365.0,374.15890410958906,56.03430031670368,168.0,247.92,336.0,382.0,417.0,468.08000000000004,483.0,678,65.0,365
pw_hormuz_capacity_tanker,365.0,17804985.189041097,3452298.0223998106,6092439.0,8188725.64,16173463.0,18672908.0,20030033.0,23489342.200000003,24573857.0,678,65.0,365
pw_suez_n_tanker,365.0,122.92876712328767,30.858777401358733,63.0,79.92,101.0,114.0,140.0,198.72000000000003,206.0,678,65.0,365
pw_suez_capacity_tanker,365.0,5748691.42739726,1737796.186789621,2330186.0,3003206.04,4456656.0,5319856.0,6785537.0,10132152.280000001,10791753.0,678,65.0,365
pw_malacca_n_tanker,365.0,525.6575342465753,66.98368244343973,271.0,382.56,464.0,551.0,581.0,625.36,647.0,678,65.0,365
pw_malacca_capacity_tanker,365.0,22395174.9369863,3104929.58052529,14198331.0,15519404.2,20032868.0,22625481.0,24745809.0,28198475.480000004,30438853.0,678,65.0,365
pw_all_n_tanker_sum,365.0,1322.0904109589042,136.86644264421938,667.0,1097.76,1198.0,1335.0,1425.0,1573.88,1631.0,678,65.0,365
target_brent_price_next_1w,1042.0,76.94592130518235,23.828754491179552,15.87,31.2411,60.3375,73.945,94.97,127.09149999999993,143.95,1,0.1,1042
target_brent_vol_next_1w,1042.0,0.019886972496201243,0.018692939953859195,0.0023428340786625,0.004034371512190842,0.011095951895566076,0.0166902275638469,0.0235294363593766,0.06713958884847576,0.3879251465620421,1,0.1,1042
target_brent_direction_next_1w,1042.0,0.06238003838771593,0.947693138028487,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1,0.1,1042
