feature,target,corr,abs_corr,n_obs,modality
brent_price,target_brent_price_next_1w,0.9891479599938602,0.9891479599938602,1042,M1
nonoil_industrial_commodity,target_brent_price_next_1w,0.6787142546188372,0.6787142546188372,1037,M1
pw_all_n_tanker_sum,target_brent_price_next_1w,0.6208710576841551,0.6208710576841551,364,M3
ovx,target_brent_vol_next_1w,0.6192431586016277,0.6192431586016277,972,M1
pw_malacca_n_tanker,target_brent_price_next_1w,0.5446265223712248,0.5446265223712248,364,M3
pw_hormuz_n_tanker,target_brent_price_next_1w,0.5414571615308944,0.5414571615308944,364,M3
futures_spread,target_brent_vol_next_1w,0.5196830045666231,0.5196830045666231,959,M1
pw_hormuz_capacity_tanker,target_brent_price_next_1w,0.4777844775562517,0.4777844775562517,364,M3
futures_spread,target_brent_price_next_1w,-0.4133387653866378,0.4133387653866378,959,M1
ovx,target_brent_price_next_1w,-0.39050256121715826,0.39050256121715826,972,M1
pw_malacca_capacity_tanker,target_brent_price_next_1w,0.3888238977946002,0.3888238977946002,364,M3
ntl_anomaly_rotterdam,target_brent_price_next_1w,-0.36307161123868126,0.36307161123868126,577,M2
pw_suez_n_tanker,target_brent_price_next_1w,0.3604851986632054,0.3604851986632054,364,M3
ntl_anomaly_ras_tanura,target_brent_price_next_1w,0.3572427608305741,0.3572427608305741,577,M2
pw_suez_capacity_tanker,target_brent_price_next_1w,0.3238056305864034,0.3238056305864034,364,M3
ntl_anomaly_ningbo,target_brent_price_next_1w,0.3122415250378483,0.3122415250378483,577,M2
brent_price,target_brent_vol_next_1w,-0.2937623825482293,0.2937623825482293,1042,M1
global_econ_activity,target_brent_price_next_1w,0.26561545928132113,0.26561545928132113,1037,M1
crude_stocks_change,target_brent_vol_next_1w,0.21299227319399777,0.21299227319399777,1042,M1
ntl_anomaly_us_gulf,target_brent_price_next_1w,0.19409603708176315,0.19409603708176315,577,M2
nonoil_industrial_commodity,target_brent_vol_next_1w,-0.1518088643014505,0.1518088643014505,1037,M1
pw_malacca_n_tanker,target_brent_vol_next_1w,-0.11493279643959667,0.11493279643959667,365,M3
pw_hormuz_n_tanker,target_brent_vol_next_1w,-0.11356845010658824,0.11356845010658824,365,M3
pw_malacca_n_tanker,target_brent_direction_next_1w,-0.09485087712591274,0.09485087712591274,364,M3
pw_malacca_capacity_tanker,target_brent_direction_next_1w,-0.09450977835563298,0.09450977835563298,364,M3
