modality,site_id,site_name,site_type,index,n_total,n_valid,coverage,mean,std,mean_cloud_prob,mean_valid_obs
S2,P005,Houston Ship Channel,port,BSI,84,84,1.0,0.0204,0.0286,10.96,92.31
S2,P005,Houston Ship Channel,port,NDBI,84,84,1.0,-0.0387,0.0298,10.96,92.31
S2,P005,Houston Ship Channel,port,NDVI,84,84,1.0,0.2213,0.0379,10.96,92.31
S2,P005,Houston Ship Channel,port,NDWI,84,84,1.0,-0.2251,0.0268,10.96,92.31
S2,P006,Ningbo-Zhoushan Port,port,BSI,84,81,0.964,-0.0622,0.0264,7.36,92.31
S2,P006,Ningbo-Zhoushan Port,port,NDBI,84,81,0.964,-0.3801,0.1336,7.36,92.31
S2,P006,Ningbo-Zhoushan Port,port,NDVI,84,81,0.964,-0.001,0.0781,7.36,92.31
S2,P006,Ningbo-Zhoushan Port,port,NDWI,84,81,0.964,-0.0165,0.1048,7.36,92.31
S2,P001,Port of Rotterdam,port,BSI,84,82,0.976,-0.0849,0.0569,11.36,92.31
S2,P001,Port of Rotterdam,port,NDBI,84,82,0.976,-0.0711,0.0778,11.36,92.31
S2,P001,Port of Rotterdam,port,NDVI,84,82,0.976,0.1658,0.0996,11.36,92.31
S2,P001,Port of Rotterdam,port,NDWI,84,82,0.976,-0.0973,0.1003,11.36,92.31
S2,P007,Jamnagar Refinery,refinery,BSI,84,80,0.952,0.0686,0.058,15.79,92.31
S2,P007,Jamnagar Refinery,refinery,NDBI,84,80,0.952,0.0194,0.0551,15.79,92.31
S2,P007,Jamnagar Refinery,refinery,NDVI,84,80,0.952,0.2437,0.0953,15.79,92.31
S2,P007,Jamnagar Refinery,refinery,NDWI,84,80,0.952,-0.2998,0.0784,15.79,92.31
S2,P004,Singapore Jurong Island,refinery,BSI,84,78,0.929,-0.0417,0.0418,9.51,92.31
S2,P004,Singapore Jurong Island,refinery,NDBI,84,78,0.929,0.0188,0.0396,9.51,92.31
S2,P004,Singapore Jurong Island,refinery,NDVI,84,78,0.929,-0.0084,0.0433,9.51,92.31
S2,P004,Singapore Jurong Island,refinery,NDWI,84,78,0.929,0.1015,0.0674,9.51,92.31
S2,P009,Ulsan Refinery,refinery,BSI,84,81,0.964,-0.0795,0.0419,10.48,92.31
S2,P009,Ulsan Refinery,refinery,NDBI,84,81,0.964,-0.0738,0.0364,10.48,92.31
S2,P009,Ulsan Refinery,refinery,NDVI,84,81,0.964,0.1983,0.0948,10.48,92.31
S2,P009,Ulsan Refinery,refinery,NDWI,84,81,0.964,-0.141,0.1077,10.48,92.31
S2,P008,Basra Oil Terminal,terminal,BSI,84,83,0.988,-0.3076,0.1625,4.03,92.31
S2,P008,Basra Oil Terminal,terminal,NDBI,84,83,0.988,0.037,0.206,4.03,92.31
S2,P008,Basra Oil Terminal,terminal,NDVI,84,83,0.988,-0.2452,0.1964,4.03,92.31
S2,P008,Basra Oil Terminal,terminal,NDWI,84,83,0.988,0.5761,0.2288,4.03,92.31
S2,P002,Fujairah Oil Terminal,terminal,BSI,84,84,1.0,0.0312,0.051,9.69,92.31
S2,P002,Fujairah Oil Terminal,terminal,NDBI,84,84,1.0,0.0672,0.0342,9.69,92.31
S2,P002,Fujairah Oil Terminal,terminal,NDVI,84,84,1.0,0.0018,0.0321,9.69,92.31
S2,P002,Fujairah Oil Terminal,terminal,NDWI,84,84,1.0,0.0128,0.0707,9.69,92.31
S2,P010,Kharg Island Terminal,terminal,BSI,84,84,1.0,-0.1103,0.1371,7.72,92.31
S2,P010,Kharg Island Terminal,terminal,NDBI,84,84,1.0,0.0058,0.0892,7.72,92.31
S2,P010,Kharg Island Terminal,terminal,NDVI,84,84,1.0,-0.0517,0.083,7.72,92.31
S2,P010,Kharg Island Terminal,terminal,NDWI,84,84,1.0,0.1648,0.185,7.72,92.31
S2,P003,Ras Tanura Terminal,terminal,BSI,84,84,1.0,-0.2475,0.1211,4.87,92.31
S2,P003,Ras Tanura Terminal,terminal,NDBI,84,84,1.0,-0.0007,0.0883,4.87,92.31
