emb_row,site_id,site_name,site_type,month,year,obs_month_start,mean_cloud,n_scenes,patch_px,filename,sensor,emb_model,emb_dim,emb_ok
0,P001,Rotterdam,port,2019_01,2019,2019-01-01,38.643684,1,640,S2_P001_Rotterdam_2019_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
1,P001,Rotterdam,port,2019_02,2019,2019-02-01,19.004349666666663,3,640,S2_P001_Rotterdam_2019_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
2,P001,Rotterdam,port,2019_03,2019,2019-03-01,31.748948,3,640,S2_P001_Rotterdam_2019_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
3,P001,Rotterdam,port,2019_04,2019,2019-04-01,10.6559575,4,640,S2_P001_Rotterdam_2019_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
4,P001,Rotterdam,port,2019_05,2019,2019-05-01,42.57456025,4,640,S2_P001_Rotterdam_2019_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
5,P001,Rotterdam,port,2019_06,2019,2019-06-01,28.959044333333328,3,640,S2_P001_Rotterdam_2019_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
6,P001,Rotterdam,port,2019_07,2019,2019-07-01,4.557695333333333,3,640,S2_P001_Rotterdam_2019_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
7,P001,Rotterdam,port,2019_08,2019,2019-08-01,17.9651475,2,640,S2_P001_Rotterdam_2019_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
8,P001,Rotterdam,port,2019_09,2019,2019-09-01,44.89498766666667,3,640,S2_P001_Rotterdam_2019_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
9,P001,Rotterdam,port,2019_10,2019,2019-10-01,56.711099,2,640,S2_P001_Rotterdam_2019_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
10,P001,Rotterdam,port,2019_11,2019,2019-11-01,24.316852,3,640,S2_P001_Rotterdam_2019_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
11,P001,Rotterdam,port,2019_12,2019,2019-12-01,28.30134125,4,640,S2_P001_Rotterdam_2019_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
12,P001,Rotterdam,port,2020_01,2020,2020-01-01,37.723726,1,640,S2_P001_Rotterdam_2020_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
13,P001,Rotterdam,port,2020_02,2020,2020-02-01,35.366998,4,640,S2_P001_Rotterdam_2020_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
14,P001,Rotterdam,port,2020_03,2020,2020-03-01,24.27063766666667,6,640,S2_P001_Rotterdam_2020_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
15,P001,Rotterdam,port,2020_04,2020,2020-04-01,17.144919199999997,5,640,S2_P001_Rotterdam_2020_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
16,P001,Rotterdam,port,2020_05,2020,2020-05-01,12.6711364,5,640,S2_P001_Rotterdam_2020_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
17,P001,Rotterdam,port,2020_06,2020,2020-06-01,28.156538666666663,3,640,S2_P001_Rotterdam_2020_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
18,P001,Rotterdam,port,2020_07,2020,2020-07-01,45.354039,4,640,S2_P001_Rotterdam_2020_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
19,P001,Rotterdam,port,2020_08,2020,2020-08-01,46.791997333333335,3,640,S2_P001_Rotterdam_2020_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
20,P001,Rotterdam,port,2020_09,2020,2020-09-01,12.989922666666669,3,640,S2_P001_Rotterdam_2020_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
21,P001,Rotterdam,port,2020_10,2020,2020-10-01,47.509268,1,640,S2_P001_Rotterdam_2020_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
22,P001,Rotterdam,port,2020_12,2020,2020-12-01,37.169701,2,640,S2_P001_Rotterdam_2020_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
23,P001,Rotterdam,port,2021_01,2021,2021-01-01,37.715528,2,640,S2_P001_Rotterdam_2021_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
24,P001,Rotterdam,port,2021_02,2021,2021-02-01,40.17561533333333,3,640,S2_P001_Rotterdam_2021_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
25,P001,Rotterdam,port,2021_03,2021,2021-03-01,22.6017268,5,640,S2_P001_Rotterdam_2021_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
26,P001,Rotterdam,port,2021_04,2021,2021-04-01,26.794369250000003,4,640,S2_P001_Rotterdam_2021_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
27,P001,Rotterdam,port,2021_05,2021,2021-05-01,23.5814505,2,640,S2_P001_Rotterdam_2021_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
28,P001,Rotterdam,port,2021_06,2021,2021-06-01,16.598044666666667,3,640,S2_P001_Rotterdam_2021_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
29,P001,Rotterdam,port,2021_07,2021,2021-07-01,19.31915533333333,3,640,S2_P001_Rotterdam_2021_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
30,P001,Rotterdam,port,2021_08,2021,2021-08-01,36.5592845,4,640,S2_P001_Rotterdam_2021_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
31,P001,Rotterdam,port,2021_09,2021,2021-09-01,26.592244,2,640,S2_P001_Rotterdam_2021_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
32,P001,Rotterdam,port,2021_10,2021,2021-10-01,41.230046,1,640,S2_P001_Rotterdam_2021_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
33,P001,Rotterdam,port,2021_11,2021,2021-11-01,24.930755,2,640,S2_P001_Rotterdam_2021_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
34,P001,Rotterdam,port,2021_12,2021,2021-12-01,16.286629333333334,3,640,S2_P001_Rotterdam_2021_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
35,P001,Rotterdam,port,2022_01,2022,2022-01-01,40.18846133333333,3,640,S2_P001_Rotterdam_2022_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
36,P001,Rotterdam,port,2022_02,2022,2022-02-01,17.501621,1,640,S2_P001_Rotterdam_2022_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
37,P001,Rotterdam,port,2022_03,2022,2022-03-01,5.767146250000001,4,640,S2_P001_Rotterdam_2022_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
38,P001,Rotterdam,port,2022_04,2022,2022-04-01,41.91786666666667,3,640,S2_P001_Rotterdam_2022_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
39,P001,Rotterdam,port,2022_05,2022,2022-05-01,18.494089,1,640,S2_P001_Rotterdam_2022_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
40,P001,Rotterdam,port,2022_06,2022,2022-06-01,18.376784,2,640,S2_P001_Rotterdam_2022_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
41,P001,Rotterdam,port,2022_07,2022,2022-07-01,5.6703225,4,640,S2_P001_Rotterdam_2022_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
42,P001,Rotterdam,port,2022_08,2022,2022-08-01,26.914585,5,640,S2_P001_Rotterdam_2022_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
43,P001,Rotterdam,port,2022_09,2022,2022-09-01,44.890045333333326,3,640,S2_P001_Rotterdam_2022_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
44,P001,Rotterdam,port,2022_11,2022,2022-11-01,37.9250305,2,640,S2_P001_Rotterdam_2022_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
45,P001,Rotterdam,port,2022_12,2022,2022-12-01,33.7401675,4,640,S2_P001_Rotterdam_2022_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
46,P001,Rotterdam,port,2023_01,2023,2023-01-01,29.149425,1,640,S2_P001_Rotterdam_2023_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
