,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
Hormuz tanker cap.,0.0784954231891224,-0.053396023878368934,0.03812860900515,-0.07480162320132608,-0.011491635784914066,-0.061681822703839304,0.06962746300380533,0.008381002917509489,-0.07778488297192239,0.014542958862023492,-0.03236658894434929,-0.02539536246469665,0.0773622423064942,0.010709180693944354,-0.14759317084046036,-0.02446169033437856,0.09048970383034044
Suez tanker cap.,0.04316968990230046,-0.08453173546716765,0.0049933003931877705,0.008375741282438884,-0.08703383696083758,0.014661153363114274,-0.007117611234141469,-0.03784030529684091,-0.03686298553809664,0.14280071880249312,-0.09307811045592468,0.04149215118649006,0.01572873765098772,-0.06261273867884583,0.07735715279456888,-0.014983431074580921,0.023288449064729353
Malacca tanker cap.,-0.013267380561417989,0.002267830978154128,-0.027925316605683308,-0.011611886733620862,-0.00753333327118229,0.016771208488899438,-0.04819163578719261,0.07080380427843865,0.018219788257408543,-0.07480104473663278,0.01890684401999947,0.054279089963742706,-0.007897486482648286,-0.03956866180777315,0.0030382378313001113,0.030790426778612066,0.02319761258068773
Bab el-Mandeb tanker cap.,-0.08954902264305906,0.007676997867072336,-0.003836947317807321,-0.0023037731563936726,-0.01833954207996639,-0.05432077951409983,0.03310891346839159,-0.06762885374706594,0.018914105396282296,0.01592203041662463,0.0011618234968975133,0.0570122818212424,-0.026721696834263915,0.004492420552525948,-0.03322316820439007,0.010966800970861562,0.015405263956725231
Cape tanker cap.,0.07956636679057982,0.0027923560065949665,-0.06730499714919082,-0.05152105144173478,-0.03303124766466472,0.042576692070111596,-0.014756489397878658,0.026248334450656306,0.002331958699983957,-0.03902632773816215,0.002601343393810302,0.029653942037019685,0.04226938274150062,-0.015299284628031961,0.023116142800126395,-0.03820564987129818,0.009067952760295322
All-choke tanker transits,0.08004044601746313,-0.06672590173650281,0.09941924031837569,-0.04645578577970777,-0.026675935545436055,-0.09324821477420192,0.04884571178414224,0.07492618798610212,-0.06135683872359423,0.050779666296551736,-0.026114003342311246,0.06033595982830606,0.042070492600730695,0.0677797802201159,-0.08581174286467794,0.06509654399008168,0.01845254853218422
Export-hub tanker vol.,0.11272395486726958,-0.06581973256393346,0.02681966083763335,0.02854296503781664,0.008041748889272003,-0.013418406308985394,-0.04529534659825868,0.025043707924950726,-0.06598991402696568,0.004018599407958901,0.03642616481414396,-0.06012205477377214,0.011907460390392163,0.025955918956420427,-0.017347829738835006,0.03991426535179399,-0.03365038098100238
Import-hub tanker vol.,-0.017098715395783573,0.04391762566235799,-0.05270372243058209,0.07997866840958542,-0.07665335027677365,-0.02946426806461981,0.11478351486247512,-0.05698817707914198,0.05832898160864956,-0.02128147474684696,-0.05309119032189181,0.06568475825604932,0.03920194313237728,-0.04705793880721626,0.021242506005276128,-0.027294801805869098,0.0026972862249949616
Export/Import log-ratio,0.09394461703006617,-0.07832683862571524,0.056072532794619816,-0.03464611266611651,0.058841623576697255,0.01058292721461266,-0.11553376754038773,0.059306020797791466,-0.09142534295314927,0.018098421691124994,0.06528337532550517,-0.09228584661197843,-0.01845703110521927,0.05295453282503515,-0.028178682807408265,0.04966674158599966,-0.027656287824290887
Hormuz GFW presence,0.02405855077571382,-0.06500910347156193,-0.038407120527347786,-0.058793659279307894,0.014882348610017018,-0.052362913370396696,0.018703899317337697,-0.02539795466326622,0.016836468714760567,-0.0035438427022105702,0.028532249662813206,-0.06111036981157988,0.06037304065321155,0.15228012383239,-0.026839441518312895,0.007754177751652747,0.057637749486051694
Suez GFW presence,-0.015799494800739895,-0.049989790264763585,-0.15441865333426888,0.05312759551836133,0.0035731875348660957,-0.012006211714085432,0.1248728171343889,-0.041348752783108574,0.0005260926694612295,0.05506682809863011,-0.0023351630234754125,0.021719615948711087,-0.012530091544358593,0.10718411145642429,-0.0724620108126705,-0.02244082191411892,-0.009702736558390134
