week_ending_friday,region_type,region_id,region_short,emodnet_density_mean,emodnet_density_max,emodnet_density_sum,emodnet_n_valid_px
2019-01-04,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-01-11,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-01-18,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-01-25,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-02-01,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-02-08,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-02-15,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-02-22,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-03-01,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-03-08,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-03-15,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-03-22,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-03-29,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-04-05,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-04-12,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-04-19,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-04-26,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-05-03,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-05-10,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-05-17,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-05-24,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-05-31,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-06-07,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-06-14,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-06-21,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-06-28,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-07-05,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-07-12,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-07-19,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-07-26,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-08-02,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-08-09,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-08-16,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-08-23,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-08-30,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-09-06,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-09-13,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-09-20,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-09-27,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-10-04,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-10-11,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-10-18,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-10-25,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
2019-11-01,chokepoint,Bab el-Mandeb,mandeb,,,,0.0
