week_ending_friday,site_id,pw_portcalls_tanker,pw_portcalls_cargo,pw_import_tanker,pw_export_tanker,gfw_n_visits,gfw_dwell_hrs_mean,gfw_dwell_hrs_median,gfw_self_loops,sar_detections_total,sar_detections_dark,sar_dark_share,avail_node
2019-01-04,P001,,,,,7.0,432.11439814814815,444.6430555555555,,,,,1
2019-01-04,P002,,,,,3.0,303.9893055555556,303.9893055555556,,,,,1
2019-01-04,P003,,,,,3.0,389.9144444444444,432.7575,,,,,1
2019-01-04,P004,,,,,4.0,508.7579166666667,508.7579166666667,,,,,1
2019-01-04,P005,,,,,1.0,373.1605555555555,373.1605555555555,,,,,1
2019-01-04,P006,,,,,22.0,498.97474537037033,483.2505555555556,,,,,1
2019-01-04,P007,,,,,,,,,,,,0
2019-01-04,P008,,,,,0.0,,,,,,,1
2019-01-04,P009,,,,,1.0,367.22,367.22,,,,,1
2019-01-04,P010,,,,,0.0,,,,,,,1
2019-01-04,P011,,,,,,,,,,,,0
2019-01-11,P001,0.0,0.0,0.0,0.0,17.0,315.60942708333334,284.6976388888889,,,,,1
2019-01-11,P002,0.0,0.0,0.0,0.0,8.0,237.38392361111113,204.7776388888889,,,,,1
2019-01-11,P003,0.0,0.0,0.0,0.0,2.0,265.49888888888887,265.49888888888887,,,,,1
2019-01-11,P004,0.0,0.0,0.0,0.0,17.0,229.5989074074074,196.985,,,,,1
2019-01-11,P005,0.0,0.0,0.0,0.0,7.0,288.7577380952381,269.5447222222222,,,,,1
2019-01-11,P006,0.0,0.0,0.0,0.0,31.0,274.6861522633745,220.35361111111112,,,,,1
2019-01-11,P007,0.0,0.0,0.0,0.0,,,,,,,,1
2019-01-11,P008,0.0,0.0,0.0,0.0,1.0,398.9488888888889,398.9488888888889,,,,,1
2019-01-11,P009,0.0,0.0,0.0,0.0,9.0,205.91188271604938,202.90583333333333,,,,,1
2019-01-11,P010,0.0,0.0,0.0,0.0,1.0,375.8269444444445,375.8269444444445,,,,,1
2019-01-11,P011,0.0,0.0,0.0,0.0,2.0,214.68458333333334,214.68458333333334,,,,,1
2019-01-18,P001,397.0,305.0,3097701.0,1411854.0,183.0,64.09122621240024,44.45666666666666,10.0,,,,1
2019-01-18,P002,52.0,7.0,532045.0,514887.0,57.0,41.876646825396826,17.440694444444446,9.0,,,,1
2019-01-18,P003,5.0,0.0,0.0,258055.0,15.0,66.51251851851852,45.022222222222226,,,,,1
2019-01-18,P004,556.0,352.0,4248124.0,3472667.0,460.0,34.531258775114985,21.963333333333335,23.0,,,,1
2019-01-18,P005,100.0,56.0,526517.0,1923849.0,38.0,77.71189327485381,60.34472222222222,,,,,1
2019-01-18,P006,72.0,222.0,1470843.0,425474.0,396.0,68.0025029010734,37.074444444444445,18.0,,,,1
2019-01-18,P007,6.0,1.0,2460.0,164466.0,3.0,117.91314814814815,63.29805555555556,1.0,,,,1
2019-01-18,P008,11.0,1.0,12105.0,1773197.0,11.0,122.23229797979798,39.843333333333334,,,,,1
2019-01-18,P009,234.0,76.0,2033930.0,1563235.0,69.0,56.08251243781094,36.29416666666667,5.0,,,,1
2019-01-18,P010,0.0,0.0,0.0,0.0,0.0,,,,,,,1
2019-01-18,P011,25.0,2.0,88883.0,972936.0,2.0,80.08444444444444,80.08444444444444,,,,,1
2019-01-25,P001,357.0,323.0,3072464.0,1058727.0,283.0,48.41665979583824,34.164722222222224,92.0,,,,1
2019-01-25,P002,39.0,12.0,247687.0,437759.0,85.0,43.585954248366015,16.90888888888889,13.0,,,,1
2019-01-25,P003,13.0,0.0,31691.0,1124983.0,22.0,167.44289682539682,74.0325,,,,,1
2019-01-25,P004,477.0,399.0,4316786.0,2447343.0,605.0,35.038779155188244,22.64666666666667,100.0,,,,1
2019-01-25,P005,109.0,49.0,1278828.0,2037775.0,48.0,74.95325231481482,39.594166666666666,2.0,,,,1
2019-01-25,P006,110.0,258.0,1335077.0,493991.0,482.0,58.48591772151899,31.510416666666664,130.0,,,,1
2019-01-25,P007,8.0,1.0,86915.0,228623.0,0.0,,,0.0,,,,1
2019-01-25,P008,14.0,0.0,117534.0,2665036.0,17.0,104.9940522875817,14.773333333333332,4.0,,,,1
2019-01-25,P009,238.0,77.0,2834543.0,1456008.0,75.0,38.78593703703704,17.09138888888889,16.0,,,,1
2019-01-25,P010,2.0,2.0,0.0,78335.0,4.0,118.95916666666668,112.72472222222223,1.0,,,,1
2019-01-25,P011,20.0,3.0,500679.0,841859.0,5.0,103.02516666666665,120.73222222222222,,,,,1
2019-02-01,P001,362.0,338.0,3113191.0,1192284.0,294.0,45.634029667422524,33.33916666666667,143.0,,,,1
2019-02-01,P002,55.0,10.0,537135.0,532633.0,107.0,45.63865264797508,16.72388888888889,25.0,,,,1
2019-02-01,P003,13.0,0.0,8785.0,1496935.0,25.0,125.48322916666666,47.27166666666666,1.0,,,,1
2019-02-01,P004,473.0,368.0,3466511.0,2295805.0,647.0,31.628450904392764,22.628888888888888,165.0,,,,1
2019-02-01,P005,102.0,53.0,608842.0,2112789.0,43.0,76.78048449612403,49.49388888888889,4.0,,,,1
2019-02-01,P006,95.0,265.0,1855908.0,274407.0,500.0,69.85065257565259,32.831944444444446,227.0,,,,1
2019-02-01,P007,2.0,1.0,931.0,0.0,0.0,,,0.0,,,,1
2019-02-01,P008,14.0,0.0,11830.0,2340481.0,9.0,28.913302469135804,19.57138888888889,4.0,,,,1
2019-02-01,P009,219.0,77.0,2142164.0,1490870.0,85.0,51.88813725490196,24.08944444444445,20.0,,,,1
2019-02-01,P010,4.0,0.0,0.0,424913.0,3.0,169.11342592592592,219.2397222222222,2.0,,,,1
2019-02-01,P011,17.0,4.0,106268.0,573843.0,7.0,156.0972619047619,55.87277777777778,,,,,1
2019-02-08,P001,376.0,337.0,3351755.0,1237481.0,304.0,47.95247076023392,34.269444444444446,163.0,,,,1
2019-02-08,P002,50.0,10.0,497827.0,477696.0,111.0,49.90573484848485,17.171527777777776,29.0,,,,1
2019-02-08,P003,11.0,0.0,28734.0,1175688.0,27.0,101.10095679012346,51.86694444444444,2.0,,,,1
2019-02-08,P004,477.0,370.0,4515955.0,2292456.0,639.0,31.52286381900769,21.885416666666664,212.0,,,,1
2019-02-08,P005,98.0,49.0,843737.0,2018388.0,50.0,81.05002222222222,45.49861111111111,3.0,,,,1
2019-02-08,P006,91.0,257.0,1525659.0,208895.0,515.0,114.5699797874798,39.23166666666667,270.0,,,,1
2019-02-08,P007,9.0,0.0,18861.0,138897.0,0.0,,,0.0,,,,1
2019-02-08,P008,17.0,0.0,168414.0,2914071.0,9.0,110.19021604938271,9.498055555555556,1.0,,,,1
2019-02-08,P009,237.0,85.0,2140105.0,1375898.0,73.0,35.62331430745814,17.227222222222224,34.0,,,,1
2019-02-08,P010,5.0,1.0,0.0,217140.0,2.0,102.11347222222221,102.11347222222221,1.0,,,,1
2019-02-08,P011,27.0,2.0,106025.0,613456.0,3.0,113.57249999999999,130.66666666666666,,,,,1
2019-02-15,P001,346.0,339.0,3308594.0,1366538.0,301.0,44.11935555555556,31.992916666666666,166.0,,,,1
2019-02-15,P002,53.0,10.0,530822.0,628992.0,109.0,51.185968399592255,20.765833333333333,27.0,,,,1
2019-02-15,P003,10.0,0.0,69783.0,1066378.0,17.0,134.03736928104576,56.1375,1.0,,,,1
2019-02-15,P004,500.0,369.0,3644441.0,3316355.0,615.0,33.18525417574437,21.765555555555558,256.0,,,,1
2019-02-15,P005,64.0,34.0,496840.0,1393991.0,43.0,97.1939599483204,54.833333333333336,9.0,,,,1
2019-02-15,P006,98.0,215.0,1335821.0,612560.0,395.0,175.564549365942,69.12791666666666,219.0,,,,1
2019-02-15,P007,10.0,0.0,33429.0,296309.0,1.0,219.37444444444444,219.37444444444444,0.0,,,,1
2019-02-15,P008,18.0,0.0,146319.0,2577713.0,15.0,44.02296296296297,10.826944444444443,5.0,,,,1
2019-02-15,P009,203.0,60.0,1858002.0,1257126.0,92.0,40.45855072463768,16.141805555555557,45.0,,,,1
2019-02-15,P010,4.0,0.0,0.0,473422.0,4.0,185.4623611111111,161.99694444444444,2.0,,,,1
2019-02-15,P011,30.0,1.0,112549.0,1241374.0,4.0,80.85930555555555,69.83569444444444,,,,,1
2019-02-22,P001,369.0,336.0,3538422.0,647331.0,319.0,48.065460342417886,35.44513888888889,206.0,,,,1
2019-02-22,P002,46.0,11.0,402727.0,420622.0,99.0,34.26479517396184,18.935555555555556,33.0,,,,1
2019-02-22,P003,3.0,0.0,25225.0,119780.0,19.0,94.00409356725146,42.83611111111111,4.0,,,,1
2019-02-22,P004,458.0,384.0,3947456.0,2266314.0,598.0,36.10241456582634,21.495555555555555,282.0,,,,1
2019-02-22,P005,134.0,71.0,674832.0,2730031.0,26.0,68.031047008547,48.055416666666666,3.0,,,,1
2019-02-22,P006,90.0,182.0,1487652.0,244953.0,204.0,110.2665235260771,52.48458333333333,92.0,,,,1
2019-02-22,P007,7.0,0.0,27258.0,227480.0,1.0,73.77277777777778,73.77277777777778,0.0,,,,1
2019-02-22,P008,14.0,0.0,7761.0,2565695.0,10.0,34.52544444444444,6.095416666666667,5.0,,,,1
2019-02-22,P009,234.0,75.0,2286396.0,1360081.0,62.0,83.7162795992714,24.99,29.0,,,,1
2019-02-22,P010,3.0,0.0,0.0,364974.0,2.0,71.56958333333333,71.56958333333333,1.0,,,,1
2019-02-22,P011,23.0,1.0,277655.0,896092.0,4.0,213.91256944444444,226.20347222222222,2.0,,,,1
2019-03-01,P001,369.0,339.0,3168945.0,1370582.0,296.0,43.325111674174174,29.410138888888888,192.0,104.0,14.0,0.1346153846153846,1
2019-03-01,P002,52.0,12.0,832608.0,604635.0,109.0,45.42754332313966,20.689444444444444,37.0,768.0,47.0,0.0611979166666666,1
2019-03-01,P003,6.0,0.0,26355.0,721048.0,27.0,149.0775205761317,89.39305555555555,3.0,248.0,72.0,0.2903225806451613,1
2019-03-01,P004,491.0,383.0,4302872.0,3321877.0,617.0,30.83842863595303,21.761111111111113,279.0,833.0,78.0,0.0936374549819928,1
2019-03-01,P005,81.0,37.0,480775.0,1934703.0,68.0,72.53161356209151,49.22902777777777,20.0,18.0,3.0,0.1666666666666666,1
