week_ending_friday,gfw_cape_total_hours,gfw_cape_total_vessels,gfw_cape_cargo_hours,gfw_cape_bunker_hours,gfw_cape_other_hours,gfw_cape_nontanker_hours,gfw_cape_other_share,gfw_cape_total_hours_mom_pct,gfw_cape_dwell_hours_per_vessel,gfw_hormuz_total_hours,gfw_hormuz_total_vessels,gfw_hormuz_cargo_hours,gfw_hormuz_bunker_hours,gfw_hormuz_other_hours,gfw_hormuz_nontanker_hours,gfw_hormuz_other_share,gfw_hormuz_total_hours_mom_pct,gfw_hormuz_dwell_hours_per_vessel,gfw_malacca_total_hours,gfw_malacca_total_vessels,gfw_malacca_cargo_hours,gfw_malacca_bunker_hours,gfw_malacca_other_hours,gfw_malacca_nontanker_hours,gfw_malacca_other_share,gfw_malacca_total_hours_mom_pct,gfw_malacca_dwell_hours_per_vessel,gfw_mandeb_total_hours,gfw_mandeb_total_vessels,gfw_mandeb_cargo_hours,gfw_mandeb_bunker_hours,gfw_mandeb_other_hours,gfw_mandeb_nontanker_hours,gfw_mandeb_other_share,gfw_mandeb_total_hours_mom_pct,gfw_mandeb_dwell_hours_per_vessel,gfw_panama_total_hours,gfw_panama_total_vessels,gfw_panama_cargo_hours,gfw_panama_bunker_hours,gfw_panama_other_hours,gfw_panama_nontanker_hours,gfw_panama_other_share,gfw_panama_total_hours_mom_pct,gfw_panama_dwell_hours_per_vessel,gfw_suez_total_hours,gfw_suez_total_vessels,gfw_suez_cargo_hours,gfw_suez_bunker_hours,gfw_suez_other_hours,gfw_suez_nontanker_hours,gfw_suez_other_share,gfw_suez_total_hours_mom_pct,gfw_suez_dwell_hours_per_vessel,gfw_all_total_hours_sum,pw_cape_n_tanker,pw_cape_n_total,pw_cape_capacity_tanker,pw_cape_capacity,pw_cape_tanker_share,pw_cape_tanker_cap_share,pw_cape_avg_tanker_size,pw_cape_n_tanker_wow_pct,pw_cape_capacity_tanker_4w_ma,pw_hormuz_n_tanker,pw_hormuz_n_total,pw_hormuz_capacity_tanker,pw_hormuz_capacity,pw_hormuz_tanker_share,pw_hormuz_tanker_cap_share,pw_hormuz_avg_tanker_size,pw_hormuz_n_tanker_wow_pct,pw_hormuz_capacity_tanker_4w_ma,pw_malacca_n_tanker,pw_malacca_n_total,pw_malacca_capacity_tanker,pw_malacca_capacity,pw_malacca_tanker_share,pw_malacca_tanker_cap_share,pw_malacca_avg_tanker_size,pw_malacca_n_tanker_wow_pct,pw_malacca_capacity_tanker_4w_ma,pw_mandeb_n_tanker,pw_mandeb_n_total,pw_mandeb_capacity_tanker,pw_mandeb_capacity,pw_mandeb_tanker_share,pw_mandeb_tanker_cap_share,pw_mandeb_avg_tanker_size,pw_mandeb_n_tanker_wow_pct,pw_mandeb_capacity_tanker_4w_ma,pw_panama_n_tanker,pw_panama_n_total,pw_panama_capacity_tanker,pw_panama_capacity,pw_panama_tanker_share,pw_panama_tanker_cap_share,pw_panama_avg_tanker_size,pw_panama_n_tanker_wow_pct,pw_panama_capacity_tanker_4w_ma,pw_suez_n_tanker,pw_suez_n_total,pw_suez_capacity_tanker,pw_suez_capacity,pw_suez_tanker_share,pw_suez_tanker_cap_share,pw_suez_avg_tanker_size,pw_suez_n_tanker_wow_pct,pw_suez_capacity_tanker_4w_ma,pw_all_n_tanker_sum,pw_all_n_total_sum,pw_all_tanker_share,pw_exp_hubs_export_vol,pw_imp_hubs_import_vol,pw_tanker_exp_imp_net,pw_tanker_exp_imp_asym,pw_tanker_exp_imp_log_ratio,pw_tanker_exp_imp_asym_4w_ma,pw_exp_hubs_export_vol_wow_pct,avail_gfw,avail_pw_chokepoints,avail_pw_ports,avail_shipping
2012-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2012-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2012-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2012-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
2012-03-02,14223.0,1333.0,7588.0,29.0,5340.0,7617.0,0.3754482176755959,,10.669917479369843,9267.0,1797.0,2404.0,12.0,6466.0,2416.0,0.6977446854429696,,5.156928213689483,154180.0,6816.0,48077.0,4337.0,93929.0,52414.0,0.6092165001945777,,22.620305164319248,5155.0,1330.0,2864.0,2.0,2234.0,2866.0,0.4333656644034918,,3.8759398496240602,32231.0,1486.0,12852.0,368.0,14450.0,13220.0,0.4483261456361888,,21.689771197846568,5955.0,1329.0,2951.0,2.0,2905.0,2953.0,0.4878253568429891,,4.480812641083522,221011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-03-09,14223.0,1333.0,7588.0,29.0,5340.0,7617.0,0.3754482176755959,,10.669917479369843,9267.0,1797.0,2404.0,12.0,6466.0,2416.0,0.6977446854429696,,5.156928213689483,154180.0,6816.0,48077.0,4337.0,93929.0,52414.0,0.6092165001945777,,22.620305164319248,5155.0,1330.0,2864.0,2.0,2234.0,2866.0,0.4333656644034918,,3.8759398496240602,32231.0,1486.0,12852.0,368.0,14450.0,13220.0,0.4483261456361888,,21.689771197846568,5955.0,1329.0,2951.0,2.0,2905.0,2953.0,0.4878253568429891,,4.480812641083522,221011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-03-16,14223.0,1333.0,7588.0,29.0,5340.0,7617.0,0.3754482176755959,,10.669917479369843,9267.0,1797.0,2404.0,12.0,6466.0,2416.0,0.6977446854429696,,5.156928213689483,154180.0,6816.0,48077.0,4337.0,93929.0,52414.0,0.6092165001945777,,22.620305164319248,5155.0,1330.0,2864.0,2.0,2234.0,2866.0,0.4333656644034918,,3.8759398496240602,32231.0,1486.0,12852.0,368.0,14450.0,13220.0,0.4483261456361888,,21.689771197846568,5955.0,1329.0,2951.0,2.0,2905.0,2953.0,0.4878253568429891,,4.480812641083522,221011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-03-23,14223.0,1333.0,7588.0,29.0,5340.0,7617.0,0.3754482176755959,,10.669917479369843,9267.0,1797.0,2404.0,12.0,6466.0,2416.0,0.6977446854429696,,5.156928213689483,154180.0,6816.0,48077.0,4337.0,93929.0,52414.0,0.6092165001945777,,22.620305164319248,5155.0,1330.0,2864.0,2.0,2234.0,2866.0,0.4333656644034918,,3.8759398496240602,32231.0,1486.0,12852.0,368.0,14450.0,13220.0,0.4483261456361888,,21.689771197846568,5955.0,1329.0,2951.0,2.0,2905.0,2953.0,0.4878253568429891,,4.480812641083522,221011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-03-30,13769.0,1196.0,7705.0,40.0,4966.0,7745.0,0.36066526254629966,-3.192012936792521,11.512541806020067,8806.0,1688.0,2148.0,8.0,6078.0,2156.0,0.6902112196229844,-4.974641199956831,5.216824644549763,96818.0,5885.0,35847.0,2172.0,55042.0,38019.0,0.5685099878121836,-37.20456609158127,16.451656754460494,4367.0,1153.0,2189.0,3.0,2130.0,2192.0,0.48774902679184795,-15.28612997090204,3.787510841283608,25663.0,1304.0,9861.0,299.0,11888.0,10160.0,0.46323500759848807,-20.377897055629667,19.68021472392638,5314.0,1237.0,2538.0,2.0,2668.0,2540.0,0.5020700037636432,-10.764063811922753,4.295877122069523,154737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
2012-04-06,13769.0,1196.0,7705.0,40.0,4966.0,7745.0,0.36066526254629966,-3.192012936792521,11.512541806020067,8806.0,1688.0,2148.0,8.0,6078.0,2156.0,0.6902112196229844,-4.974641199956831,5.216824644549763,96818.0,5885.0,35847.0,2172.0,55042.0,38019.0,0.5685099878121836,-37.20456609158127,16.451656754460494,4367.0,1153.0,2189.0,3.0,2130.0,2192.0,0.48774902679184795,-15.28612997090204,3.787510841283608,25663.0,1304.0,9861.0,299.0,11888.0,10160.0,0.46323500759848807,-20.377897055629667,19.68021472392638,5314.0,1237.0,2538.0,2.0,2668.0,2540.0,0.5020700037636432,-10.764063811922753,4.295877122069523,154737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
