week_ending_friday,gdelt_oil_geo_event_count,gdelt_oil_geo_total_mentions,gdelt_negative_event_count,gdelt_conflict_event_count,gdelt_sanction_event_count,gdelt_key_oil_region_event_count,gdelt_oil_geo_avg_tone,gdelt_oil_geo_avg_goldstein,gdelt_transport_disruption_event_count,gdelt_transport_disruption_total_mentions,gdelt_transport_negative_event_count,gdelt_transport_unrest_conflict_event_count,gdelt_transport_sanction_event_count,gdelt_chokepoint_event_count,gdelt_transport_disruption_avg_tone,gdelt_transport_disruption_avg_goldstein,gdelt_oil_geo_event_count_4w_ma,gdelt_oil_geo_event_count_wow_pct,gdelt_oil_geo_negative_share,gdelt_oil_geo_conflict_share,gdelt_oil_geo_avg_tone_4w_ma,gdelt_transport_event_count_4w_ma,gdelt_transport_event_count_wow_pct,gdelt_transport_negative_share,gdelt_transport_avg_tone_4w_ma,gdelt_combined_event_count
2006-01-06,18807,45243,6792,2625,319,20329,4.789020529752712,-0.03888202412722173,21,80,21,17,0,0,0.874382783236061,-2.871564009661835,18807.0,,0.36114212793108946,0.1395756899026958,4.789020529752712,21.0,,1.0,0.874382783236061,18828
2006-01-13,23563,58531,8049,2344,287,25455,5.1282792661598275,0.3059874489568733,11,24,11,10,0,4,1.2818739170893108,-3.387546583850931,21185.0,25.288456425798913,0.3415948733183381,0.09947799516190638,4.95864989795627,16.0,-47.61904761904761,1.0,1.078128350162686,23574
2006-01-20,25872,61135,8671,2818,399,27960,5.125576592975875,0.2349854494346412,10,13,10,0,2,9,2.3540391997076275,-3.4435300207039328,22747.333333333332,9.799261554131466,0.3351499690785405,0.1089208410636982,5.014292129629472,14.0,-9.090909090909093,1.0,1.5034319666776665,25882
2006-01-27,25727,57988,8898,2591,335,27775,5.2769985713888685,0.256114693811104,12,21,12,0,0,1,0.9154765607518988,-1.4202691511387162,23492.25,-0.5604514533085969,0.34586232362887237,0.10071131496093598,5.0799687400693205,13.5,19.999999999999996,1.0,1.3564431151962246,25739
2006-02-03,29496,69664,10692,3153,458,31712,5.157062533636666,0.06250933217295114,10,26,10,7,1,6,1.1395666436316039,-5.161966873706004,26164.5,14.649978621681491,0.3624898291293735,0.10689585028478438,5.17197924104031,10.75,-16.666666666666664,1.0,1.4227390802951103,29506
2006-02-10,24756,60240,9386,2980,372,26769,5.182556487098757,-0.1900447425562397,20,67,20,17,0,11,2.514053063725538,-6.658609385783298,26462.75,-16.069975589910502,0.37914041040555824,0.12037485862013249,5.185548546275042,13.0,100.0,1.0,1.7307838669541669,24776
2006-02-17,28940,71713,10616,3039,636,31236,5.20330813769025,-0.025504488478960332,5,16,5,4,0,0,0.83790443402339,-3.844689440993789,27229.75,16.900953304249477,0.3668279198341396,0.10501036627505184,5.204981432453636,11.75,-75.0,1.0,1.3517501755331076,28945
2006-02-24,26500,72059,9607,3351,439,28609,5.2426507202351145,-0.15711695548370416,26,52,26,10,0,6,3.080815076691915,-6.196521739130434,27423.0,-8.43123704215618,0.36252830188679247,0.12645283018867925,5.196394469665197,15.25,420.0,1.0,1.8930848045181117,26526
2006-03-03,32559,86469,11130,3858,368,35159,5.087763245806976,0.020030803882017358,14,27,14,9,0,8,2.5868260561509713,-5.7173395445134565,28188.75,22.864150943396222,0.3418409656316226,0.11849258269602875,5.179069647707775,16.25,-46.15384615384615,1.0,2.2548996576479534,32573
2006-03-10,27752,73488,9107,2783,304,29758,5.391310430117208,0.29591587510605727,8,11,8,8,0,3,1.0156956743444496,-4.023260869565218,28937.75,-14.763966952301978,0.3281565292591525,0.10028106082444509,5.231258133462387,13.25,-42.85714285714286,1.0,1.8803103103026815,27760
2006-03-17,38713,115518,14294,4217,413,41826,5.233030316866295,0.017194189414561616,3,4,3,3,0,2,1.1518042351539683,-2.777412008281573,31381.0,39.496252522340725,0.369229974427195,0.10892981685738641,5.238688678256398,12.75,-62.5,1.0,1.958785260585326,38716
2006-03-24,37874,107892,14178,4748,464,40882,5.323806165153604,-0.20019695288831332,15,27,15,10,0,3,1.4929529502411805,-5.7001966873706,34224.5,-2.167230646036211,0.37434651739979935,0.12536304588900038,5.258977539486021,10.0,400.0,1.0,1.5618197289726425,37889
2006-03-31,37299,119779,13092,4708,481,40314,5.56948805147822,0.04561806159719325,5,18,5,3,0,1,0.8726758585708911,-2.420269151138716,35409.5,-1.5181918994560895,0.3510013673288828,0.1262232231427116,5.379408740903832,7.75,-66.66666666666667,1.0,1.1332821795776225,37304
2006-04-07,33177,107004,12665,4523,352,35842,5.278210804670171,-0.2544809282136169,38,93,38,33,0,12,3.163201169962488,-6.835297249334516,36765.75,-11.051234617550065,0.3817403622991832,0.13632938481478132,5.351133834542073,15.25,660.0,1.0,1.670158553482132,33215
2006-04-14,23162,61303,8643,2767,377,25003,5.429631839963123,-0.23773255984935446,18,40,18,14,0,5,2.3758013785397067,-6.48128512274475,32878.0,-30.18657503692317,0.3731543044642086,0.11946291339262585,5.40028421531628,19.0,-52.63157894736843,1.0,1.9761578393285664,23180
2006-04-21,33385,92746,11412,3871,337,36072,5.533038232096553,-0.10920535645148202,17,49,17,15,0,5,3.247804649597686,-8.847132505175983,31755.75,44.1369484500475,0.3418301632469672,0.11595027707054066,5.452592232052017,19.5,-5.555555555555558,1.0,2.4148707641676928,33402
2006-04-28,28578,75076,9629,2962,409,30715,5.621761992843977,0.13579009409654055,48,74,48,42,0,47,3.667928515937806,-9.124788182831661,29575.5,-14.39868204283361,0.336937504373994,0.10364616138288194,5.4656607173934555,30.25,182.3529411764706,1.0,3.1136839285094218,28626
2006-05-05,21311,48409,8062,2669,363,23026,5.406465554854726,-0.3838956816780538,15,26,15,13,0,5,1.855180040369667,-5.340538302277432,26609.0,-25.42865141017566,0.3783022852048238,0.12524048613392144,5.497724404939595,24.5,-68.75,1.0,2.7866786461112163,21326
2006-05-12,28707,72354,10610,4243,361,30998,5.584720960847185,-0.39679454522789614,21,41,21,10,0,11,1.742520835568231,-3.2654377403135166,27995.25,34.70508188259585,0.3695962657191626,0.1478036715783607,5.5364966851606106,25.25,39.99999999999999,1.0,2.6283585103683476,28728
2006-05-19,32586,92438,12402,4971,328,35212,5.292140781418238,-0.4163651668833625,25,44,25,19,0,9,2.7524521986128363,-7.483256433007986,27795.5,13.512383739157707,0.38059289265328666,0.15255017492174552,5.476272322491031,27.25,19.047619047619047,1.0,2.504520397622135,32611
2006-05-26,37949,107663,12606,4590,322,41019,5.450521412960588,0.260399762769579,20,37,20,15,0,8,2.6321214453257213,-7.138783643892339,30138.25,16.457988093046083,0.3321826662099133,0.12095180373659385,5.433462177520184,20.25,-19.999999999999996,1.0,2.2455686299691138,37969
2006-06-02,40948,116485,14060,5257,478,44056,5.458928328446595,0.06148508463211603,25,36,25,19,0,18,1.9111329540949202,-5.973639910813824,35047.5,7.902711533900764,0.3433623131776888,0.12838233857575462,5.446577870918151,22.75,25.0,1.0,2.259556858400427,40973
2006-06-09,39167,114368,14826,6204,339,42301,5.385947520365889,-0.31539487320825205,14,23,14,12,0,9,0.5539242717176026,-5.108395445134575,37662.5,-4.349418775031744,0.3785329486557561,0.1583986519263666,5.396884510797827,21.0,-43.99999999999999,1.0,1.9624077174377703,39181
2006-06-16,32550,90051,11205,4157,266,35195,5.454555615251043,-0.0674523076279218,7,9,7,7,0,3,1.8337053492582656,-4.273260869565218,37653.5,-16.894324303622945,0.3442396313364055,0.12771121351766512,5.4374882192560285,16.5,-50.0,1.0,1.7327210050991275,32557
2006-06-23,39277,112528,15457,6770,293,42439,5.254675362208623,-0.503905193975411,20,133,20,19,0,9,2.5228545231495545,-6.979244306418218,37985.5,20.66666666666668,0.39353820301957887,0.1723655065305395,5.388526706568037,16.5,185.71428571428572,1.0,1.7054042745550857,39297
2006-06-30,36090,102176,13009,5514,266,39028,5.297068107483603,-0.16879695026298913,11,17,11,7,0,5,2.4770186853492695,-5.018530020703933,36771.0,-8.114163505359373,0.3604599612080909,0.15278470490440565,5.348061651327289,13.0,-44.99999999999999,1.0,1.8468757073686732,36101
2006-07-07,33355,90165,11533,4620,365,36060,5.298594317476817,-0.052742249694485696,11,10,11,2,0,2,-0.1393345009263287,-3.4875465838509316,35318.0,-7.578276530894989,0.3457652525858192,0.1385099685204617,5.326223350605021,12.25,0.0,1.0,1.67356101420769,33366
2006-07-14,32822,81941,12315,5128,325,35476,4.983603734937113,-0.4031943189934693,10,33,10,6,0,1,2.035353592677928,-5.522101449275362,35386.0,-1.5979613251386637,0.37520565474376943,0.1562366705258668,5.20848538052654,13.0,-9.090909090909093,1.0,1.7239730750626059,32832
2006-07-21,39427,98418,15397,5846,655,42564,5.207442364099196,-0.3580051954935482,32,65,32,19,10,16,1.9026174959830686,-3.4247374364765664,35423.5,20.12369751995613,0.3905191873589165,0.14827402541405635,5.196677130999182,16.0,220.00000000000003,1.0,1.5689138182709843,39459
2006-07-28,42056,106409,15610,6364,500,45458,5.181722797209893,-0.26702478817905134,6,12,6,1,0,2,1.523902132128827,-3.540538302277432,36915.0,6.6680193775839,0.3711717709720373,0.15132204679474986,5.167840803430755,14.75,-81.25,1.0,1.3306346799658737,42062
2006-08-04,35099,95265,13977,5325,426,37959,5.3181750947721165,-0.3789754032065379,5,8,5,4,0,1,0.765402074766348,-3.4637370600414075,37351.0,-16.542229408407838,0.3982164734038007,0.15171372403772188,5.17273599775458,13.25,-16.666666666666664,1.0,1.5568188238890428,35104
2006-08-11,33141,96123,13875,5893,430,35795,4.939107922445676,-0.6619725457578355,30,37,30,24,1,8,2.5360841808146253,-7.787593167701863,37430.75,-5.578506510156989,0.41866570109532,0.17781599831025013,5.16161204463172,18.25,500.0,1.0,1.6820014709232174,33171
2006-08-18,29467,78936,12076,5097,343,31798,5.041468939353712,-0.6659480715317045,23,39,23,2,1,1,2.7414274452503693,-6.432870945479641,34940.75,-11.085966023958239,0.40981436861573967,0.17297315641225777,5.120118688445349,16.0,-23.33333333333333,1.0,1.8917039582400423,29490
2006-08-25,35969,97084,13741,4777,437,38875,4.9748386335730235,-0.47228562646159616,22,42,22,21,0,19,0.904130271299807,-5.075886287625418,33419.0,22.06536125156955,0.3820234090466791,0.1328088075843087,5.068397647536132,20.0,-4.347826086956519,1.0,1.7367609930327874,35991
