axis,lag_weeks,locked,model,n_test,RMSE,skill_vs_M0,DM_p_vs_M0,DM_p_vs_M1
GFW monthly presence,1,False,M3_Flat_Ridge,257,4.406946064981149,-0.0614582437034341,0.9857623755002584,0.8939200409705808
GFW monthly presence,1,False,M3_Flat_XGB,257,4.800560789319485,-0.156264394682223,0.9939507006029596,0.9722895503587212
GFW monthly presence,4,True,M3_Flat_Ridge,257,4.447107712921947,-0.0711315892944377,0.947125146915598,0.8473964799506511
GFW monthly presence,4,True,M3_Flat_XGB,257,4.4080070771629805,-0.0617137993899501,0.9903624945946056,0.6326258075114058
GFW monthly presence,8,False,M3_Flat_Ridge,257,4.333556445313576,-0.0437815996851602,0.9504833088594432,0.7894321798778821
GFW monthly presence,8,False,M3_Flat_XGB,257,4.3960444623691695,-0.0588324806939852,0.9928552559617824,0.6029881681339189
MONTHLY_LAG_WEEKS,3,False,M1_Flat_Ridge,257,4.255119594128729,-0.0248892780926899,0.9459886368537072,
MONTHLY_LAG_WEEKS,3,False,M1_Flat_XGB,257,4.398832018497854,-0.0595038922313513,0.9918210131136564,
MONTHLY_LAG_WEEKS,5,True,M1_Flat_Ridge,257,4.256348943170461,-0.0251853794416727,0.9429066209831216,
MONTHLY_LAG_WEEKS,5,True,M1_Flat_XGB,257,4.368428737773503,-0.0521809496573695,0.9825397846770564,
MONTHLY_LAG_WEEKS,7,False,M1_Flat_Ridge,257,4.24446805822817,-0.0223237462202685,0.92415225719922,
MONTHLY_LAG_WEEKS,7,False,M1_Flat_XGB,257,4.387474059394255,-0.0567682110715652,0.9852282204712682,
