sweep,config,model,RMSE_zero,RMSE_median,dRMSE,contract,lookback,CW_p_zero,CW_p_median,CW_flip
M1,(benchmark),M0_RW,4.13664431077246,4.13664431077246,0.0,,,,,
M1,L1_all,M1_Flat_Ridge,4.8181207169179165,4.8181207169179165,0.0,,,,,
M1,L1_all,M1_Flat_XGB,4.686408179758465,4.686408179758465,0.0,,,,,
M1,L4_all,M1_Flat_Ridge,5.908785728198948,5.908785728198948,0.0,,,,,
M1,L4_all,M1_Flat_XGB,4.694476343452524,4.694476343452524,0.0,,,,,
M1,L8_all,M1_Flat_Ridge,6.5614411718868135,6.5614411718868135,0.0,,,,,
M1,L8_all,M1_Flat_XGB,4.74650961892416,4.74650961892416,0.0,,,,,
M1,L12_all,M1_Flat_Ridge,6.901032608950704,6.901032608950704,0.0,,,,,
M1,L12_all,M1_Flat_XGB,4.8399505282495365,4.8399505282495365,0.0,,,,,
M1,L4_returns,M1_Flat_Ridge,6.233282333745978,6.234759916027093,0.0014775822811143868,,,,,
M1,L4_returns,M1_Flat_XGB,4.52622815122531,4.560473372093719,0.0342452208684092,,,,,
M1,L4_tuned,M1_Flat_Ridge,4.256348943170461,4.256348943170461,0.0,,,,,
M1,L4_tuned,M1_Flat_XGB,4.368428737773503,4.368428737773503,0.0,,,,,
M1,L4_returns_tuned,M1_Flat_Ridge,4.297536020584862,4.297565533054373,2.9512469510883932e-05,,,,,
M1,L4_returns_tuned,M1_Flat_XGB,4.413103414747152,4.4133596479988535,0.00025623325170176514,,,,,
M2,,Ridge,4.229539364142303,4.232267998322364,0.0027286341800607516,anom,1.0,0.4469488750405594,0.4598740523626999,False
M2,,XGB,4.5102643698481035,4.4515239923785686,-0.05874037746953498,anom,1.0,0.056869174917209,0.019785514063083,True
M2,,Ridge,4.413588772342179,4.415038694060452,0.0014499217182724067,anom,4.0,0.4738195376977991,0.4810036363040735,False
M2,,XGB,4.440163806219409,4.464918542598872,0.024754736379463793,anom,4.0,0.0852734966864094,0.1467584142952336,False
M2,,Ridge,4.526019755210003,4.522348265075928,-0.0036714901340744177,anom,8.0,0.1218203790311418,0.1174641314274046,False
M2,,XGB,4.668254129187416,4.713642440259938,0.04538831107252239,anom,8.0,0.070132300155538,0.1481678971682105,False
M2,,Ridge,4.15272330546394,4.15272330546394,0.0,literature,1.0,0.0270296438499465,0.0270296438499465,False
M2,,XGB,4.333621735943003,4.333621735943003,0.0,literature,1.0,0.0006973208921098,0.0006973208921098,False
M2,,Ridge,4.2522246707023035,4.2522246707023035,0.0,literature,4.0,0.128526947767568,0.128526947767568,False
M2,,XGB,4.321592057275716,4.321592057275716,0.0,literature,4.0,0.0217470331661039,0.0217470331661039,False
M2,,Ridge,4.347807775059112,4.347807775059112,0.0,literature,8.0,0.2785330850335997,0.2785330850335997,False
M2,,XGB,4.605627513581179,4.605627513581179,0.0,literature,8.0,0.0182563317464438,0.0182563317464438,False
M2,,Ridge,4.188317765507916,4.188317765507916,0.0,level,1.0,,,False
M2,,XGB,4.47937331770215,4.47937331770215,0.0,level,1.0,,,False
M2,,Ridge,4.256348943170461,4.256348943170461,0.0,level,4.0,,,False
M2,,XGB,4.368428737773503,4.368428737773503,0.0,level,4.0,,,False
M2,,Ridge,4.339442586697888,4.339442586697888,0.0,level,8.0,,,False
M2,,XGB,4.645899801753014,4.645899801753014,0.0,level,8.0,,,False
M3,,Ridge,4.2781906168711785,4.305742902848153,0.027552285976974566,,1.0,0.5599235003986627,0.5206742404901736,False
M3,,XGB,4.441075679355925,4.546052125534122,0.10497644617819724,,1.0,0.0067846107084238,0.0240578303104178,False
M3,,Ridge,4.430243432157846,4.447107712921947,0.016864280764100847,,4.0,0.2639149368372862,0.2974553547276133,False
M3,,XGB,4.429198134964165,4.4080070771629805,-0.021191057801184243,,4.0,0.0001851989360097,4.848929986511763e-05,False
M3,,Ridge,4.553238875404075,4.548644117913653,-0.004594757490421486,,8.0,0.2258565805727226,0.2203710185148359,False
M3,,XGB,4.615481117487236,4.541470543303718,-0.07401057418351797,,8.0,0.0018324452805239,0.0004989499165569,False
M4,,Ridge,4.3201918289912475,4.368491495899075,0.04829966690782772,,1.0,0.5532386554680833,0.6019241623116944,False
M4,,XGB,4.595216344879719,4.577511226271155,-0.017705118608564163,,1.0,0.0347805277914237,0.0308029029704384,False
M4,,Ridge,4.525221586556121,4.533653131798245,0.008431545242124194,,4.0,0.314424778306154,0.3505324376353278,False
M4,,XGB,4.50738885667583,4.480506995767201,-0.02688186090862832,,4.0,0.0089865450160407,0.0081822306217924,False
M4,,Ridge,4.5862248121841285,4.575067466411436,-0.011157345772692118,,8.0,0.0787933168023584,0.0731737376588017,False
M4,,XGB,4.563764214309584,4.583324098146422,0.0195598838368376,,8.0,0.0007597725344389,0.0006537976253421,False
