contract,lookback,model,test_weeks,M0_RMSE,M1_RMSE,M2_RMSE,M2_skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
anom,1,Ridge,260,4.13664431077246,4.188317765507916,4.232267998322364,-0.02311624601150375,0.45987405236269996,0.7325364552633499
anom,1,XGB,260,4.13664431077246,4.47937331770215,4.4515239923785686,-0.07611959306873772,0.019785514063083043,0.38156013452730014
anom,4,Ridge,257,4.1517846708743695,4.256348943170461,4.415038694060452,-0.06340743657368941,0.4810036363040735,0.9566680572723202
anom,4,XGB,257,4.1517846708743695,4.368428737773503,4.464918542598872,-0.07542151063883495,0.14675841429523362,0.8732052242802286
anom,8,Ridge,253,4.1717189185248165,4.339442586697888,4.522348265075928,-0.08404913020244886,0.11746413142740464,0.9595132012733125
anom,8,XGB,253,4.1717189185248165,4.645899801753014,4.713642440259938,-0.1299041312032485,0.14816789716821055,0.7303375025113097
literature,1,Ridge,260,4.13664431077246,4.188317765507916,4.15272330546394,-0.00388696573442604,0.02702964384994655,0.07340951230939724
literature,1,XGB,260,4.13664431077246,4.47937331770215,4.333621735943003,-0.047617684860548515,0.0006973208921098317,0.021912681762564553
literature,4,Ridge,257,4.1517846708743695,4.256348943170461,4.2522246707023035,-0.024192006038401104,0.128526947767568,0.45781338128778726
literature,4,XGB,257,4.1517846708743695,4.368428737773503,4.321592057275716,-0.04089985388514483,0.021747033166103935,0.31920261723827914
literature,8,Ridge,253,4.1717189185248165,4.339442586697888,4.347807775059112,-0.04221014406132695,0.27853308503359975,0.6237600591694269
literature,8,XGB,253,4.1717189185248165,4.645899801753014,4.605627513581179,-0.10401194412441361,0.01825633174644381,0.32930723022701025
level,1,Ridge,260,4.13664431077246,4.188317765507916,4.188317765507916,-0.012491635938069567,,
level,1,XGB,260,4.13664431077246,4.47937331770215,4.47937331770215,-0.08285194016734065,,
level,4,Ridge,257,4.1517846708743695,4.256348943170461,4.256348943170461,-0.02518537944167276,,
level,4,XGB,257,4.1517846708743695,4.368428737773503,4.368428737773503,-0.052180949657369524,,
level,8,Ridge,253,4.1717189185248165,4.339442586697888,4.339442586697888,-0.04020493025747296,,
level,8,XGB,253,4.1717189185248165,4.645899801753014,4.645899801753014,-0.11366558785218328,,
