config,model,lookback,feature_mode,tune,test_weeks,m0_rmse,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0
(benchmark),M0_RW,0,-,False,260,4.13664431077246,4.13664431077246,2.997461538461538,,0.0,,
L1_all,M1_Flat_Ridge,1,all,False,260,4.13664431077246,4.8181207169179165,3.4240339862831064,0.5076923076923077,-0.16474135916660448,3.8482287440445724,0.9999250447434818
L1_all,M1_Flat_XGB,1,all,False,260,4.13664431077246,4.686408179758465,3.4442995512510555,0.4807692307692308,-0.13290092830904876,3.4954337358931986,0.9997216840372964
L4_all,M1_Flat_Ridge,4,all,False,257,4.1517846708743695,5.908785728198948,4.168555301927562,0.490272373540856,-0.4231917588718668,3.1351058574090716,0.9990408620538022
L4_all,M1_Flat_XGB,4,all,False,257,4.1517846708743695,4.694476343452524,3.3632451924767426,0.5252918287937743,-0.13071286581533226,3.092647434341697,0.9988982915917781
L8_all,M1_Flat_Ridge,8,all,False,253,4.1717189185248165,6.5614411718868135,4.7928011430487345,0.4901185770750988,-0.572838750652702,4.929265121305123,0.9999992511295822
L8_all,M1_Flat_XGB,8,all,False,253,4.1717189185248165,4.74650961892416,3.3456787179492595,0.525691699604743,-0.13778270099812895,2.5636724613669153,0.9945309231569168
L12_all,M1_Flat_Ridge,12,all,False,249,4.1807973721129645,6.901032608950704,5.173061215186902,0.4979919678714859,-0.6506498628664559,6.026908706838688,0.9999999969931469
L12_all,M1_Flat_XGB,12,all,False,249,4.1807973721129645,4.8399505282495365,3.4068764447512,0.5261044176706827,-0.15766206717725662,2.5750142201615884,0.9946978595932641
L4_returns,M1_Flat_Ridge,4,returns,False,257,4.1517846708743695,6.234759916027093,4.421335983527342,0.49416342412451364,-0.5017059915860345,3.4877187800891676,0.9997133797633935
L4_returns,M1_Flat_XGB,4,returns,False,257,4.1517846708743695,4.560473372093719,3.270933457911785,0.5369649805447471,-0.09843687320452466,2.5047527423959317,0.993562024928696
L4_tuned,M1_Flat_Ridge,4,all,True,257,4.1517846708743695,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,1.5850618259454587,0.9429066209831216
L4_tuned,M1_Flat_XGB,4,all,True,257,4.1517846708743695,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.052180949657369524,2.120562374879635,0.9825397846770563
L4_returns_tuned,M1_Flat_Ridge,4,returns,True,257,4.1517846708743695,4.297565533054373,3.055400262214383,0.5369649805447471,-0.03511281863982152,1.6539922516402243,0.9503226556761412
L4_returns_tuned,M1_Flat_XGB,4,returns,True,257,4.1517846708743695,4.4133596479988535,3.1566569318319275,0.5603112840466926,-0.0630030210765713,2.250529119499362,0.9873677067511701
