period_id,label,kind,n_weeks,gate_finance,gate_shipping
full,Full OOS,all,257,0.5575054524473643,0.44249455156783185
early,Early (<2023-01-01),split,102,0.5200276301771987,0.47997237157587913
late,Late (>=2023-01-01),split,155,0.5821682774251508,0.41783172807866525
year_2021,2021,calendar,50,0.5212597608566284,0.4787402367591858
year_2022,2022,calendar,52,0.5188428891392854,0.4811571165919304
year_2023,2023,calendar,52,0.48077141035061616,0.5192285953805997
year_2024,2024,calendar,52,0.5199007506553943,0.4800992493446057
year_2025,2025,calendar,51,0.7490417770310944,0.25095823385259686
event_russia_ukraine,Russia–Ukraine,event,16,0.5361169129610062,0.46388309076428413
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,0.5242310930043459,0.47576890513300896
event_opec_plus,OPEC+ surprise cut,event,16,0.48493533954024315,0.515064662322402
event_red_sea,Houthi Red Sea attacks,event,16,0.4888146352022886,0.5111853666603565
