period_id,label,kind,n_weeks,RMSE_M0,RMSE_DeepS1,RMSE_DeepS3,skill_S3_vs_M0_pct,skill_S3_vs_S1_pct,gate_finance,gate_shipping,shap_I_finance,shap_I_shipping,shap_share_finance,shap_share_shipping,shap_share_GFW,shap_share_PortWatch_chokepoint,shap_share_PortWatch_directional,shap_share_SAR,shap_share_eia_fundamentals,shap_share_financial_macro,shap_share_gpr,shap_share_oil_price_basis,shap_I_GFW,shap_I_PortWatch_chokepoint,shap_I_PortWatch_directional,shap_I_SAR,shap_I_eia_fundamentals,shap_I_financial_macro,shap_I_gpr,shap_I_oil_price_basis
full,Full OOS,all,257,4.1517846708743695,4.249855085312962,4.145273080331479,0.15683834926629725,2.460836966957003,0.5575054524473643,0.44249455156783185,0.028896851,0.00094670994,0.9682776,0.03172242,0.009589898,0.009694507,0.0047841226,0.00765389,0.4359906,0.3142264,0.014844408,0.20321617,0.0002861967,0.00028931862,0.00014277526,0.00022841935,0.013011512,0.009377634,0.00044301,0.006064694
early,Early (<2023-01-01),split,102,5.188699920283028,5.2579428624492115,5.171573990532151,0.33006205820326207,1.64263618256264,0.5200276301771987,0.47997237157587913,0.024709547,0.0009986063,0.961156,0.038843952,0.01339801,0.010600011,0.0065066013,0.008339331,0.37642983,0.35982516,0.01673222,0.20816883,0.0003444381,0.0002725067,0.00016727271,0.00021438878,0.009677316,0.009250441,0.0004301545,0.0053516366
late,Late (>=2023-01-01),split,155,3.2960233126328697,3.428399135960625,3.3001438296807533,-0.12501480290174616,3.7409677576509814,0.5821682774251508,0.41783172807866525,0.031652365,0.0009125588,0.97197723,0.028022753,0.007611568,0.009224095,0.0038892874,0.0072978023,0.4669327,0.29053763,0.013863684,0.20064324,0.00024787014,0.00030038194,0.00012665434,0.00023765238,0.015205628,0.009461336,0.0004514698,0.006533932
year_2021,2021,calendar,50,2.954908458818988,3.132163559427324,3.013522866876665,-1.9836285581958268,3.787819195889963,0.5212597608566284,0.4787402367591858,0.024141999,0.0010554531,0.9581127,0.041887295,0.014981018,0.012717622,0.0063911956,0.007797457,0.39265215,0.37119743,0.012381582,0.18188156,0.0003774835,0.00032045168,0.00016104184,0.00019647604,0.009893834,0.00935323,0.0003119843,0.004582952
year_2022,2022,calendar,52,6.664388280543545,6.692943776582054,6.612840227650547,0.7734851380657215,1.1968358259900835,0.5188428891392854,0.4811571165919304,0.025255265,0.000943946,0.9639704,0.03602956,0.011934089,0.008641701,0.0066133267,0.00884044,0.36142787,0.34930837,0.020755572,0.23247859,0.00031266373,0.00022640577,0.00017326395,0.00023161256,0.009469125,0.009151604,0.00054377964,0.006090756
year_2023,2023,calendar,52,3.7763306365999094,3.9480593089358247,3.790125410273337,-0.3652957063592144,4.000291948629764,0.48077141035061616,0.5192285953805997,0.021108355,0.0011602594,0.9478971,0.052102897,0.014933203,0.014750516,0.008046915,0.014372261,0.4006206,0.36221027,0.012371965,0.17269427,0.00033254176,0.00032847357,0.00017919365,0.00032005037,0.0089212665,0.008065921,0.00027550652,0.0038456623
year_2024,2024,calendar,52,3.058473412567881,3.2618732426667263,3.0827363785434003,-0.793303151690572,5.4918401420428475,0.5199007506553943,0.4800992493446057,0.021584807,0.0011462048,0.9495753,0.050424714,0.012274358,0.019516485,0.006254081,0.0123797925,0.44744736,0.30966687,0.014566655,0.17789443,0.0002790086,0.00044362943,0.00014216159,0.0002814052,0.010170931,0.0070390413,0.0003311148,0.00404372
year_2025,2025,calendar,51,2.9898776943967094,2.996907726158107,2.9603418002834476,0.9878629540136186,1.2201218461115326,0.7490417770310944,0.25095823385259686,0.05266808,0.00042177408,0.9920555,0.007944533,0.002444708,0.0023673694,0.0010788041,0.0020536506,0.5037992,0.25153396,0.014194769,0.22252747,0.0001297892,0.0001256833,5.727356e-05,0.00010902801,0.026746629,0.013353902,0.00075359823,0.011813952
event_russia_ukraine,Russia–Ukraine,event,16,8.923886134975053,9.060769211498101,8.82169292349845,1.1451648971189887,2.6385871046827214,0.5361169129610062,0.46388309076428413,0.025138406,0.00090618356,0.96520644,0.03479354,0.013503256,0.0074851387,0.0048896694,0.008915477,0.3617914,0.26583833,0.045022838,0.29255384,0.0003516868,0.00019494737,0.00012734944,0.00023219996,0.009422709,0.0069236504,0.0011726014,0.007619445
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,5.047909839725744,5.191359672204176,5.058501275308725,-0.20981824000954052,2.5592215774762783,0.5242310930043459,0.47576890513300896,0.024128046,0.0010139263,0.9596719,0.040328033,0.012605997,0.010813018,0.007444204,0.009464813,0.3347082,0.35886794,0.018092975,0.24800281,0.00031693964,0.00027186063,0.00018716198,0.0002379641,0.008415225,0.009022648,0.00045489307,0.00623528
event_opec_plus,OPEC+ surprise cut,event,16,4.39155866407361,4.270815717781587,4.358055022641817,0.7629100279561207,-2.0426848317760093,0.48493533954024315,0.515064662322402,0.020297589,0.00091618433,0.9568118,0.043188184,0.014058138,0.011711171,0.0051255454,0.012293328,0.3377753,0.40625423,0.0075938706,0.2051884,0.00029822616,0.00024843813,0.000108732165,0.00026078787,0.0071654883,0.008618185,0.00016109465,0.00435282
event_red_sea,Houthi Red Sea attacks,event,16,3.350153914374682,3.8840459275176307,3.2647437808179105,2.5494390926428134,15.944768889371197,0.4888146352022886,0.5111853666603565,0.021124603,0.0013224832,0.9410844,0.05891558,0.014903658,0.016377581,0.009675292,0.01795905,0.45817193,0.3021709,0.027817916,0.15292364,0.0003345437,0.000367629,0.00021718213,0.00040312836,0.010284625,0.006782857,0.0006244312,0.0034326902
