period_id,label,kind,n_weeks,node_id,mean_shap_abs,mean_shap_signed,share_shipping,mean_node_attention
full,Full OOS,all,257,P004,0.00012394637,5.977831e-06,0.13092329,0.04100809779366046
full,Full OOS,all,257,hormuz,0.00011331612,-7.0780343e-06,0.11969466,0.1322800438952585
full,Full OOS,all,257,suez,9.230384e-05,-2.239842e-06,0.097499594,0.0931045980507993
full,Full OOS,all,257,cape,8.1991384e-05,-1.84958e-05,0.08660666,0.07442532806631884
full,Full OOS,all,257,mandeb,7.619809e-05,-3.2985265e-06,0.080487266,0.08481349029980509
full,Full OOS,all,257,P011,5.3853124e-05,3.979813e-06,0.0568845,0.039771861579732976
full,Full OOS,all,257,P001,5.148531e-05,1.7310906e-06,0.054383405,0.05076197078560224
full,Full OOS,all,257,malacca,4.96276e-05,-1.7694417e-06,0.052421127,0.05821637951330448
full,Full OOS,all,257,panama,4.7920883e-05,1.7679897e-06,0.050618336,0.08621852403571861
full,Full OOS,all,257,P006,4.7050216e-05,1.2250254e-06,0.049698662,0.045061497545007434
full,Full OOS,all,257,P008,3.537871e-05,7.5780117e-06,0.037370168,0.03613909499190656
full,Full OOS,all,257,P009,3.37413e-05,-4.849204e-07,0.03564059,0.048861395843066084
full,Full OOS,all,257,P002,3.312448e-05,8.086302e-06,0.034989048,0.03925565859041958
full,Full OOS,all,257,P005,3.1962194e-05,6.97817e-07,0.033761337,0.047124433160871795
full,Full OOS,all,257,P003,2.99155e-05,5.612247e-06,0.031599436,0.0498328894260792
full,Full OOS,all,257,P010,2.3252016e-05,1.0160238e-07,0.024560867,0.0330098845383536
full,Full OOS,all,257,P007,2.16428e-05,2.6104908e-06,0.022861067,0.040114850666489885
year_2021,2021,calendar,50,P004,0.0001845282,4.4422242e-05,0.17483316,0.04813268709927793
year_2021,2021,calendar,50,hormuz,0.00014469934,-1.0123532e-05,0.1370969,0.10687174469232556
year_2021,2021,calendar,50,cape,9.533258e-05,-1.2487273e-05,0.09032384,0.08914373785257336
year_2021,2021,calendar,50,suez,7.9591715e-05,-4.119618e-06,0.07541,0.07175037957727903
year_2021,2021,calendar,50,P006,6.6332585e-05,-9.50049e-06,0.062847495,0.050784004181623404
year_2021,2021,calendar,50,P011,6.250999e-05,-1.3517036e-06,0.05922574,0.03370534434914584
year_2021,2021,calendar,50,mandeb,6.241363e-05,-1.2291728e-05,0.059134442,0.06790745418518777
year_2021,2021,calendar,50,panama,5.2825533e-05,-5.0830596e-07,0.050050102,0.07542798951268191
year_2021,2021,calendar,50,P001,4.7181013e-05,2.5514332e-06,0.044702142,0.060235045105218835
year_2021,2021,calendar,50,P003,3.9275925e-05,-1.4633426e-06,0.037212383,0.05676407996565099
year_2021,2021,calendar,50,P005,3.8516166e-05,-1.508635e-06,0.03649254,0.05459671977907415
year_2021,2021,calendar,50,P008,3.509504e-05,-4.6433118e-07,0.03325116,0.0418629021570086
year_2021,2021,calendar,50,malacca,3.338712e-05,-3.0270292e-06,0.031632975,0.06036229766905303
year_2021,2021,calendar,50,P007,3.1257878e-05,2.4051938e-06,0.029615602,0.0418369254097342
year_2021,2021,calendar,50,P010,3.034988e-05,9.299788e-07,0.028755309,0.03378715768456454
year_2021,2021,calendar,50,P009,2.6177022e-05,1.9414765e-06,0.024801692,0.05765300992876287
year_2021,2021,calendar,50,P002,2.5979441e-05,-1.8401173e-06,0.024614492,0.04917852610349651
year_2022,2022,calendar,52,P004,0.0001442053,2.6052665e-05,0.1527686,0.051101236819074664
year_2022,2022,calendar,52,hormuz,0.00013368404,-8.020699e-06,0.14162254,0.07254057785925952
year_2022,2022,calendar,52,P006,6.144041e-05,1.0748072e-05,0.065088905,0.06675087818159503
year_2022,2022,calendar,52,P009,6.037016e-05,1.0848801e-06,0.0639551,0.0737889083818747
year_2022,2022,calendar,52,cape,5.639574e-05,1.3608104e-06,0.059744667,0.05327059547058661
year_2022,2022,calendar,52,suez,5.5423978e-05,-2.7407395e-06,0.0587152,0.049977915648084376
year_2022,2022,calendar,52,malacca,5.3075324e-05,-4.67736e-06,0.056227077,0.049835046395086284
year_2022,2022,calendar,52,P011,5.0248887e-05,9.278878e-06,0.053232796,0.06070120478622039
year_2022,2022,calendar,52,P002,4.320145e-05,5.213888e-06,0.045766864,0.060620385222136926
year_2022,2022,calendar,52,P003,4.1441308e-05,1.1453967e-05,0.0439022,0.07617796792720369
year_2022,2022,calendar,52,P001,4.1176812e-05,-1.6555009e-06,0.043622,0.07170048155463654
year_2022,2022,calendar,52,mandeb,4.11741e-05,-4.3418886e-06,0.043619126,0.042263102860977966
year_2022,2022,calendar,52,P005,3.8129594e-05,3.8564763e-06,0.04039383,0.06665761016595818
year_2022,2022,calendar,52,P008,3.7638005e-05,1.042379e-05,0.03987305,0.04956636742617071
year_2022,2022,calendar,52,panama,3.5558438e-05,-2.961908e-06,0.03766999,0.04868283871418004
year_2022,2022,calendar,52,P007,2.7928647e-05,6.175175e-06,0.029587124,0.06081611526986723
year_2022,2022,calendar,52,P010,2.2853814e-05,-4.329318e-07,0.024210934,0.045548768033488396
year_2023,2023,calendar,52,P004,0.00016254459,-2.1645577e-05,0.14009333,0.04397452092514584
year_2023,2023,calendar,52,hormuz,0.00013532027,-6.342124e-06,0.116629325,0.1429117009616815
year_2023,2023,calendar,52,suez,0.0001207786,-2.9216682e-05,0.104096204,0.08933117649016467
year_2023,2023,calendar,52,mandeb,9.241906e-05,-2.6665084e-05,0.07965379,0.0796650319288556
year_2023,2023,calendar,52,cape,8.431257e-05,-5.7595707e-06,0.072667,0.07782700113379033
year_2023,2023,calendar,52,malacca,7.5207456e-05,-1.7063202e-06,0.06481952,0.06153431305518513
year_2023,2023,calendar,52,P001,7.273014e-05,1.2852184e-06,0.06268438,0.048438141552301514
year_2023,2023,calendar,52,P011,6.4094376e-05,3.849301e-06,0.05524142,0.039144053410452094
year_2023,2023,calendar,52,panama,6.1248145e-05,-1.3056019e-06,0.05278832,0.08519805122453429
year_2023,2023,calendar,52,P006,5.0429888e-05,2.2177805e-06,0.04346432,0.04305626441223112
year_2023,2023,calendar,52,P008,4.556969e-05,6.5165095e-06,0.039275434,0.038510185236541074
year_2023,2023,calendar,52,P009,3.867981e-05,-1.6966394e-06,0.03333721,0.04598521691961926
year_2023,2023,calendar,52,P005,3.822358e-05,3.3623244e-06,0.032943998,0.046189128349606756
year_2023,2023,calendar,52,P002,3.6968147e-05,7.70893e-06,0.03186197,0.03585365260593016
year_2023,2023,calendar,52,P010,2.9685256e-05,2.2759566e-06,0.025585018,0.03504159294355369
year_2023,2023,calendar,52,P007,2.6744876e-05,3.169976e-06,0.023050774,0.040973276365548324
year_2023,2023,calendar,52,P003,2.530289e-05,5.5059772e-06,0.021807961,0.04636667905232077
year_2024,2024,calendar,52,suez,0.00015006386,1.8247676e-05,0.13092238,0.11569301784038541
