arm,config,fusion,modality_dropout,min_train,period,n_test,RMSE,skill_vs_M0,DirAcc,DM_p_vs_Flat_S1
m4_deep_concat,m4_deep_concat,concat,0.0,104,full,257,4.496450109086841,-0.08301621243278134,0.45136186770428016,0.8302171327880482
m4_deep_gated,m4_deep_gated,gated,0.0,104,full,257,4.179645672391654,-0.006710608503551541,0.49416342412451364,0.1325999592445287
m4_deep_xattn,m4_deep_xattn,xattn,0.0,104,full,257,4.137939916026532,0.0033346514680688832,0.5603112840466926,0.05612780902715589
m4_deep_gated_drop0.3,m4_deep_gated,gated,0.3,104,full,257,4.158799940943334,-0.0016896998821200881,0.5019455252918288,0.09372754421569211
m4_deep_xattn_drop0.3,m4_deep_xattn,xattn,0.3,104,full,257,4.125521727802446,0.00632569970599961,0.5642023346303502,0.04943706533937558
m4_deep_gated_longwin(mt78),m4_deep_gated,gated,0.0,78,full,283,4.049560463889182,-0.00758445250485229,0.4911660777385159,0.1325999592445287
m4_deep_gated,m4_deep_gated,,0.0,104,early(<=2022),102,5.2593388694926615,-0.013613997782662368,0.46078431372549017,0.2687947602476044
m4_deep_gated,m4_deep_gated,,0.0,104,late(>=2023),155,3.280695960004887,0.004650256134183572,0.5161290322580645,0.10026425298635416
m4_deep_xattn,m4_deep_xattn,,0.0,104,early(<=2022),102,5.186387976472464,0.0004455728498630185,0.5490196078431373,0.1119151315965049
m4_deep_xattn,m4_deep_xattn,,0.0,104,late(>=2023),155,3.269443328040994,0.008064258674992164,0.567741935483871,0.15300562075964233
