date,rs:P001,rs:P002,rs:P003,rs:P004,rs:P005,rs:P006,rs:P007,rs:P008,rs:P009,rs:P010,rs:P011,sh:P001,sh:P002,sh:P003,sh:P004,sh:P005,sh:P006,sh:P007,sh:P008,sh:P009,sh:P010,sh:P011,sh:hormuz,sh:suez,sh:malacca,sh:mandeb,sh:panama,sh:cape
2021-01-22,0.03387338,0.034258783,0.03382228,0.033730045,0.034285117,0.032110207,0.032977108,0.03189195,0.03400092,0.03444222,0.034786947,0.037581246,0.037402242,0.0379713,0.036586344,0.038086127,0.037397057,0.03709426,0.03716816,0.037905835,0.03681216,0.03752455,0.036220036,0.036790308,0.03597486,0.03601328,0.036391273,0.036901996
2021-01-29,0.033904146,0.03424049,0.034337018,0.0358639,0.034316406,0.03273624,0.03271569,0.032073915,0.033635423,0.034467246,0.036313012,0.037085813,0.037391335,0.03772147,0.03633402,0.03771591,0.037140477,0.037100516,0.03717294,0.037541628,0.036787648,0.03750786,0.035813358,0.03625747,0.03574595,0.03574082,0.035980396,0.036358867
2021-02-05,0.033413947,0.034756385,0.03387935,0.033523742,0.034007993,0.032859832,0.03295948,0.03244495,0.03400667,0.034065034,0.0349263,0.038151212,0.038402364,0.038466074,0.03776426,0.038570568,0.038053475,0.03831038,0.038241427,0.038664296,0.037742414,0.037836883,0.03510324,0.034928672,0.034913637,0.034341786,0.034505296,0.035160355
2021-02-12,0.033612043,0.03414283,0.033772368,0.03565542,0.03436357,0.032684255,0.032997727,0.032001883,0.033953287,0.033945933,0.035940655,0.03749793,0.037882946,0.038183205,0.036724184,0.038149234,0.03752921,0.037690517,0.03760779,0.03801282,0.037254363,0.03698335,0.035335455,0.03594599,0.035218578,0.03513303,0.035482265,0.03629917
2021-02-19,0.034452375,0.034921736,0.034550466,0.034728527,0.03454998,0.033850003,0.03374303,0.03377107,0.03451488,0.03462607,0.03570128,0.037444275,0.037770465,0.037868306,0.03759199,0.03779688,0.037555538,0.037359934,0.037615918,0.0378914,0.03696393,0.036738444,0.034857202,0.034723885,0.0350672,0.034264565,0.034352563,0.034728114
2021-02-26,0.033518385,0.0333032,0.033974733,0.036990386,0.033813745,0.032160107,0.031673267,0.03153318,0.03267421,0.03385765,0.036696028,0.038205147,0.038554862,0.03897526,0.037182603,0.03866964,0.03883563,0.037836708,0.038127027,0.038515363,0.03736312,0.037280805,0.034565113,0.035146013,0.03530974,0.034288954,0.03539747,0.03555169
2021-03-05,0.032437105,0.032512538,0.03327489,0.038290214,0.032752432,0.030479336,0.030861706,0.030690769,0.032161452,0.03315526,0.0355344,0.039219942,0.039805185,0.040095605,0.038098704,0.039669633,0.040040474,0.03819404,0.038047224,0.04009624,0.037750706,0.037011053,0.034224797,0.03535481,0.035530537,0.03425032,0.035130635,0.035329998
2021-03-12,0.03305108,0.03456215,0.034394402,0.038810324,0.033474274,0.03246152,0.033502456,0.034110516,0.033892278,0.03320653,0.038003206,0.03804108,0.038649,0.03903547,0.037391018,0.038850773,0.038803738,0.03815432,0.03768318,0.03878621,0.038367335,0.037567787,0.03296005,0.033177037,0.033677712,0.03256319,0.033186592,0.03363678
2021-03-19,0.03439878,0.03438885,0.03432486,0.036889963,0.03456883,0.032919727,0.033484615,0.03300722,0.034107815,0.033997245,0.037663948,0.037241466,0.03789223,0.038251866,0.036866084,0.03805387,0.03743382,0.03750274,0.03765851,0.038011108,0.03734362,0.037138075,0.034301255,0.034742862,0.034251172,0.034058146,0.03454244,0.03495893
2021-03-26,0.034562048,0.035502795,0.0348886,0.0352163,0.03444314,0.03340146,0.033922266,0.033661965,0.034554288,0.034285925,0.037249796,0.037245315,0.03758969,0.03772177,0.036856838,0.037825987,0.037220106,0.037845686,0.037414756,0.03770496,0.037386682,0.03722886,0.034560557,0.034320507,0.034336213,0.034185924,0.03432564,0.034541916
