group,config,seed,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,DM_p_vs_Flat_S1,n_test
seed,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.14527308033148,0.0015683834926628615,0.5369649805447471,0.05767563216307599,257
seed,m3_deep_gated,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.209601805661542,-0.013925851018423918,0.48249027237354086,0.24539708025503926,257
seed,m3_deep_gated,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.162806782080424,-0.0026547887426284777,0.4669260700389105,0.057821895646199425,257
seed,m4_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.179645672391654,-0.006710608503551541,0.49416342412451364,0.1325999592445287,257
seed,m4_deep_gated,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.187562807799006,-0.008617531919617116,0.490272373540856,0.16859954277688466,257
seed,m4_deep_gated,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.203391288314843,-0.012429984098767166,0.48638132295719844,0.2887208158947173,257
seed,m4_deep_xattn,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.137939916026532,0.0033346514680688832,0.5603112840466926,0.05612780902715589,257
seed,m4_deep_xattn,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.187867103168845,-0.008690824586255808,0.5291828793774319,0.19840668958590013,257
seed,m4_deep_xattn,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.359917574121612,-0.050130948434618405,0.43190661478599224,0.9469709785779994,257
hyper,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.14527308033148,0.0015683834926628615,0.5369649805447471,0.05767563216307599,257
hyper,m3_deep_gated,42,4,64,2,2,meanpool,0.001,0.0001,0.1,4.183137634368898,-0.0075516834277260525,0.5058365758754864,0.14549954413015304,257
hyper,m3_deep_gated,42,8,32,2,2,meanpool,0.001,0.0001,0.1,4.161376048548364,0.0024792825639627925,0.5375494071146245,0.04607354995188807,253
hyper,m3_deep_gated,42,8,64,2,2,meanpool,0.001,0.0001,0.1,4.217868874332512,-0.011062575573527633,0.4743083003952569,0.20457685742601783,253
hyper,m3_deep_gated,42,12,32,2,2,meanpool,0.001,0.0001,0.1,4.1843140840696975,-0.0008411581915426236,0.5180722891566265,0.07839997688309956,249
hyper,m3_deep_gated,42,12,64,2,2,meanpool,0.001,0.0001,0.1,4.227121373120268,-0.011080183248367126,0.4738955823293173,0.22949843345951004,249
hyper,m3_deep_gated,42,4,32,1,1,meanpool,0.001,0.0001,0.1,4.2041505033633895,-0.012612848844588909,0.5291828793774319,0.26936741559058497,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.2473340827514265,-0.02301405767677589,0.4591439688715953,0.4572924772135197,257
rs,m_rs_deep,42,4,32,2,2,cls,0.001,0.0001,0.1,4.609718578948405,-0.11029808729882751,0.4591439688715953,0.8961286718587795,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.190772007710942,-0.009390500694816062,0.490272373540856,0.19754969414735113,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.248685993525153,-0.02333967927830316,0.4280155642023346,0.4634745858303559,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.18914796173472,-0.008999332533419002,0.490272373540856,0.195259366669219,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.228421712711202,-0.018458819016905492,0.4357976653696498,0.3676659276800012,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.19040916367868,-0.009303105981210757,0.4591439688715953,0.18128606733046437,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.21976554912672,-0.01637389307043069,0.45525291828793774,0.327182884292216,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.192116798335254,-0.009714407335193131,0.4591439688715953,0.18795261235967853,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.144058577032569,0.0018609090919384785,0.5369649805447471,0.0509527933979162,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.145308612447624,0.0015598252173760763,0.5447470817120622,0.055738973708429604,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.142810880398559,0.00216142964705357,0.5525291828793775,0.04716270914208819,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.155027907921918,-0.0007811669690627188,0.5369649805447471,0.07962767934266946,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.144203643832313,0.0018259682625737517,0.5603112840466926,0.05012431883424184,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.156007530889948,-0.0010171192271126728,0.5330739299610895,0.08112791420173031,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.143347452794181,0.002032190671972245,0.5525291828793775,0.047615668635421375,257
