config,model,lookback,feature_mode,tune,test_weeks,m0_rmse,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0
(benchmark),M0_RW,0,-,False,260,4.13664431077246,4.13664431077246,2.997461538461538,,0.0,,
L1_all,M1_Flat_Ridge,1,all,False,260,4.13664431077246,4.8181207169179165,3.4240339862831064,0.5076923076923077,-0.16474135916660448,3.8482287440445724,0.9999250447434818
L1_all,M1_Flat_XGB,1,all,False,260,4.13664431077246,4.686408179758465,3.4442995512510555,0.4807692307692308,-0.13290092830904876,3.4954337358931986,0.9997216840372964
L4_all,M1_Flat_Ridge,4,all,False,257,4.1517846708743695,5.908785728198948,4.168555301927562,0.490272373540856,-0.4231917588718668,3.1351058574090716,0.9990408620538022
L4_all,M1_Flat_XGB,4,all,False,257,4.1517846708743695,4.694476343452524,3.3632451924767426,0.5252918287937743,-0.13071286581533226,3.092647434341697,0.9988982915917781
L8_all,M1_Flat_Ridge,8,all,False,253,4.1717189185248165,6.5614411718868135,4.7928011430487345,0.4901185770750988,-0.572838750652702,4.929265121305123,0.9999992511295822
L8_all,M1_Flat_XGB,8,all,False,253,4.1717189185248165,4.74650961892416,3.3456787179492595,0.525691699604743,-0.13778270099812895,2.5636724613669153,0.9945309231569168
L12_all,M1_Flat_Ridge,12,all,False,249,4.1807973721129645,6.901032608950704,5.173061215186902,0.4979919678714859,-0.6506498628664559,6.026908706838688,0.9999999969931469
L12_all,M1_Flat_XGB,12,all,False,249,4.1807973721129645,4.8399505282495365,3.4068764447512,0.5261044176706827,-0.15766206717725662,2.5750142201615884,0.9946978595932641
L4_returns,M1_Flat_Ridge,4,returns,False,257,4.1517846708743695,6.22515814210526,4.414059564118329,0.49416342412451364,-0.4993933056731086,3.500944094859367,0.999726612626072
L4_returns,M1_Flat_XGB,4,returns,False,257,4.1517846708743695,4.521614970824094,3.2531494976777346,0.5214007782101168,-0.08907742796589635,2.3369247823730994,0.9898926398476151
L4_tuned,M1_Flat_Ridge,4,all,True,257,4.1517846708743695,4.256348943170461,3.090131492098012,0.4980544747081712,-0.02518537944167276,1.5850618259454587,0.9429066209831216
L4_tuned,M1_Flat_XGB,4,all,True,257,4.1517846708743695,4.368428737773503,3.2651414540476664,0.5525291828793775,-0.052180949657369524,2.120562374879635,0.9825397846770563
L4_returns_tuned,M1_Flat_Ridge,4,returns,True,257,4.1517846708743695,4.297258088696865,3.055412727457635,0.5369649805447471,-0.035038767507145074,1.6509244557147789,0.9500099019458912
L4_returns_tuned,M1_Flat_XGB,4,returns,True,257,4.1517846708743695,4.429568477610952,3.1918100674783276,0.5447470817120622,-0.06690708424386593,2.4694663448284087,0.9929077171256788
