arm,model,test_weeks,M1_RMSE,M3_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
core,Ridge,257,4.256348943170461,4.351049548950823,-0.04799499344807989,0.288641467471362,0.8209993753548996
core,XGB,257,4.368428737773503,4.47587460580676,-0.07806039104242313,0.09587756183528406,0.8839558438295232
full,Ridge,257,4.256348943170461,4.430243432157846,-0.06706965398203879,0.2639149368372862,0.8417522184417363
full,XGB,257,4.368428737773503,4.429198134964165,-0.06681788341189954,0.00018519893600976722,0.7046045250776587
portwatch-only,Ridge,257,4.256348943170461,4.34573824689895,-0.04671571177214595,0.09801213942592568,0.8830307449047725
portwatch-only,XGB,257,4.368428737773503,4.35571294940494,-0.04911822136662569,0.00031047205192868965,0.4544447305487751
gfw-only,Ridge,257,4.256348943170461,4.383093368861135,-0.05571307674250159,0.3536006472253981,0.8175911755035608
gfw-only,XGB,257,4.368428737773503,4.388431819698826,-0.05699889748246956,0.046619868205048265,0.6217606188735999
gfw-presence,Ridge,257,4.256348943170461,4.321937443899033,-0.04098304380242079,0.31274478996251087,0.7622864483447656
gfw-presence,XGB,257,4.368428737773503,4.358978466792668,-0.049904754784564354,0.03884628048432792,0.4499018377505104
gfw-aggregate,Ridge,257,4.256348943170461,4.245899424146903,-0.022668505409918716,0.046850691304371916,0.2386758686946585
gfw-aggregate,XGB,257,4.368428737773503,4.343757760662482,-0.04623869131143632,0.09443754190037223,0.29925909897838243
tanker-only,Ridge,257,4.256348943170461,4.282891457420296,-0.03157841673862993,0.09067309576655491,0.6843204537242307
tanker-only,XGB,257,4.368428737773503,4.342732556159355,-0.045991760272281024,0.0017933106122995923,0.4120642879668389
