feature,mean_abs_shap
pw_hormuz_tanker_share,0.012244973
pw_suez_n_tanker_wow_pct,0.0079260385
gold_return,0.004691721
pw_malacca_tanker_cap_share,0.004334359
brent_f1_spot_log_basis,0.0038212286
vix,0.003318499
pw_malacca_avg_tanker_size,0.0025106703
cadusd_log_return,0.0020708765
brent_wti_spread,0.0019999822
pw_hormuz_n_tanker_wow_pct,0.0015637605
pw_malacca_tanker_share,0.0014978548
crude_production,0.0014734499
pw_hormuz_avg_tanker_size,0.0014503222
distillate_supplied,0.0014041195
gfw_mandeb_other_share,0.0013460211
dollar_index,0.0013452936
cushing_stocks,0.0013425666
gpr,0.0011923199
cushing_stocks_change,0.0011658559
pw_mandeb_n_tanker_wow_pct,0.0011156001
gasoline_supplied,0.0011125782
gfw_suez_other_share,0.0010448702
ovx,0.000942434
pw_cape_capacity_tanker,0.00092631707
pw_suez_avg_tanker_size,0.00091807614
gfw_cape_other_hours,0.000844968
crude_imports,0.0008433903
sp500_log_return,0.000753959
crude_stocks_excl_spr,0.0007483617
pw_panama_capacity_tanker,0.0007064562
brent_price,0.0006347371
pw_panama_n_tanker_wow_pct,0.00058985985
crude_stocks_change,0.0005694943
pw_malacca_n_tanker_wow_pct,0.00055704085
pw_suez_tanker_cap_share,0.00052202796
wti_price,0.0005191191
pw_suez_capacity,0.00051659154
gfw_mandeb_bunker_hours,0.00040817395
pw_mandeb_avg_tanker_size,0.000387629
pw_cape_avg_tanker_size,0.00036771822
gfw_malacca_bunker_hours,0.00036255125
gfw_hormuz_mean_presence_hours_per_vessel,0.00035319265
gfw_cape_cargo_hours,0.00034196718
brent_log_return,0.00034121212
pw_cape_tanker_share,0.0003333594
pw_suez_capacity_tanker,0.00029764744
wti_log_return,0.00029020684
gfw_panama_total_hours,0.00028921055
gfw_malacca_cargo_hours,0.00028634074
pw_all_tanker_share,0.00027844746
dgs10_change,0.00027350456
gfw_panama_other_share,0.00027205775
refinery_crude_input,0.00026994347
gfw_panama_total_vessels,0.00026315276
gfw_mandeb_total_hours,0.00024995793
gfw_hormuz_total_hours_mom_pct,0.00022345608
pw_cape_capacity,0.00021781021
pw_cape_n_total,0.00020676227
pw_hormuz_tanker_cap_share,0.00019564694
pw_panama_n_total,0.00019442666
pw_cape_n_tanker_wow_pct,0.00019442088
pw_mandeb_tanker_cap_share,0.00018784717
pw_imp_hubs_import_vol,0.0001821872
jet_fuel_supplied,0.0001802761
pw_panama_tanker_share,0.00017871938
gfw_hormuz_cargo_hours,0.00017785815
gfw_cape_total_vessels,0.00015672819
gfw_mandeb_cargo_hours,0.00014854663
gfw_hormuz_total_hours,0.00014432194
gfw_cape_other_share,0.00013499081
gfw_suez_other_hours,0.00012889774
pw_cape_n_tanker,0.00012699327
pw_panama_avg_tanker_size,0.00011364217
crude_exports,9.8749915e-05
pw_malacca_n_total,9.152987e-05
pw_all_n_tanker_sum,8.5887244e-05
pw_panama_tanker_cap_share,8.385621e-05
pw_hormuz_capacity_tanker,8.1856575e-05
gfw_hormuz_other_share,8.1592756e-05
pw_tanker_exp_imp_net,6.585387e-05
pw_exp_hubs_export_vol,6.168957e-05
treasury_10y,5.0283918e-05
pw_all_n_total_sum,4.7577156e-05
gfw_suez_mean_presence_hours_per_vessel,4.7363235e-05
pw_tanker_exp_imp_asym,4.5824472e-05
pw_suez_tanker_share,3.254441e-05
pw_tanker_exp_imp_asym_4w_ma,2.8402928e-05
pw_mandeb_tanker_share,2.6863341e-05
refinery_utilisation,2.2427688e-05
gfw_suez_total_hours_mom_pct,1.8313807e-05
pw_mandeb_capacity_tanker,1.7067936e-05
pw_hormuz_n_total,1.6760974e-05
gfw_mandeb_total_hours_mom_pct,1.6440594e-05
global_econ_activity,1.1477229e-05
pw_cape_capacity_tanker_4w_ma,7.9971205e-06
pw_tanker_exp_imp_log_ratio,0.0
pw_panama_capacity,0.0
gfw_mandeb_mean_presence_hours_per_vessel,0.0
pw_panama_capacity_tanker_4w_ma,0.0
pw_panama_n_tanker,0.0
gfw_malacca_total_vessels,0.0
gfw_malacca_total_hours_mom_pct,0.0
gfw_cape_total_hours_mom_pct,0.0
gfw_malacca_other_share,0.0
gfw_malacca_total_hours,0.0
gfw_malacca_other_hours,0.0
gfw_malacca_mean_presence_hours_per_vessel,0.0
