kind,name,att_mean,att_std,rank_mean,rank_std,freq_top5,n_seeds
rs,P006,0.10108971435107995,0.01612437072122738,3.6666666666666665,1.8856180831641267,3,3
rs,P001,0.09784432253939246,0.006975605252667368,4.0,0.816496580927726,3,3
rs,P004,0.11133497765700873,0.015744593805278387,3.0,2.160246899469287,2,3
rs,P008,0.0957243169105857,0.012480116488132324,5.0,2.943920288775949,2,3
rs,P009,0.09202929365602062,0.018427645591835153,5.333333333333333,4.0276819911981905,2,3
rs,P007,0.09067402509718786,0.008759460585765736,5.666666666666667,1.247219128924647,1,3
rs,P011,0.0868339044671269,0.015306970663646828,7.0,3.265986323710904,1,3
rs,P002,0.08640399347174182,0.018111376183271546,6.666666666666667,4.0276819911981905,1,3
rs,P003,0.08202434455355008,0.010491387099884005,8.0,2.160246899469287,0,3
rs,P005,0.08020012332525119,0.007625868799376584,8.666666666666666,0.9428090415820634,0,3
rs,P010,0.07584098575518367,0.003750100731613407,9.0,0.816496580927726,0,3
ship,hormuz,0.08297834964136892,0.007682436186709791,2.6666666666666665,0.9428090415820634,3,3
ship,P003,0.06936237113622783,0.016355781621199387,5.0,4.320493798938574,2,3
ship,P009,0.06319827467015003,0.016391151198761,6.333333333333333,4.784233364802441,2,3
ship,P006,0.06193946883749476,0.009271527735920942,6.333333333333333,1.8856180831641267,2,3
ship,suez,0.06445316064890823,0.019932512188630014,9.0,4.320493798938574,1,3
ship,P002,0.06392586309913952,0.012314090580050858,6.333333333333333,3.8586123009300755,1,3
ship,mandeb,0.062046958490751376,0.03338692516655072,10.666666666666666,6.847546194724712,1,3
ship,panama,0.0602826361999522,0.017675107717643673,11.0,4.96655480858378,1,3
ship,P001,0.05900215706825751,0.016208613069085963,8.333333333333334,4.988876515698588,1,3
ship,cape,0.045176001587863314,0.015728808230688708,13.0,5.656854249492381,1,3
ship,P005,0.05868730340936631,0.012683958035543902,8.666666666666666,3.7712361663282534,0,3
ship,P007,0.05756656683956655,0.011417688887556822,9.0,2.160246899469287,0,3
ship,P011,0.0570249049577031,0.0036998021729735342,9.0,0.816496580927726,0,3
ship,P010,0.05427968626351252,0.006753794504205978,10.0,2.8284271247461903,0,3
ship,malacca,0.04924384047109368,0.009796967912424572,12.0,3.7416573867739413,0,3
ship,P008,0.04583954140847433,0.00639046547722996,13.666666666666666,2.0548046676563256,0,3
ship,P004,0.04499291560169305,0.011149521309519251,12.0,3.559026084010437,0,3
