date,rs:P001,rs:P002,rs:P003,rs:P004,rs:P005,rs:P006,rs:P007,rs:P008,rs:P009,rs:P010,rs:P011,sh:P001,sh:P002,sh:P003,sh:P004,sh:P005,sh:P006,sh:P007,sh:P008,sh:P009,sh:P010,sh:P011,sh:hormuz,sh:suez,sh:malacca,sh:mandeb,sh:panama,sh:cape
2021-01-22,0.033873394,0.034258787,0.033822283,0.03373006,0.03428513,0.032110214,0.03297712,0.031891968,0.03400093,0.034442227,0.034786947,0.037581235,0.037402235,0.037971288,0.036586333,0.038086116,0.037397042,0.037094258,0.03716815,0.03790582,0.036812153,0.037524544,0.036220036,0.03679031,0.035974856,0.036013283,0.036391277,0.036902
2021-01-29,0.03390415,0.03424049,0.03433701,0.035863917,0.034316406,0.03273624,0.03271569,0.03207391,0.033635423,0.03446725,0.036313012,0.03708581,0.037391327,0.037721466,0.03633401,0.03771591,0.037140477,0.037100516,0.03717294,0.037541628,0.036787644,0.03750786,0.03581336,0.036257476,0.035745956,0.03574083,0.035980403,0.036358878
2021-02-05,0.03341396,0.034756385,0.03387935,0.033523753,0.034008007,0.032859843,0.032959487,0.03244496,0.03400668,0.03406504,0.034926295,0.0381512,0.03840235,0.038466055,0.037764248,0.038570553,0.03805346,0.038310364,0.038241412,0.03866429,0.037742402,0.037836872,0.03510324,0.034928672,0.034913637,0.034341786,0.034505296,0.035160355
2021-02-12,0.033612046,0.03414283,0.033772364,0.035655428,0.034363583,0.03268426,0.032997727,0.032001883,0.03395329,0.033945937,0.03594065,0.03749793,0.03788294,0.038183197,0.03672418,0.038149226,0.037529208,0.037690513,0.03760778,0.03801281,0.037254356,0.036983345,0.03533546,0.035945993,0.03521858,0.035133038,0.035482276,0.036299173
2021-02-19,0.034452386,0.03492173,0.034550466,0.034728535,0.034549996,0.033850014,0.03374304,0.03377108,0.03451489,0.034626078,0.03570128,0.03744426,0.037770454,0.03786829,0.03759198,0.03779687,0.037555527,0.037359923,0.037615903,0.037891388,0.036963917,0.036738433,0.034857206,0.03472389,0.035067204,0.03426457,0.03435257,0.034728117
2021-02-26,0.033518393,0.0333032,0.033974733,0.03699039,0.03381375,0.03216011,0.031673267,0.03153318,0.032674205,0.03385766,0.036696024,0.038205147,0.03855486,0.03897525,0.037182603,0.03866963,0.038835622,0.037836697,0.038127024,0.03851535,0.03736312,0.037280805,0.034565117,0.035146013,0.035309747,0.034288958,0.035397477,0.03555169
2021-03-05,0.032437112,0.032512534,0.03327488,0.03829023,0.03275244,0.030479342,0.030861707,0.030690769,0.032161456,0.033155266,0.0355344,0.03921993,0.039805178,0.040095594,0.038098697,0.039669625,0.04004047,0.038194038,0.038047217,0.040096227,0.0377507,0.037011046,0.034224797,0.035354815,0.035530545,0.034250326,0.035130646,0.03533
2021-03-12,0.033051085,0.03456214,0.034394395,0.03881034,0.03347428,0.032461517,0.03350246,0.034110513,0.033892278,0.033206534,0.03800319,0.038041078,0.038648993,0.03903546,0.03739101,0.038850762,0.038803734,0.038154315,0.037683178,0.038786203,0.03836733,0.037567783,0.032960054,0.03317704,0.03367772,0.032563195,0.0331866,0.033636782
2021-03-19,0.034398787,0.034388848,0.034324855,0.036889974,0.034568846,0.032919735,0.033484623,0.03300722,0.034107823,0.033997253,0.037663948,0.03724145,0.037892215,0.03825185,0.03686607,0.038053855,0.037433803,0.037502725,0.037658494,0.03801109,0.037343614,0.037138067,0.03430126,0.034742866,0.034251172,0.034058154,0.034542445,0.034958933
2021-03-26,0.03456206,0.035502795,0.034888603,0.035216305,0.03444315,0.03340147,0.03392227,0.03366197,0.034554295,0.034285937,0.037249796,0.037245303,0.037589684,0.03772176,0.036856834,0.037825983,0.037220094,0.037845675,0.03741475,0.037704952,0.03738668,0.037228864,0.03456056,0.03432051,0.034336217,0.034185935,0.034325648,0.03454192
