arm,config,fusion,modality_dropout,min_train,period,n_test,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1
m4concat,m4concat,concat,0.0,104,full,257,4.320439963692605,-0.04062236030721622,0.49416342412451364,0.6374368985471914,0.6497723845310719
m4rep_gated,m4rep,gated,0.0,104,full,257,4.204943374355334,-0.01280381997021296,0.5019455252918288,0.8944291166651891,0.2389903562791369
m4xattn,m4xattn,xattn,0.0,104,full,257,4.146707092423534,0.0012229869449771336,0.5642023346303502,0.01781794726253283,0.08780516928514348
m4rep_drop0.3,m4rep,gated,0.3,104,full,257,4.159618553573184,-0.001886871145743818,0.4980544747081712,0.3162588798502646,0.09607384896505382
m4xattn_drop0.3,m4xattn,xattn,0.3,104,full,257,4.126070631916277,0.006193490509872057,0.5603112840466926,0.00822175535943237,0.04986463535554314
m4rep_longwin(mt78),m4rep,gated,0.0,78,full,283,4.073871261728155,-0.013633302040244155,0.4876325088339223,0.9243145618456203,0.2389903562791369
m4rep_gated,m4rep_gated,,0.0,104,early(<=2022),102,5.310633372320021,-0.023499808027121816,0.47058823529411764,0.9884335906152213,0.4231687895476316
m4rep_gated,m4rep_gated,,0.0,104,late(>=2023),155,3.2799190604727606,0.0048859642765223255,0.5225806451612903,0.06167531020668049,0.09771139095424201
m4xattn,m4xattn,,0.0,104,early(<=2022),102,5.182323576094054,0.0012288905288295737,0.5490196078431373,0.0860214382194564,0.10508471070354265
m4xattn,m4xattn,,0.0,104,late(>=2023),155,3.2920240518980775,0.0012133593592812408,0.5741935483870968,0.05520192619141073,0.26789057456098475
