group,config,seed,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1,n_test
seed,fusion,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.147268403326599,0.0010877894461754911,0.5291828793774319,0.16586889151351691,0.06077577656204464,257
seed,fusion,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.212370894361196,-0.014592814485744121,0.45525291828793774,0.9672599298610317,0.25828871182121727,257
seed,fusion,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.154724349376038,-0.0007080517740458703,0.4785992217898833,0.1873893844460468,0.04831013261503541,257
seed,m4rep,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.204943374355334,-0.01280381997021296,0.5019455252918288,0.8944291166651891,0.2389903562791369,257
seed,m4rep,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.200958801663879,-0.011844094693657103,0.49416342412451364,0.7172624177822702,0.219353247604534,257
seed,m4rep,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.160249240342741,-0.002038778534867669,0.4591439688715953,0.11125556440455919,0.09641764635788652,257
seed,m4xattn,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.146707092423534,0.0012229869449771336,0.5642023346303502,0.01781794726253283,0.08780516928514348,257
seed,m4xattn,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.177590207245261,-0.006215528601934306,0.5175097276264592,0.24423436262270837,0.1645837745788839,257
seed,m4xattn,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.358464808840232,-0.04978103498858366,0.4357976653696498,0.9872828823813298,0.9443693664112436,257
hyper,fusion,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.147268403326599,0.0010877894461754911,0.5291828793774319,0.16586889151351691,0.06077577656204464,257
hyper,fusion,42,4,64,2,2,meanpool,0.001,0.0001,0.1,4.191267613285478,-0.009509872390080831,0.4669260700389105,0.5864963270439036,0.16909228578170504,257
hyper,fusion,42,8,32,2,2,meanpool,0.001,0.0001,0.1,4.157620472506083,0.003379529228618061,0.5533596837944664,0.10127480680675771,0.04139439688022278,253
hyper,fusion,42,8,64,2,2,meanpool,0.001,0.0001,0.1,4.2043748167565544,-0.007827923901278844,0.48616600790513836,0.5032099638039225,0.15008922033327304,253
hyper,fusion,42,12,32,2,2,meanpool,0.001,0.0001,0.1,4.197198285739762,-0.003922915216172829,0.5060240963855421,0.2596126077111275,0.10290396777445988,249
hyper,fusion,42,12,64,2,2,meanpool,0.001,0.0001,0.1,4.195886544871397,-0.0036091614626150292,0.4939759036144578,0.22085137900841845,0.11679901814297446,249
hyper,fusion,42,8,32,1,1,meanpool,0.001,0.0001,0.1,4.165841044890903,0.001408981225415884,0.5335968379446641,0.16579201773550745,0.06691270694924514,253
rs,rs,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.2473340827514265,-0.02301405767677589,0.4591439688715953,0.9281138079154374,0.4572924772135197,257
rs,rs,42,4,32,2,2,cls,0.001,0.0001,0.1,4.609718578948405,-0.11029808729882751,0.4591439688715953,0.6874851048170987,0.8961286718587795,257
rs,rs,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.190772007710942,-0.009390500694816062,0.490272373540856,0.6017127927414636,0.19754969414735113,257
rs,rs,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.248685993525153,-0.02333967927830316,0.4280155642023346,0.9467555122200224,0.4634745858303559,257
rs,rs,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.18914796173472,-0.008999332533419002,0.490272373540856,0.6051771036725904,0.195259366669219,257
rs,rs,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.228421712711202,-0.018458819016905492,0.4357976653696498,0.891562661648732,0.3676659276800012,257
rs,rs,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.19040916367868,-0.009303105981210757,0.4591439688715953,0.726095111874228,0.18128606733046437,257
rs,rs,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.21976554912672,-0.01637389307043069,0.45525291828793774,0.8743594534330175,0.327182884292216,257
rs,rs,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.192116798335254,-0.009714407335193131,0.4591439688715953,0.7337355551556575,0.18795261235967853,257
reg,fusion,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.139646102391628,0.002923698949971243,0.556420233463035,0.13585676207669461,0.037942104789510094,257
reg,fusion,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.148303328332272,0.0008385171240984368,0.5447470817120622,0.16786490918689168,0.06391028325041155,257
reg,fusion,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.1431467737946415,0.002080526271105665,0.5408560311284046,0.16762441300711273,0.04819759872654517,257
reg,fusion,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.152397854231185,-0.00014769151230731303,0.5408560311284046,0.21466505601296704,0.07447056799688491,257
reg,fusion,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.147160732336255,0.001113723110582332,0.5525291828793775,0.17275429286191168,0.05595881493941606,257
reg,fusion,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.150658685542583,0.00027120513731981877,0.5330739299610895,0.20749740474676392,0.07049460448901013,257
reg,fusion,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.152941252966083,-0.0002785746813478429,0.5486381322957199,0.22787279360504886,0.06752787512698558,257
