date,rs:P001,rs:P002,rs:P003,rs:P004,rs:P005,rs:P006,rs:P007,rs:P008,rs:P009,rs:P010,rs:P011,sh:P001,sh:P002,sh:P003,sh:P004,sh:P005,sh:P006,sh:P007,sh:P008,sh:P009,sh:P010,sh:P011,sh:hormuz,sh:suez,sh:malacca,sh:mandeb,sh:panama,sh:cape
2021-02-19,0.035746608,0.03633403,0.036314666,0.034981553,0.03660047,0.035007752,0.03538508,0.035698928,0.03656748,0.036260955,0.03591072,0.036011435,0.036259413,0.03643062,0.036320623,0.036227718,0.036297087,0.036525365,0.036361154,0.036416188,0.036393598,0.036179308,0.034256585,0.033970825,0.03451517,0.034231693,0.034001514,0.034793496
2021-02-26,0.035014305,0.03497395,0.03687608,0.036828876,0.03482521,0.033596024,0.032434054,0.03409978,0.033818033,0.035204127,0.03671562,0.036676943,0.037069123,0.037267983,0.036169983,0.03736381,0.03733726,0.037999053,0.037311472,0.03720648,0.037144057,0.036863662,0.033901654,0.034532472,0.034378953,0.03426131,0.03491097,0.035218757
2021-03-05,0.03421184,0.03435385,0.035517547,0.036808774,0.034399614,0.032682266,0.032432258,0.033220705,0.034015678,0.034150247,0.036205936,0.03717542,0.038010515,0.038259804,0.03706128,0.03816336,0.038123086,0.038549334,0.03716693,0.03848088,0.037874714,0.036865443,0.03377868,0.034660418,0.03456777,0.034041952,0.034452245,0.03476949
2021-03-12,0.03502903,0.036671087,0.036606405,0.036251113,0.035787,0.0340109,0.034957394,0.034932006,0.036536902,0.03514215,0.037337676,0.036391005,0.037045926,0.03721694,0.035974912,0.037211813,0.037583493,0.03795501,0.03646466,0.037447013,0.038197175,0.037786696,0.03232391,0.03265422,0.03278413,0.033085324,0.032982245,0.03363388
2021-03-19,0.035348844,0.036353823,0.03648918,0.035620272,0.036140177,0.034095757,0.034376517,0.034749284,0.035903163,0.03576282,0.037251294,0.03598384,0.03667695,0.036904488,0.035767097,0.036721565,0.036180373,0.037095323,0.036726136,0.036915846,0.037018273,0.037153915,0.033654425,0.034082107,0.033570766,0.03415605,0.03421855,0.035083175
2021-03-26,0.035638966,0.036771037,0.03668064,0.035263933,0.036141906,0.03496806,0.035593417,0.03556341,0.036748707,0.036152255,0.03636902,0.035834674,0.036280435,0.03633214,0.0356331,0.03639985,0.035960063,0.036697894,0.036222838,0.03639684,0.03672911,0.036984462,0.033698317,0.033925004,0.033587728,0.034511194,0.034058027,0.03485697
2021-04-02,0.035798132,0.037233993,0.03729457,0.03591634,0.036159296,0.03516801,0.03538524,0.03580799,0.03670515,0.036043957,0.037183806,0.036180392,0.03633212,0.036336225,0.035964686,0.036350407,0.036071174,0.03663428,0.036096722,0.03660631,0.03683163,0.036924355,0.033489704,0.032761727,0.03323751,0.033666458,0.03334509,0.034474738
2021-04-09,0.036246587,0.036741666,0.03718708,0.03705077,0.035951786,0.0355119,0.035193317,0.035891384,0.035934918,0.03592436,0.037851032,0.03586834,0.035985548,0.0359397,0.03587754,0.035794728,0.03597268,0.036550835,0.036055293,0.03604275,0.035931703,0.03662325,0.03397659,0.034145966,0.033926398,0.033780757,0.03396138,0.034081753
2021-04-16,0.035536412,0.03662515,0.037291992,0.034345906,0.035918105,0.034515873,0.03432438,0.035684735,0.03632553,0.0362405,0.03604255,0.036551967,0.03650181,0.036673456,0.03594103,0.036567837,0.036138672,0.036896225,0.0365631,0.03678951,0.03707356,0.037499487,0.033534206,0.034349762,0.03293948,0.034461353,0.033692513,0.03497486
2021-04-23,0.03612988,0.036616474,0.03731905,0.035167877,0.036307096,0.035213884,0.035034128,0.03609252,0.036483333,0.036349006,0.036448352,0.036194853,0.03634249,0.036252405,0.03601774,0.0362092,0.03608731,0.03670589,0.036684256,0.03641984,0.03632319,0.036469128,0.03379079,0.0334637,0.03365674,0.033884216,0.03393973,0.03439693
2021-04-30,0.036308344,0.03695846,0.03696479,0.03638356,0.036565904,0.034728043,0.03542237,0.03499791,0.036422767,0.03618112,0.037764102,0.035646696,0.036079645,0.03620689,0.035420485,0.036131844,0.035638165,0.036513142,0.03634548,0.03619007,0.036383584,0.0359854,0.033840742,0.034339387,0.033446956,0.03417395,0.034148686,0.03481155
2021-05-07,0.036681958,0.037203882,0.03845121,0.036731716,0.035802156,0.03657984,0.035121273,0.036316298,0.035570472,0.03654444,0.038256966,0.035866633,0.03584045,0.03550461,0.036213405,0.035666566,0.035934344,0.03635388,0.03616678,0.03598624,0.03614017,0.03620871,0.033481404,0.033111155,0.033596512,0.03379871,0.033309776,0.033560432
2021-05-14,0.03610442,0.03606298,0.037610397,0.034730084,0.036510326,0.034506813,0.03391067,0.03561173,0.03571617,0.03609941,0.03707434,0.03635627,0.03653384,0.036478817,0.035913903,0.03647452,0.03601931,0.03688017,0.036882203,0.036686294,0.03686257,0.036662515,0.03385418,0.033936936,0.03324205,0.034171253,0.033917964,0.03518989
2021-05-21,0.03600651,0.03629159,0.038313895,0.036087796,0.035006996,0.03579166,0.034288168,0.03707269,0.03524199,0.03617106,0.037781555,0.03583978,0.036082968,0.035984047,0.03599951,0.035979107,0.036124073,0.036681846,0.036176316,0.036114987,0.03633402,0.035990518,0.034010217,0.03377197,0.03406087,0.034318864,0.034189068,0.034287933
2021-05-28,0.0356678,0.03643373,0.038615886,0.035400104,0.034741275,0.035606954,0.033895858,0.037702747,0.034941457,0.03569027,0.037821636,0.036303002,0.03605171,0.036197018,0.035581797,0.03635181,0.035589386,0.036699783,0.035865314,0.036330786,0.03652067,0.03678398,0.034189794,0.033917177,0.03355343,0.034678627,0.034421574,0.03444646
2021-06-04,0.03417015,0.03723365,0.039500926,0.035702076,0.033994343,0.035493523,0.033614,0.036749184,0.034129195,0.036916606,0.037940055,0.035804972,0.03621933,0.03628821,0.035950333,0.0361785,0.03614375,0.03653627,0.036465313,0.036140695,0.03624462,0.03638557,0.033993028,0.034306336,0.033972356,0.034565166,0.03438282,0.034979012
2021-06-11,0.03448361,0.036438797,0.03864668,0.035570152,0.03451389,0.03541264,0.033808395,0.03676459,0.034252357,0.036511518,0.037572056,0.036119305,0.03626664,0.036158465,0.03593493,0.03627766,0.036183942,0.036469143,0.036290605,0.036139816,0.03598631,0.036555327,0.034381516,0.03444007,0.03423442,0.034835152,0.034688838,0.035063148
2021-06-18,0.035091307,0.03620369,0.03956107,0.034596678,0.033785373,0.035230253,0.03329052,0.03811296,0.033825897,0.035590053,0.036961578,0.036684155,0.036554925,0.036344104,0.036307342,0.036352936,0.0359267,0.03759753,0.036181003,0.03641206,0.03587158,0.036999017,0.034703195,0.0342776,0.033831034,0.034703672,0.034105547,0.034898203
2021-06-25,0.03658604,0.03606301,0.03773933,0.03706865,0.035246775,0.035366315,0.034681194,0.036780324,0.035437927,0.035363033,0.037376486,0.03529668,0.036141533,0.035985954,0.035652325,0.03608039,0.035574157,0.036567535,0.036165964,0.0360433,0.035493575,0.035744347,0.03455011,0.034470268,0.034252033,0.034662757,0.034836747,0.034773245
2021-07-02,0.034598455,0.036574565,0.04014635,0.0355148,0.03341352,0.035773877,0.033295568,0.037858203,0.033595715,0.03603061,0.03803999,0.036005944,0.03647037,0.03663193,0.036777407,0.03614298,0.036215305,0.036412425,0.036747374,0.036304846,0.035806865,0.036372278,0.03428053,0.03388111,0.03379253,0.03460672,0.034259673,0.034450077
2021-07-09,0.035089858,0.03634683,0.039640043,0.0366409,0.034240544,0.0356329,0.033813946,0.0371845,0.034097597,0.035981547,0.03861973,0.0360111,0.036176626,0.035621736,0.036539204,0.035839908,0.03615252,0.038336363,0.036869522,0.03586918,0.036111873,0.036626164,0.033713937,0.033396266,0.033542976,0.034045625,0.033683755,0.034174822
2021-07-16,0.034606043,0.036438473,0.03958733,0.03533233,0.034008898,0.036150847,0.034348786,0.037951984,0.03401751,0.03632133,0.03737975,0.036101706,0.035812654,0.035577137,0.03595466,0.03578772,0.036476254,0.035700236,0.036592916,0.035835877,0.036918625,0.036366798,0.034897607,0.034126267,0.03415999,0.034639616,0.034215145,0.0346935
2021-07-23,0.035127718,0.034466136,0.03834319,0.03573279,0.034863017,0.03389629,0.03299859,0.0358881,0.034163933,0.03457531,0.036583275,0.036133554,0.03660408,0.03698771,0.035864893,0.036954474,0.035992183,0.03731715,0.036713317,0.03699047,0.036522403,0.037560474,0.034675103,0.034944948,0.0340964,0.035185408,0.034861423,0.035957642
2021-07-30,0.035200536,0.035441138,0.038904354,0.03675432,0.035319194,0.035365105,0.033710822,0.03606064,0.03418421,0.035716128,0.038286608,0.036083445,0.03614125,0.036236443,0.035514828,0.03637124,0.035928503,0.03647445,0.036474407,0.03624043,0.036370933,0.036445208,0.034049924,0.034315765,0.033622026,0.034571804,0.03511987,0.03509642
