config,model,lookback,feature_mode,tune,test_weeks,m0_rmse,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0
(benchmark),M0_RW,0,-,False,260,4.13664431077246,4.13664431077246,2.997461538461538,,0.0,,
L1_all,M1_Ridge,1,all,False,260,4.13664431077246,4.882697431464234,3.508396258521729,0.5230769230769231,-0.18035225285116674,4.062545038813128,0.9999678066450538
L1_all,M1_XGB,1,all,False,260,4.13664431077246,4.787245492405197,3.487115343834168,0.5115384615384615,-0.15727752563556674,3.534653672174721,0.9997582628907214
L4_all,M1_Ridge,4,all,False,257,4.1517846708743695,5.696934511550051,4.14305576066666,0.490272373540856,-0.37216521644661094,5.076420923870117,0.999999629687335
L4_all,M1_XGB,4,all,False,257,4.1517846708743695,4.8574125662981915,3.3532702983801626,0.5214007782101168,-0.1699577293528607,2.9222804920123164,0.9981073415449827
L8_all,M1_Ridge,8,all,False,253,4.1717189185248165,6.887456809494209,5.022808386788572,0.4505928853754941,-0.650987744862187,5.532860445065517,0.999999960583258
L8_all,M1_XGB,8,all,False,253,4.1717189185248165,4.8325307648907865,3.381298423628624,0.5375494071146245,-0.15840277335838415,2.8450614897083297,0.9975974174341854
L12_all,M1_Ridge,12,all,False,249,4.1807973721129645,7.120421981846853,5.3110037793618865,0.4738955823293173,-0.7031253486098059,6.034655276030603,0.9999999971162452
L12_all,M1_XGB,12,all,False,249,4.1807973721129645,4.7424978595057,3.363874904276167,0.4819277108433735,-0.13435247810368134,3.173314739772796,0.9991513212195782
L4_returns,M1_Ridge,4,returns,False,257,4.1517846708743695,5.8974460187479645,4.274372630445983,0.47470817120622566,-0.42046047332843894,5.646025251627681,0.999999978236521
L4_returns,M1_XGB,4,returns,False,257,4.1517846708743695,4.796812137479672,3.3384106514065373,0.5136186770428015,-0.15536149336701022,2.6403707691438707,0.9956048124147914
L4_tuned,M1_Ridge,4,all,True,257,4.1517846708743695,4.33223697176346,3.0809779948649414,0.490272373540856,-0.043463790922251055,1.3577773937002158,0.9121350448847914
L4_tuned,M1_XGB,4,all,True,257,4.1517846708743695,4.771177922387276,3.405954281592332,0.5252918287937743,-0.14918722925542793,2.1517379666343857,0.9838232384381296
L4_returns_tuned,M1_Ridge,4,returns,True,257,4.1517846708743695,4.452984380661619,3.126173228244384,0.49416342412451364,-0.07254704510574173,2.1365891663562153,0.9832101102739306
L4_returns_tuned,M1_XGB,4,returns,True,257,4.1517846708743695,4.666372274772236,3.3037399287182327,0.5058365758754864,-0.12394371208791366,2.1065621670757197,0.9819355385439728
