dropped_aoi,Ridge_RMSE,XGB_RMSE,Ridge_dRMSE,XGB_dRMSE
(none/full),4.450876745637102,4.866604275613015,0.0,0.0
Basra,4.481422419312662,4.588827233757118,0.030545673675559826,-0.2777770418558969
Fujairah,4.414102806051858,4.564247574447388,-0.03677393958524444,-0.3023567011656265
Houston,4.442537731044347,4.589138926535821,-0.008339014592755767,-0.2774653490771941
Jamnagar,4.44721115127132,4.644003587142189,-0.0036655943657821766,-0.22260068847082604
Jurong,4.491029009351025,4.543415846834871,0.040152263713922665,-0.3231884287781437
Kharg,4.442734456399094,4.60073792738219,-0.008142289238008082,-0.26586634823082456
NingboZhoushan,4.417090581501633,4.540968868733522,-0.033786164135469754,-0.3256354068794929
RasTanura,4.434502795764669,4.551541261277159,-0.016373949872432902,-0.3150630143358555
Rotterdam,4.482602805410856,4.591845261910884,0.03172605977375387,-0.2747590137021305
Ulsan,4.454318420350363,4.600143165595574,0.003441674713260845,-0.266461110017441
Yanbu,4.446727356687838,4.601886462970288,-0.004149388949264754,-0.26471781264272654
