contract,lookback,model,test_weeks,M0_RMSE,M1_RMSE,M2_RMSE,M2_skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
anom,1,Ridge,260,4.13664431077246,4.190364455363528,4.212749615433619,-0.018397836251710098,0.3460460347863519,0.622696233950708
anom,1,XGB,260,4.13664431077246,4.510655229446884,4.4967866741261195,-0.08706147695991007,0.011472173833102284,0.4392131775518027
anom,4,Ridge,257,4.1517846708743695,4.250317019304946,4.420126951103678,-0.06463299556737256,0.4990359162759819,0.9649518765234996
anom,4,XGB,257,4.1517846708743695,4.435540550056368,4.481903492137752,-0.07951251026558159,0.04151776075676883,0.6774627599552949
anom,8,Ridge,253,4.1717189185248165,4.372862513211587,4.550010661727441,-0.09068006512202764,0.08475454712095987,0.9437695225573086
anom,8,XGB,253,4.1717189185248165,5.037715132066774,4.952418697338558,-0.18714103084629907,0.0048918404839732865,0.2046097952390024
literature,1,Ridge,260,4.13664431077246,4.190364455363528,4.162038227098858,-0.006138772013892568,0.03770842511138739,0.0808981068626531
literature,1,XGB,260,4.13664431077246,4.510655229446884,4.341359695373177,-0.04948827339774087,0.0001678706438029698,0.010751339847641258
literature,4,Ridge,257,4.1517846708743695,4.250317019304946,4.249619762805643,-0.02356458720453558,0.22108041313807458,0.49249091700465575
literature,4,XGB,257,4.1517846708743695,4.435540550056368,4.293070539458326,-0.03403015324352121,0.0010106301706477305,0.08088728658569799
literature,8,Ridge,253,4.1717189185248165,4.372862513211587,4.372444543243639,-0.0481158075697492,0.1773801763077556,0.49353981007310976
literature,8,XGB,253,4.1717189185248165,5.037715132066774,4.8292786586943945,-0.15762321311956962,0.00014934632513252666,0.017214971406610834
level,1,Ridge,260,4.13664431077246,4.190364455363528,4.190364455363528,-0.01298640650615579,,
level,1,XGB,260,4.13664431077246,4.510655229446884,4.510655229446884,-0.0904140870174508,,
level,4,Ridge,257,4.1517846708743695,4.250317019304946,4.250317019304946,-0.023732528597111724,,
level,4,XGB,257,4.1517846708743695,4.435540550056368,4.435540550056368,-0.06834551925888754,,
level,8,Ridge,253,4.1717189185248165,4.372862513211587,4.372862513211587,-0.04821599887604555,,
level,8,XGB,253,4.1717189185248165,5.037715132066774,5.037715132066774,-0.20758738315192793,,
