feature,mean_abs_shap
gold_return,0.005976544
brent_wti_spread,0.004088645
brent_f1_spot_log_basis,0.00397319
vix,0.002667882
gpr,0.0022495876
crude_imports,0.0020508147
crude_production,0.0020402477
cushing_stocks_change,0.0019956462
cadusd_log_return,0.0019366913
brent_log_return,0.0018032078
cushing_stocks,0.0017548726
pw_suez_n_tanker,0.001489743
dollar_index,0.0014579257
pw_suez_capacity_tanker,0.001362269
distillate_supplied,0.0013088273
pw_cape_capacity_tanker,0.0012709524
crude_stocks_excl_spr,0.0012401199
gfw_hormuz_cargo_hours,0.0011815954
gasoline_supplied,0.0011604419
pw_imp_hubs_import_vol,0.0011491785
pw_cape_n_tanker,0.0010692076
dgs10_change,0.0009944432
gfw_cape_cargo_hours,0.0009797752
wti_log_return,0.00088620244
brent_price,0.00084004196
pw_panama_capacity_tanker,0.0008382046
ovx,0.0008061284
sp500_log_return,0.0006886704
gfw_suez_total_hours_mom_pct,0.00066167145
crude_stocks_change,0.0006199276
pw_malacca_capacity_tanker,0.0005966735
wti_price,0.0005896535
jet_fuel_supplied,0.00052347366
crude_exports,0.0005052005
gfw_hormuz_total_hours_mom_pct,0.00049483404
pw_malacca_n_tanker,0.00044073258
pw_panama_n_tanker,0.00039506253
gfw_mandeb_total_hours_mom_pct,0.00031772
pw_mandeb_n_tanker,0.00031707028
gfw_panama_total_hours,0.00029541485
pw_hormuz_capacity_tanker,0.00024221138
gfw_panama_total_hours_mom_pct,0.00013997601
gfw_hormuz_total_vessels,0.00013791175
global_econ_activity,0.00012804054
gfw_cape_total_hours,0.00010557321
refinery_utilisation,9.943306e-05
refinery_crude_input,9.011337e-05
gfw_cape_total_hours_mom_pct,8.828451e-05
gfw_hormuz_total_hours,7.433774e-05
gfw_panama_cargo_hours,7.1777395e-05
pw_mandeb_capacity_tanker,5.4691445e-05
gfw_malacca_total_hours_mom_pct,4.3922213e-05
gfw_malacca_cargo_hours,3.0155372e-05
nonoil_industrial_commodity,2.7946193e-05
pw_hormuz_n_tanker,1.9909005e-05
pw_exp_hubs_export_vol,8.0309665e-06
gfw_suez_cargo_hours,0.0
brent_roll_week,0.0
gfw_mandeb_total_hours,0.0
treasury_10y,0.0
fed_funds_rate,0.0
gfw_panama_total_vessels,0.0
gfw_mandeb_total_vessels,0.0
gfw_suez_total_hours,0.0
gfw_mandeb_cargo_hours,0.0
gfw_cape_total_vessels,0.0
gfw_malacca_total_vessels,0.0
gfw_malacca_total_hours,0.0
gfw_suez_total_vessels,0.0
