experiment,model,n_features,val_accuracy,val_f1,val_auc,test_accuracy,test_f1,test_auc
M1,LogisticRegression,27,0.5064935064935064,0.6607142857142857,0.5340136054421768,0.45454545454545453,0.625,0.46530612244897956
M1,RandomForest,27,0.44155844155844154,0.5742574257425742,0.4170068027210885,0.38961038961038963,0.38961038961038963,0.39387755102040817
M1,XGBoost,27,0.44155844155844154,0.5057471264367817,0.4129251700680272,0.4935064935064935,0.4507042253521127,0.5115646258503401
M1,LightGBM,27,0.35064935064935066,0.358974358974359,0.4027210884353742,0.4025974025974026,0.34285714285714286,0.4496598639455783
M2,LogisticRegression,53,0.4805194805194805,0.6296296296296297,0.5020408163265306,0.45454545454545453,0.625,0.5027210884353741
M2,RandomForest,53,0.5064935064935064,0.4722222222222222,0.4959183673469387,0.5324675324675324,0.35714285714285715,0.4666666666666667
M2,XGBoost,53,0.45454545454545453,0.3225806451612903,0.4870748299319728,0.6103896103896104,0.375,0.5081632653061224
M2,LightGBM,53,0.5324675324675324,0.5,0.5251700680272109,0.5064935064935064,0.32142857142857145,0.4578231292517006
M3,LogisticRegression,163,0.5324675324675324,0.6785714285714286,0.5836734693877551,0.45454545454545453,0.6037735849056604,0.5591836734693877
M3,RandomForest,163,0.5194805194805194,0.5647058823529412,0.5428571428571428,0.45454545454545453,0.38235294117647056,0.47891156462585033
M3,XGBoost,163,0.5064935064935064,0.4722222222222222,0.4925170068027211,0.4935064935064935,0.2909090909090909,0.49659863945578225
M3,LightGBM,163,0.5194805194805194,0.5194805194805194,0.5394557823129252,0.4675324675324675,0.2807017543859649,0.4510204081632654
M4,LogisticRegression,263,0.5844155844155844,0.6862745098039216,0.5346938775510204,0.5454545454545454,0.6067415730337079,0.5666666666666667
M4,RandomForest,263,0.4675324675324675,0.32786885245901637,0.4462585034013605,0.4025974025974026,0.11538461538461539,0.3816326530612245
M4,XGBoost,263,0.45454545454545453,0.4,0.47346938775510206,0.5324675324675324,0.28,0.49659863945578236
M4,LightGBM,263,0.5324675324675324,0.5263157894736842,0.5217687074829933,0.5324675324675324,0.35714285714285715,0.5251700680272109
