arm,config,fusion,modality_dropout,min_train,period,n_test,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1
m4_deep_concat,m4_deep_concat,concat,0.0,104,full,257,4.320439963692605,-0.0406223603072162,0.4941634241245136,0.6374368985471914,0.6497723845310719
m4_deep_gated_gated,m4_deep_gated,gated,0.0,104,full,257,4.204943374355334,-0.0128038199702129,0.5019455252918288,0.8944291166651891,0.2389903562791369
m4_deep_xattn,m4_deep_xattn,xattn,0.0,104,full,257,4.146707092423534,0.0012229869449771,0.5642023346303502,0.0178179472625328,0.0878051692851434
m4_deep_gated_drop0.3,m4_deep_gated,gated,0.3,104,full,257,4.159618553573184,-0.0018868711457438,0.4980544747081712,0.3162588798502646,0.0960738489650538
m4_deep_xattn_drop0.3,m4_deep_xattn,xattn,0.3,104,full,257,4.126070631916277,0.006193490509872,0.5603112840466926,0.0082217553594323,0.0498646353555431
m4_deep_gated_longwin(mt78),m4_deep_gated,gated,0.0,78,full,283,4.073871261728155,-0.0136333020402441,0.4876325088339223,0.9243145618456204,0.2389903562791369
m4_deep_gated_gated,m4_deep_gated_gated,,0.0,104,early(<=2022),102,5.310633372320021,-0.0234998080271218,0.4705882352941176,0.9884335906152212,0.4231687895476316
m4_deep_gated_gated,m4_deep_gated_gated,,0.0,104,late(>=2023),155,3.2799190604727606,0.0048859642765223,0.5225806451612903,0.0616753102066804,0.097711390954242
m4_deep_xattn,m4_deep_xattn,,0.0,104,early(<=2022),102,5.182323576094054,0.0012288905288295,0.5490196078431373,0.0860214382194564,0.1050847107035426
m4_deep_xattn,m4_deep_xattn,,0.0,104,late(>=2023),155,3.2920240518980775,0.0012133593592812,0.5741935483870968,0.0552019261914107,0.2678905745609847
