model,RMSE,MAE,DirAcc,RMSE_skill_vs_M0,DM_stat,DM_p_better_than_M0,CW_p_vs_M0
M0_RW,4.1517846708743695,3.01136186770428,,0.0,,,
M1_Flat_Ridge,4.256348943170461,3.090131492098012,0.4980544747081712,-0.0251853794416727,1.5850618259454552,0.9429066209831212,0.529925630459628
M1_Flat_XGB,4.3684287377735025,3.265141454047667,0.5525291828793775,-0.0521809496573693,2.1205623748796327,0.9825397846770562,0.1044322924517957
M1_Deep,4.249855085312962,3.115357937758948,0.4941634241245136,-0.0236212670485,2.011308901070138,0.9773295200392802,0.3153123122722086
M_ship_GNN,4.167583924094688,3.012907216969837,0.5058365758754864,-0.0038054124846969,0.5428751749501938,0.7061559614232158,0.4964277068822434
M_rs_deep,4.2473340827514265,3.1037330644893424,0.4591439688715953,-0.0230140576767758,2.373727716411811,0.9908260022789304,0.9281138079154374
M3_Deep_gated,4.147268403326599,3.018918315220263,0.5291828793774319,0.0010877894461754,-0.1433476277618491,0.4430642053648743,0.1658688915135169
M2_Deep_gated,4.252854074526352,3.106046131444684,0.4747081712062256,-0.0243436044169162,1.6351752617791613,0.9483793679970745,0.768963467223124
M4_Deep_gated,4.204943374355334,3.0570236712666747,0.5019455252918288,-0.0128038199702129,2.1892964062053935,0.9852607569512664,0.8944291166651891
M4_Deep_Concat,4.320439963692605,3.082789113468392,0.4941634241245136,-0.0406223603072162,1.1326935228906168,0.8707986323473392,0.6374368985471914
Naive_DirPersist,,,0.5097276264591439,,,,
