group,config,seed,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1,n_test
seed,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.147268403326599,0.0010877894461754,0.5291828793774319,0.1658688915135169,0.0607757765620446,257
seed,m3_deep_gated,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.212370894361196,-0.0145928144857441,0.4552529182879377,0.9672599298610316,0.2582887118212172,257
seed,m3_deep_gated,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.154724349376038,-0.0007080517740458,0.4785992217898833,0.1873893844460468,0.0483101326150354,257
seed,m4_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.204943374355334,-0.0128038199702129,0.5019455252918288,0.8944291166651891,0.2389903562791369,257
seed,m4_deep_gated,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.200958801663879,-0.0118440946936571,0.4941634241245136,0.7172624177822702,0.219353247604534,257
seed,m4_deep_gated,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.160249240342741,-0.0020387785348676,0.4591439688715953,0.1112555644045591,0.0964176463578865,257
seed,m4_deep_xattn,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.146707092423534,0.0012229869449771,0.5642023346303502,0.0178179472625328,0.0878051692851434,257
seed,m4_deep_xattn,1,4,32,2,2,meanpool,0.001,0.0001,0.1,4.177590207245261,-0.0062155286019343,0.5175097276264592,0.2442343626227083,0.1645837745788839,257
seed,m4_deep_xattn,2,4,32,2,2,meanpool,0.001,0.0001,0.1,4.358464808840232,-0.0497810349885836,0.4357976653696498,0.9872828823813298,0.9443693664112436,257
hyper,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.147268403326599,0.0010877894461754,0.5291828793774319,0.1658688915135169,0.0607757765620446,257
hyper,m3_deep_gated,42,4,64,2,2,meanpool,0.001,0.0001,0.1,4.191267613285478,-0.0095098723900808,0.4669260700389105,0.5864963270439036,0.169092285781705,257
hyper,m3_deep_gated,42,8,32,2,2,meanpool,0.001,0.0001,0.1,4.157620472506083,0.003379529228618,0.5533596837944664,0.1012748068067577,0.0413943968802227,253
hyper,m3_deep_gated,42,8,64,2,2,meanpool,0.001,0.0001,0.1,4.2043748167565544,-0.0078279239012788,0.4861660079051383,0.5032099638039225,0.150089220333273,253
hyper,m3_deep_gated,42,12,32,2,2,meanpool,0.001,0.0001,0.1,4.197198285739762,-0.0039229152161728,0.5060240963855421,0.2596126077111275,0.1029039677744598,249
hyper,m3_deep_gated,42,12,64,2,2,meanpool,0.001,0.0001,0.1,4.195886544871397,-0.003609161462615,0.4939759036144578,0.2208513790084184,0.1167990181429744,249
hyper,m3_deep_gated,42,8,32,1,1,meanpool,0.001,0.0001,0.1,4.165841044890903,0.0014089812254158,0.5335968379446641,0.1657920177355074,0.0669127069492451,253
