week_ending_friday,chokepoint,gfw_total_hours,gfw_total_vessels,gfw_cargo_hours,gfw_bunker_hours,gfw_other_hours,gfw_other_share,gfw_total_hours_mom_pct,gfw_mean_presence_hours_per_vessel,pw_n_tanker,pw_n_total,pw_capacity_tanker,pw_capacity,pw_tanker_share,pw_tanker_cap_share,pw_avg_tanker_size,pw_n_tanker_wow_pct,pw_capacity_tanker_4w_ma,sar_detections_total,sar_detections_dark,sar_dark_share
2019-01-04,hormuz,69217.0,2293.0,19799.0,536.0,45408.0,0.6560238,-29.621044,30.186218,,,,,,,,,,,,
2019-01-11,hormuz,69217.0,2293.0,19799.0,536.0,45408.0,0.6560238,-29.621044,30.186218,168.0,261.0,7920645.0,10446144.0,0.6436782,0.7582362,47146.695,,7920645.0,,,
2019-01-18,hormuz,69217.0,2293.0,19799.0,536.0,45408.0,0.6560238,-29.621044,30.186218,261.0,437.0,9883514.0,14901179.0,0.597254,0.6632706,37867.87,55.357143,8902080.0,,,
2019-01-25,hormuz,69217.0,2293.0,19799.0,536.0,45408.0,0.6560238,-29.621044,30.186218,243.0,408.0,12647587.0,17046464.0,0.5955882,0.74194777,52047.684,-6.8965516,10150582.0,,,
2019-02-01,hormuz,57062.0,2347.0,16782.0,424.0,36513.0,0.6398829,-17.560715,24.31274,269.0,420.0,11233121.0,15269826.0,0.64047617,0.7356417,41758.812,10.699589,10421217.0,,,
2019-02-08,hormuz,57062.0,2347.0,16782.0,424.0,36513.0,0.6398829,-17.560715,24.31274,278.0,450.0,14515404.0,19588896.0,0.61777776,0.74100167,52213.684,3.3457248,12069906.0,,,
2019-02-15,hormuz,57062.0,2347.0,16782.0,424.0,36513.0,0.6398829,-17.560715,24.31274,246.0,413.0,9263260.0,13301189.0,0.5956417,0.6964235,37655.527,-11.510792,11914843.0,,,
2019-02-22,hormuz,57062.0,2347.0,16782.0,424.0,36513.0,0.6398829,-17.560715,24.31274,258.0,420.0,9548166.0,14484630.0,0.6142857,0.659193,37008.395,4.878049,11139988.0,,,
2019-03-01,hormuz,54582.0,2304.0,15626.0,326.0,35891.0,0.6575611,-4.34615,23.690104,296.0,501.0,10512293.0,15694994.0,0.59081835,0.6697864,35514.504,14.7286825,10959781.0,1432.0,966.0,0.674581
2019-03-08,hormuz,54582.0,2304.0,15626.0,326.0,35891.0,0.6575611,-4.34615,23.690104,293.0,488.0,12770307.0,18042102.0,0.60040987,0.70780593,43584.664,-1.0135136,10523506.0,1432.0,966.0,0.674581
2019-03-15,hormuz,54582.0,2304.0,15626.0,326.0,35891.0,0.6575611,-4.34615,23.690104,310.0,491.0,10333776.0,15328604.0,0.6313646,0.6741499,33334.76,5.8020477,10791136.0,1432.0,966.0,0.674581
2019-03-22,hormuz,54582.0,2304.0,15626.0,326.0,35891.0,0.6575611,-4.34615,23.690104,261.0,426.0,12565512.0,17113890.0,0.6126761,0.73422885,48143.723,-15.806452,11545472.0,1432.0,966.0,0.674581
2019-03-29,hormuz,41588.0,2212.0,11143.0,279.0,28100.0,0.6756757,-23.806383,18.801085,298.0,476.0,11017538.0,15915164.0,0.6260504,0.6922667,36971.605,14.176245,11671783.0,1024.0,742.0,0.7246094
2019-04-05,hormuz,41588.0,2212.0,11143.0,279.0,28100.0,0.6756757,-23.806383,18.801085,269.0,461.0,10026011.0,15432407.0,0.5835141,0.6496725,37271.418,-9.731544,10985709.0,1024.0,742.0,0.7246094
2019-04-12,hormuz,41588.0,2212.0,11143.0,279.0,28100.0,0.6756757,-23.806383,18.801085,311.0,512.0,13022514.0,18316020.0,0.6074219,0.7109904,41873.035,15.613383,11657894.0,1024.0,742.0,0.7246094
2019-04-19,hormuz,41588.0,2212.0,11143.0,279.0,28100.0,0.6756757,-23.806383,18.801085,326.0,513.0,12652523.0,17908078.0,0.6354776,0.70652604,38811.42,4.823151,11679646.0,1024.0,742.0,0.7246094
2019-04-26,hormuz,41588.0,2212.0,11143.0,279.0,28100.0,0.6756757,-23.806383,18.801085,342.0,559.0,15908929.0,22062340.0,0.6118068,0.7210898,46517.336,4.9079757,12902494.0,1024.0,742.0,0.7246094
2019-05-03,hormuz,58904.0,2484.0,16101.0,488.0,39970.0,0.67856175,41.637012,23.713366,312.0,537.0,15119312.0,22180164.0,0.5810056,0.6816592,48459.332,-8.77193,14175820.0,1617.0,1088.0,0.67285097
2019-05-10,hormuz,58904.0,2484.0,16101.0,488.0,39970.0,0.67856175,41.637012,23.713366,367.0,626.0,18381582.0,25392772.0,0.586262,0.7238903,50086.055,17.628204,15515586.0,1617.0,1088.0,0.67285097
2019-05-17,hormuz,58904.0,2484.0,16101.0,488.0,39970.0,0.67856175,41.637012,23.713366,365.0,613.0,18856222.0,25872896.0,0.5954323,0.72880214,51660.883,-0.5449591,17066512.0,1617.0,1088.0,0.67285097
2019-05-24,hormuz,58904.0,2484.0,16101.0,488.0,39970.0,0.67856175,41.637012,23.713366,363.0,588.0,18986044.0,25021460.0,0.61734694,0.7587904,52303.152,-0.5479452,17835790.0,1617.0,1088.0,0.67285097
2019-05-31,hormuz,75234.0,2500.0,23518.0,380.0,47879.0,0.6364011,27.723074,30.0936,341.0,541.0,18378624.0,23613836.0,0.63031423,0.778299,53896.254,-6.060606,18650618.0,1370.0,816.0,0.59562045
