week_ending_friday,region_type,region_id,region_short,detections_total,detections_dark,detections_matched,dark_share
2019-01-04,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-01-11,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-01-18,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-01-25,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-02-01,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-02-08,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-02-15,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-02-22,chokepoint,Bab el-Mandeb,mandeb,,,,
2019-03-01,chokepoint,Bab el-Mandeb,mandeb,137.0,40.0,97.0,0.291970802919708
2019-03-08,chokepoint,Bab el-Mandeb,mandeb,137.0,40.0,97.0,0.291970802919708
2019-03-15,chokepoint,Bab el-Mandeb,mandeb,137.0,40.0,97.0,0.291970802919708
2019-03-22,chokepoint,Bab el-Mandeb,mandeb,137.0,40.0,97.0,0.291970802919708
2019-03-29,chokepoint,Bab el-Mandeb,mandeb,86.0,31.0,55.0,0.3604651162790697
2019-04-05,chokepoint,Bab el-Mandeb,mandeb,86.0,31.0,55.0,0.3604651162790697
2019-04-12,chokepoint,Bab el-Mandeb,mandeb,86.0,31.0,55.0,0.3604651162790697
2019-04-19,chokepoint,Bab el-Mandeb,mandeb,86.0,31.0,55.0,0.3604651162790697
2019-04-26,chokepoint,Bab el-Mandeb,mandeb,86.0,31.0,55.0,0.3604651162790697
2019-05-03,chokepoint,Bab el-Mandeb,mandeb,117.0,38.0,79.0,0.3247863247863248
2019-05-10,chokepoint,Bab el-Mandeb,mandeb,117.0,38.0,79.0,0.3247863247863248
2019-05-17,chokepoint,Bab el-Mandeb,mandeb,117.0,38.0,79.0,0.3247863247863248
2019-05-24,chokepoint,Bab el-Mandeb,mandeb,117.0,38.0,79.0,0.3247863247863248
2019-05-31,chokepoint,Bab el-Mandeb,mandeb,135.0,51.0,84.0,0.3777777777777777
2019-06-07,chokepoint,Bab el-Mandeb,mandeb,135.0,51.0,84.0,0.3777777777777777
2019-06-14,chokepoint,Bab el-Mandeb,mandeb,135.0,51.0,84.0,0.3777777777777777
2019-06-21,chokepoint,Bab el-Mandeb,mandeb,135.0,51.0,84.0,0.3777777777777777
2019-06-28,chokepoint,Bab el-Mandeb,mandeb,110.0,29.0,81.0,0.2636363636363636
2019-07-05,chokepoint,Bab el-Mandeb,mandeb,110.0,29.0,81.0,0.2636363636363636
2019-07-12,chokepoint,Bab el-Mandeb,mandeb,110.0,29.0,81.0,0.2636363636363636
2019-07-19,chokepoint,Bab el-Mandeb,mandeb,110.0,29.0,81.0,0.2636363636363636
2019-07-26,chokepoint,Bab el-Mandeb,mandeb,110.0,29.0,81.0,0.2636363636363636
2019-08-02,chokepoint,Bab el-Mandeb,mandeb,147.0,57.0,90.0,0.3877551020408163
2019-08-09,chokepoint,Bab el-Mandeb,mandeb,147.0,57.0,90.0,0.3877551020408163
2019-08-16,chokepoint,Bab el-Mandeb,mandeb,147.0,57.0,90.0,0.3877551020408163
2019-08-23,chokepoint,Bab el-Mandeb,mandeb,147.0,57.0,90.0,0.3877551020408163
2019-08-30,chokepoint,Bab el-Mandeb,mandeb,132.0,38.0,94.0,0.2878787878787879
2019-09-06,chokepoint,Bab el-Mandeb,mandeb,132.0,38.0,94.0,0.2878787878787879
2019-09-13,chokepoint,Bab el-Mandeb,mandeb,132.0,38.0,94.0,0.2878787878787879
2019-09-20,chokepoint,Bab el-Mandeb,mandeb,132.0,38.0,94.0,0.2878787878787879
2019-09-27,chokepoint,Bab el-Mandeb,mandeb,132.0,38.0,94.0,0.2878787878787879
2019-10-04,chokepoint,Bab el-Mandeb,mandeb,139.0,42.0,97.0,0.302158273381295
2019-10-11,chokepoint,Bab el-Mandeb,mandeb,139.0,42.0,97.0,0.302158273381295
2019-10-18,chokepoint,Bab el-Mandeb,mandeb,139.0,42.0,97.0,0.302158273381295
2019-10-25,chokepoint,Bab el-Mandeb,mandeb,139.0,42.0,97.0,0.302158273381295
2019-11-01,chokepoint,Bab el-Mandeb,mandeb,95.0,25.0,70.0,0.2631578947368421
2019-11-08,chokepoint,Bab el-Mandeb,mandeb,95.0,25.0,70.0,0.2631578947368421
2019-11-15,chokepoint,Bab el-Mandeb,mandeb,95.0,25.0,70.0,0.2631578947368421
2019-11-22,chokepoint,Bab el-Mandeb,mandeb,95.0,25.0,70.0,0.2631578947368421
2019-11-29,chokepoint,Bab el-Mandeb,mandeb,131.0,36.0,95.0,0.2748091603053435
2019-12-06,chokepoint,Bab el-Mandeb,mandeb,131.0,36.0,95.0,0.2748091603053435
2019-12-13,chokepoint,Bab el-Mandeb,mandeb,131.0,36.0,95.0,0.2748091603053435
2019-12-20,chokepoint,Bab el-Mandeb,mandeb,131.0,36.0,95.0,0.2748091603053435
2019-12-27,chokepoint,Bab el-Mandeb,mandeb,131.0,36.0,95.0,0.2748091603053435
2020-01-03,chokepoint,Bab el-Mandeb,mandeb,89.0,28.0,61.0,0.3146067415730337
2020-01-10,chokepoint,Bab el-Mandeb,mandeb,89.0,28.0,61.0,0.3146067415730337
2020-01-17,chokepoint,Bab el-Mandeb,mandeb,89.0,28.0,61.0,0.3146067415730337
2020-01-24,chokepoint,Bab el-Mandeb,mandeb,89.0,28.0,61.0,0.3146067415730337
2020-01-31,chokepoint,Bab el-Mandeb,mandeb,155.0,41.0,114.0,0.2645161290322581
2020-02-07,chokepoint,Bab el-Mandeb,mandeb,155.0,41.0,114.0,0.2645161290322581
2020-02-14,chokepoint,Bab el-Mandeb,mandeb,155.0,41.0,114.0,0.2645161290322581
2020-02-21,chokepoint,Bab el-Mandeb,mandeb,155.0,41.0,114.0,0.2645161290322581
2020-02-28,chokepoint,Bab el-Mandeb,mandeb,62.0,19.0,43.0,0.3064516129032258
2020-03-06,chokepoint,Bab el-Mandeb,mandeb,62.0,19.0,43.0,0.3064516129032258
2020-03-13,chokepoint,Bab el-Mandeb,mandeb,62.0,19.0,43.0,0.3064516129032258
2020-03-20,chokepoint,Bab el-Mandeb,mandeb,62.0,19.0,43.0,0.3064516129032258
2020-03-27,chokepoint,Bab el-Mandeb,mandeb,62.0,19.0,43.0,0.3064516129032258
2020-04-03,chokepoint,Bab el-Mandeb,mandeb,130.0,33.0,97.0,0.2538461538461538
2020-04-10,chokepoint,Bab el-Mandeb,mandeb,130.0,33.0,97.0,0.2538461538461538
2020-04-17,chokepoint,Bab el-Mandeb,mandeb,130.0,33.0,97.0,0.2538461538461538
2020-04-24,chokepoint,Bab el-Mandeb,mandeb,130.0,33.0,97.0,0.2538461538461538
2020-05-01,chokepoint,Bab el-Mandeb,mandeb,97.0,30.0,67.0,0.3092783505154639
2020-05-08,chokepoint,Bab el-Mandeb,mandeb,97.0,30.0,67.0,0.3092783505154639
2020-05-15,chokepoint,Bab el-Mandeb,mandeb,97.0,30.0,67.0,0.3092783505154639
2020-05-22,chokepoint,Bab el-Mandeb,mandeb,97.0,30.0,67.0,0.3092783505154639
2020-05-29,chokepoint,Bab el-Mandeb,mandeb,154.0,32.0,122.0,0.2077922077922078
2020-06-05,chokepoint,Bab el-Mandeb,mandeb,154.0,32.0,122.0,0.2077922077922078
2020-06-12,chokepoint,Bab el-Mandeb,mandeb,154.0,32.0,122.0,0.2077922077922078
2020-06-19,chokepoint,Bab el-Mandeb,mandeb,154.0,32.0,122.0,0.2077922077922078
2020-06-26,chokepoint,Bab el-Mandeb,mandeb,154.0,32.0,122.0,0.2077922077922078
2020-07-03,chokepoint,Bab el-Mandeb,mandeb,120.0,40.0,80.0,0.3333333333333333
2020-07-10,chokepoint,Bab el-Mandeb,mandeb,120.0,40.0,80.0,0.3333333333333333
2020-07-17,chokepoint,Bab el-Mandeb,mandeb,120.0,40.0,80.0,0.3333333333333333
2020-07-24,chokepoint,Bab el-Mandeb,mandeb,120.0,40.0,80.0,0.3333333333333333
2020-07-31,chokepoint,Bab el-Mandeb,mandeb,124.0,37.0,87.0,0.2983870967741935
2020-08-07,chokepoint,Bab el-Mandeb,mandeb,124.0,37.0,87.0,0.2983870967741935
2020-08-14,chokepoint,Bab el-Mandeb,mandeb,124.0,37.0,87.0,0.2983870967741935
2020-08-21,chokepoint,Bab el-Mandeb,mandeb,124.0,37.0,87.0,0.2983870967741935
2020-08-28,chokepoint,Bab el-Mandeb,mandeb,161.0,36.0,125.0,0.2236024844720497
2020-09-04,chokepoint,Bab el-Mandeb,mandeb,161.0,36.0,125.0,0.2236024844720497
2020-09-11,chokepoint,Bab el-Mandeb,mandeb,161.0,36.0,125.0,0.2236024844720497
2020-09-18,chokepoint,Bab el-Mandeb,mandeb,161.0,36.0,125.0,0.2236024844720497
2020-09-25,chokepoint,Bab el-Mandeb,mandeb,161.0,36.0,125.0,0.2236024844720497
2020-10-02,chokepoint,Bab el-Mandeb,mandeb,137.0,45.0,92.0,0.3284671532846715
2020-10-09,chokepoint,Bab el-Mandeb,mandeb,137.0,45.0,92.0,0.3284671532846715
2020-10-16,chokepoint,Bab el-Mandeb,mandeb,137.0,45.0,92.0,0.3284671532846715
2020-10-23,chokepoint,Bab el-Mandeb,mandeb,137.0,45.0,92.0,0.3284671532846715
2020-10-30,chokepoint,Bab el-Mandeb,mandeb,159.0,43.0,116.0,0.270440251572327
2020-11-06,chokepoint,Bab el-Mandeb,mandeb,159.0,43.0,116.0,0.270440251572327
2020-11-13,chokepoint,Bab el-Mandeb,mandeb,159.0,43.0,116.0,0.270440251572327
2020-11-20,chokepoint,Bab el-Mandeb,mandeb,159.0,43.0,116.0,0.270440251572327
2020-11-27,chokepoint,Bab el-Mandeb,mandeb,159.0,43.0,116.0,0.270440251572327
2020-12-04,chokepoint,Bab el-Mandeb,mandeb,122.0,34.0,88.0,0.2786885245901639
2020-12-11,chokepoint,Bab el-Mandeb,mandeb,122.0,34.0,88.0,0.2786885245901639
2020-12-18,chokepoint,Bab el-Mandeb,mandeb,122.0,34.0,88.0,0.2786885245901639
2020-12-25,chokepoint,Bab el-Mandeb,mandeb,122.0,34.0,88.0,0.2786885245901639
2021-01-01,chokepoint,Bab el-Mandeb,mandeb,137.0,33.0,104.0,0.2408759124087591
2021-01-08,chokepoint,Bab el-Mandeb,mandeb,137.0,33.0,104.0,0.2408759124087591
2021-01-15,chokepoint,Bab el-Mandeb,mandeb,137.0,33.0,104.0,0.2408759124087591
2021-01-22,chokepoint,Bab el-Mandeb,mandeb,137.0,33.0,104.0,0.2408759124087591
2021-01-29,chokepoint,Bab el-Mandeb,mandeb,117.0,29.0,88.0,0.2478632478632478
2021-02-05,chokepoint,Bab el-Mandeb,mandeb,117.0,29.0,88.0,0.2478632478632478
2021-02-12,chokepoint,Bab el-Mandeb,mandeb,117.0,29.0,88.0,0.2478632478632478
2021-02-19,chokepoint,Bab el-Mandeb,mandeb,117.0,29.0,88.0,0.2478632478632478
2021-02-26,chokepoint,Bab el-Mandeb,mandeb,117.0,29.0,88.0,0.2478632478632478
