week_ending_friday,from_site,to_site,n_voyages,mean_transit_days
2019-01-18,P002,P003,1.0,1.8429050925925925
2019-01-25,P002,P003,3.0,1.5519637345679012
2019-01-25,P002,P008,1.0,1.9892824074074071
2019-01-25,P003,P002,3.0,3.438233024691358
2019-01-25,P004,P006,7.0,7.303639219576719
2019-01-25,P006,P004,11.0,6.636827651515151
2019-01-25,P008,P003,1.0,1.7859375
2019-01-25,P009,P004,1.0,9.511932870370371
2019-01-25,P009,P006,1.0,1.920763888888889
2019-02-01,P002,P003,4.0,3.3696846064814814
2019-02-01,P002,P004,1.0,13.90105324074074
2019-02-01,P002,P008,0.0,
2019-02-01,P002,P011,1.0,15.916458333333331
2019-02-01,P003,P002,6.0,4.360241126543209
2019-02-01,P003,P004,4.0,13.252358217592592
2019-02-01,P003,P008,1.0,0.7592592592592593
2019-02-01,P004,P002,1.0,10.396689814814817
2019-02-01,P004,P003,3.0,11.44858024691358
2019-02-01,P004,P006,16.0,9.582982494212963
2019-02-01,P004,P009,3.0,9.778661265432099
2019-02-01,P005,P001,2.0,13.418958333333334
2019-02-01,P006,P004,15.0,7.300506172839506
2019-02-01,P006,P009,2.0,9.016979166666667
2019-02-01,P008,P002,2.0,6.672123842592592
2019-02-01,P008,P003,0.0,
2019-02-01,P009,P004,5.0,8.162282407407407
2019-02-01,P009,P006,0.0,
2019-02-08,P001,P004,1.0,20.088854166666668
2019-02-08,P001,P005,1.0,21.512488425925927
2019-02-08,P002,P003,3.0,5.598939043209877
2019-02-08,P002,P004,1.0,12.684282407407409
2019-02-08,P002,P008,1.0,2.1308680555555557
2019-02-08,P002,P011,1.0,8.691863425925925
2019-02-08,P003,P002,4.0,3.3451417824074077
2019-02-08,P003,P004,3.0,13.301574074074074
2019-02-08,P003,P008,1.0,0.9407291666666666
2019-02-08,P004,P001,3.0,20.2575
2019-02-08,P004,P002,2.0,16.423599537037035
2019-02-08,P004,P003,11.0,13.856737163299664
2019-02-08,P004,P006,16.0,10.960179398148147
2019-02-08,P004,P008,1.0,16.214502314814816
2019-02-08,P004,P009,3.0,11.552534722222221
2019-02-08,P005,P001,0.0,
2019-02-08,P006,P004,29.0,8.216935664112388
2019-02-08,P006,P009,0.0,
2019-02-08,P008,P002,0.0,
2019-02-08,P008,P003,0.0,
2019-02-08,P009,P004,5.0,9.888736111111111
2019-02-08,P009,P006,2.0,2.2339930555555556
2019-02-15,P001,P004,2.0,23.17153935185185
2019-02-15,P001,P005,0.0,
2019-02-15,P002,P003,3.0,4.576500771604938
2019-02-15,P002,P004,3.0,26.493078703703702
2019-02-15,P002,P006,1.0,28.760185185185183
2019-02-15,P002,P008,1.0,2.6954050925925928
2019-02-15,P002,P011,1.0,7.398356481481481
2019-02-15,P003,P002,7.0,3.7981514550264555
2019-02-15,P003,P004,6.0,14.238983410493828
2019-02-15,P003,P008,1.0,3.753090277777778
2019-02-15,P004,P001,10.0,22.810091435185186
2019-02-15,P004,P002,6.0,20.78733024691358
2019-02-15,P004,P003,7.0,15.033624338624339
2019-02-15,P004,P006,16.0,13.640013020833333
2019-02-15,P004,P008,1.0,16.509351851851854
2019-02-15,P004,P009,5.0,18.861634259259258
2019-02-15,P005,P001,2.0,21.217633101851852
2019-02-15,P006,P004,27.0,10.035625000000001
2019-02-15,P006,P009,4.0,12.516493055555555
2019-02-15,P008,P002,2.0,11.06046875
2019-02-15,P008,P003,1.0,0.7783449074074074
2019-02-15,P008,P004,1.0,28.513020833333332
2019-02-15,P009,P004,6.0,10.93254050925926
2019-02-15,P009,P006,2.0,2.8104513888888887
2019-02-15,P011,P001,1.0,18.055960648148147
2019-02-15,P011,P004,1.0,16.04724537037037
2019-02-22,P001,P004,5.0,28.153868055555552
2019-02-22,P001,P005,3.0,29.120381944444446
2019-02-22,P002,P003,1.0,2.368217592592593
2019-02-22,P002,P004,10.0,20.081168981481483
2019-02-22,P002,P006,2.0,28.138651620370368
2019-02-22,P002,P008,3.0,8.366377314814814
2019-02-22,P002,P011,0.0,
2019-02-22,P003,P002,7.0,3.7430720899470904
2019-02-22,P003,P004,5.0,12.377212962962963
2019-02-22,P003,P006,1.0,26.278506944444445
2019-02-22,P003,P008,0.0,
2019-02-22,P004,P001,8.0,24.485542534722224
2019-02-22,P004,P002,10.0,19.992601851851852
2019-02-22,P004,P003,7.0,14.038258928571427
2019-02-22,P004,P006,22.0,12.483613215488214
2019-02-22,P004,P008,0.0,
2019-02-22,P004,P009,9.0,15.954552469135804
2019-02-22,P005,P001,3.0,20.71815200617284
2019-02-22,P006,P001,1.0,31.312025462962964
2019-02-22,P006,P004,21.0,11.873061618165783
