feature_index,channel,slot,lag,node_id,node_type,feature,group
0,fin,0,4,,,brent_price,oil_price_basis
1,fin,0,4,,,wti_price,oil_price_basis
2,fin,0,4,,,brent_log_return,oil_price_basis
3,fin,0,4,,,wti_log_return,oil_price_basis
4,fin,0,4,,,brent_wti_spread,oil_price_basis
5,fin,0,4,,,crude_stocks_excl_spr,eia_fundamentals
6,fin,0,4,,,cushing_stocks,eia_fundamentals
7,fin,0,4,,,crude_production,eia_fundamentals
8,fin,0,4,,,crude_imports,eia_fundamentals
9,fin,0,4,,,crude_exports,eia_fundamentals
10,fin,0,4,,,refinery_crude_input,eia_fundamentals
11,fin,0,4,,,refinery_utilisation,eia_fundamentals
12,fin,0,4,,,gasoline_supplied,eia_fundamentals
13,fin,0,4,,,distillate_supplied,eia_fundamentals
14,fin,0,4,,,jet_fuel_supplied,eia_fundamentals
15,fin,0,4,,,crude_stocks_change,eia_fundamentals
16,fin,0,4,,,cushing_stocks_change,eia_fundamentals
17,fin,0,4,,,vix,financial_macro
18,fin,0,4,,,dollar_index,financial_macro
19,fin,0,4,,,treasury_10y,financial_macro
20,fin,0,4,,,fed_funds_rate,financial_macro
21,fin,0,4,,,sp500_log_return,financial_macro
22,fin,0,4,,,ovx,financial_macro
23,fin,0,4,,,gpr,gpr
24,fin,0,4,,,gold_return,financial_macro
25,fin,0,4,,,global_econ_activity,financial_macro
26,fin,0,4,,,nonoil_industrial_commodity,financial_macro
27,fin,0,4,,,brent_f1_spot_log_basis,oil_price_basis
28,fin,0,4,,,brent_roll_week,oil_price_basis
29,fin,0,4,,,cadusd_log_return,financial_macro
30,fin,0,4,,,dgs10_change,financial_macro
31,fin,1,3,,,brent_price,oil_price_basis
32,fin,1,3,,,wti_price,oil_price_basis
33,fin,1,3,,,brent_log_return,oil_price_basis
34,fin,1,3,,,wti_log_return,oil_price_basis
35,fin,1,3,,,brent_wti_spread,oil_price_basis
36,fin,1,3,,,crude_stocks_excl_spr,eia_fundamentals
37,fin,1,3,,,cushing_stocks,eia_fundamentals
38,fin,1,3,,,crude_production,eia_fundamentals
39,fin,1,3,,,crude_imports,eia_fundamentals
40,fin,1,3,,,crude_exports,eia_fundamentals
41,fin,1,3,,,refinery_crude_input,eia_fundamentals
42,fin,1,3,,,refinery_utilisation,eia_fundamentals
43,fin,1,3,,,gasoline_supplied,eia_fundamentals
44,fin,1,3,,,distillate_supplied,eia_fundamentals
45,fin,1,3,,,jet_fuel_supplied,eia_fundamentals
46,fin,1,3,,,crude_stocks_change,eia_fundamentals
47,fin,1,3,,,cushing_stocks_change,eia_fundamentals
48,fin,1,3,,,vix,financial_macro
49,fin,1,3,,,dollar_index,financial_macro
50,fin,1,3,,,treasury_10y,financial_macro
51,fin,1,3,,,fed_funds_rate,financial_macro
52,fin,1,3,,,sp500_log_return,financial_macro
53,fin,1,3,,,ovx,financial_macro
54,fin,1,3,,,gpr,gpr
55,fin,1,3,,,gold_return,financial_macro
56,fin,1,3,,,global_econ_activity,financial_macro
57,fin,1,3,,,nonoil_industrial_commodity,financial_macro
58,fin,1,3,,,brent_f1_spot_log_basis,oil_price_basis
59,fin,1,3,,,brent_roll_week,oil_price_basis
60,fin,1,3,,,cadusd_log_return,financial_macro
61,fin,1,3,,,dgs10_change,financial_macro
62,fin,2,2,,,brent_price,oil_price_basis
63,fin,2,2,,,wti_price,oil_price_basis
64,fin,2,2,,,brent_log_return,oil_price_basis
65,fin,2,2,,,wti_log_return,oil_price_basis
66,fin,2,2,,,brent_wti_spread,oil_price_basis
67,fin,2,2,,,crude_stocks_excl_spr,eia_fundamentals
68,fin,2,2,,,cushing_stocks,eia_fundamentals
69,fin,2,2,,,crude_production,eia_fundamentals
70,fin,2,2,,,crude_imports,eia_fundamentals
71,fin,2,2,,,crude_exports,eia_fundamentals
72,fin,2,2,,,refinery_crude_input,eia_fundamentals
73,fin,2,2,,,refinery_utilisation,eia_fundamentals
74,fin,2,2,,,gasoline_supplied,eia_fundamentals
75,fin,2,2,,,distillate_supplied,eia_fundamentals
76,fin,2,2,,,jet_fuel_supplied,eia_fundamentals
77,fin,2,2,,,crude_stocks_change,eia_fundamentals
78,fin,2,2,,,cushing_stocks_change,eia_fundamentals
79,fin,2,2,,,vix,financial_macro
80,fin,2,2,,,dollar_index,financial_macro
81,fin,2,2,,,treasury_10y,financial_macro
82,fin,2,2,,,fed_funds_rate,financial_macro
83,fin,2,2,,,sp500_log_return,financial_macro
84,fin,2,2,,,ovx,financial_macro
85,fin,2,2,,,gpr,gpr
86,fin,2,2,,,gold_return,financial_macro
87,fin,2,2,,,global_econ_activity,financial_macro
88,fin,2,2,,,nonoil_industrial_commodity,financial_macro
89,fin,2,2,,,brent_f1_spot_log_basis,oil_price_basis
90,fin,2,2,,,brent_roll_week,oil_price_basis
91,fin,2,2,,,cadusd_log_return,financial_macro
92,fin,2,2,,,dgs10_change,financial_macro
93,fin,3,1,,,brent_price,oil_price_basis
94,fin,3,1,,,wti_price,oil_price_basis
95,fin,3,1,,,brent_log_return,oil_price_basis
96,fin,3,1,,,wti_log_return,oil_price_basis
97,fin,3,1,,,brent_wti_spread,oil_price_basis
98,fin,3,1,,,crude_stocks_excl_spr,eia_fundamentals
99,fin,3,1,,,cushing_stocks,eia_fundamentals
100,fin,3,1,,,crude_production,eia_fundamentals
101,fin,3,1,,,crude_imports,eia_fundamentals
102,fin,3,1,,,crude_exports,eia_fundamentals
103,fin,3,1,,,refinery_crude_input,eia_fundamentals
104,fin,3,1,,,refinery_utilisation,eia_fundamentals
105,fin,3,1,,,gasoline_supplied,eia_fundamentals
106,fin,3,1,,,distillate_supplied,eia_fundamentals
107,fin,3,1,,,jet_fuel_supplied,eia_fundamentals
108,fin,3,1,,,crude_stocks_change,eia_fundamentals
109,fin,3,1,,,cushing_stocks_change,eia_fundamentals
110,fin,3,1,,,vix,financial_macro
111,fin,3,1,,,dollar_index,financial_macro
112,fin,3,1,,,treasury_10y,financial_macro
113,fin,3,1,,,fed_funds_rate,financial_macro
114,fin,3,1,,,sp500_log_return,financial_macro
115,fin,3,1,,,ovx,financial_macro
116,fin,3,1,,,gpr,gpr
117,fin,3,1,,,gold_return,financial_macro
118,fin,3,1,,,global_econ_activity,financial_macro
119,fin,3,1,,,nonoil_industrial_commodity,financial_macro
120,fin,3,1,,,brent_f1_spot_log_basis,oil_price_basis
121,fin,3,1,,,brent_roll_week,oil_price_basis
122,fin,3,1,,,cadusd_log_return,financial_macro
123,fin,3,1,,,dgs10_change,financial_macro
124,aoi,0,4,P001,aoi,pw_portcalls_tanker,PortWatch_directional
125,aoi,0,4,P001,aoi,pw_portcalls_cargo,PortWatch_directional
126,aoi,0,4,P001,aoi,pw_import_tanker,PortWatch_directional
127,aoi,0,4,P001,aoi,pw_export_tanker,PortWatch_directional
128,aoi,0,4,P001,aoi,gfw_n_visits,GFW
129,aoi,0,4,P001,aoi,gfw_dwell_hrs_mean,GFW
130,aoi,0,4,P001,aoi,gfw_dwell_hrs_median,GFW
131,aoi,0,4,P001,aoi,gfw_self_loops,GFW
132,aoi,0,4,P001,aoi,sar_detections_total,SAR
133,aoi,0,4,P001,aoi,sar_detections_dark,SAR
134,aoi,0,4,P001,aoi,sar_dark_share,SAR
135,aoi,0,4,P002,aoi,pw_portcalls_tanker,PortWatch_directional
136,aoi,0,4,P002,aoi,pw_portcalls_cargo,PortWatch_directional
137,aoi,0,4,P002,aoi,pw_import_tanker,PortWatch_directional
138,aoi,0,4,P002,aoi,pw_export_tanker,PortWatch_directional
139,aoi,0,4,P002,aoi,gfw_n_visits,GFW
140,aoi,0,4,P002,aoi,gfw_dwell_hrs_mean,GFW
141,aoi,0,4,P002,aoi,gfw_dwell_hrs_median,GFW
142,aoi,0,4,P002,aoi,gfw_self_loops,GFW
143,aoi,0,4,P002,aoi,sar_detections_total,SAR
144,aoi,0,4,P002,aoi,sar_detections_dark,SAR
145,aoi,0,4,P002,aoi,sar_dark_share,SAR
146,aoi,0,4,P003,aoi,pw_portcalls_tanker,PortWatch_directional
147,aoi,0,4,P003,aoi,pw_portcalls_cargo,PortWatch_directional
148,aoi,0,4,P003,aoi,pw_import_tanker,PortWatch_directional
149,aoi,0,4,P003,aoi,pw_export_tanker,PortWatch_directional
150,aoi,0,4,P003,aoi,gfw_n_visits,GFW
151,aoi,0,4,P003,aoi,gfw_dwell_hrs_mean,GFW
152,aoi,0,4,P003,aoi,gfw_dwell_hrs_median,GFW
153,aoi,0,4,P003,aoi,gfw_self_loops,GFW
154,aoi,0,4,P003,aoi,sar_detections_total,SAR
155,aoi,0,4,P003,aoi,sar_detections_dark,SAR
156,aoi,0,4,P003,aoi,sar_dark_share,SAR
157,aoi,0,4,P004,aoi,pw_portcalls_tanker,PortWatch_directional
158,aoi,0,4,P004,aoi,pw_portcalls_cargo,PortWatch_directional
159,aoi,0,4,P004,aoi,pw_import_tanker,PortWatch_directional
160,aoi,0,4,P004,aoi,pw_export_tanker,PortWatch_directional
161,aoi,0,4,P004,aoi,gfw_n_visits,GFW
162,aoi,0,4,P004,aoi,gfw_dwell_hrs_mean,GFW
163,aoi,0,4,P004,aoi,gfw_dwell_hrs_median,GFW
164,aoi,0,4,P004,aoi,gfw_self_loops,GFW
165,aoi,0,4,P004,aoi,sar_detections_total,SAR
166,aoi,0,4,P004,aoi,sar_detections_dark,SAR
167,aoi,0,4,P004,aoi,sar_dark_share,SAR
168,aoi,0,4,P005,aoi,pw_portcalls_tanker,PortWatch_directional
169,aoi,0,4,P005,aoi,pw_portcalls_cargo,PortWatch_directional
170,aoi,0,4,P005,aoi,pw_import_tanker,PortWatch_directional
171,aoi,0,4,P005,aoi,pw_export_tanker,PortWatch_directional
172,aoi,0,4,P005,aoi,gfw_n_visits,GFW
