date,period_id
2021-01-22,full
2021-01-22,year_2021
2021-01-29,full
2021-01-29,year_2021
2021-02-05,full
2021-02-05,year_2021
2021-02-12,full
2021-02-12,year_2021
2021-02-19,full
2021-02-19,year_2021
2021-02-26,full
2021-02-26,year_2021
2021-03-05,full
2021-03-05,year_2021
2021-03-12,full
2021-03-12,year_2021
2021-03-19,full
2021-03-19,year_2021
2021-03-26,full
2021-03-26,year_2021
2021-04-02,full
2021-04-02,year_2021
2021-04-09,full
2021-04-09,year_2021
2021-04-16,full
2021-04-16,year_2021
2021-04-23,full
2021-04-23,year_2021
2021-04-30,full
2021-04-30,year_2021
2021-05-07,full
2021-05-07,year_2021
2021-05-14,full
2021-05-14,year_2021
2021-05-21,full
2021-05-21,year_2021
2021-05-28,full
2021-05-28,year_2021
2021-06-04,full
2021-06-04,year_2021
2021-06-11,full
2021-06-11,year_2021
2021-06-18,full
2021-06-18,year_2021
2021-06-25,full
2021-06-25,year_2021
2021-07-02,full
2021-07-02,year_2021
2021-07-09,full
2021-07-09,year_2021
2021-07-16,full
2021-07-16,year_2021
2021-07-23,full
2021-07-23,year_2021
2021-07-30,full
2021-07-30,year_2021
2021-08-06,full
2021-08-06,year_2021
2021-08-13,full
2021-08-13,year_2021
2021-08-20,full
2021-08-20,year_2021
2021-08-27,full
2021-08-27,year_2021
2021-09-03,full
2021-09-03,year_2021
2021-09-10,full
2021-09-10,year_2021
2021-09-17,full
2021-09-17,year_2021
2021-09-24,full
2021-09-24,year_2021
2021-10-01,full
2021-10-01,year_2021
2021-10-08,full
2021-10-08,year_2021
2021-10-15,full
2021-10-15,year_2021
2021-10-22,full
2021-10-22,year_2021
2021-10-29,full
2021-10-29,year_2021
2021-11-05,full
2021-11-05,year_2021
2021-11-12,full
2021-11-12,year_2021
2021-11-19,full
2021-11-19,year_2021
2021-11-26,full
2021-11-26,year_2021
2021-12-03,full
2021-12-03,year_2021
2021-12-10,full
2021-12-10,year_2021
2021-12-17,full
2021-12-17,year_2021
2021-12-24,full
2021-12-24,year_2021
2021-12-31,full
2021-12-31,year_2021
2021-12-31,event_russia_ukraine
2022-01-07,full
2022-01-07,year_2022
2022-01-07,event_russia_ukraine
2022-01-14,full
2022-01-14,year_2022
2022-01-14,event_russia_ukraine
2022-01-21,full
2022-01-21,year_2022
2022-01-21,event_russia_ukraine
2022-01-28,full
2022-01-28,year_2022
2022-01-28,event_russia_ukraine
2022-02-04,full
2022-02-04,year_2022
2022-02-04,event_russia_ukraine
2022-02-11,full
2022-02-11,year_2022
2022-02-11,event_russia_ukraine
2022-02-18,full
2022-02-18,year_2022
2022-02-18,event_russia_ukraine
2022-02-25,full
2022-02-25,year_2022
2022-02-25,event_russia_ukraine
2022-03-04,full
2022-03-04,year_2022
2022-03-04,event_russia_ukraine
2022-03-11,full
2022-03-11,year_2022
2022-03-11,event_russia_ukraine
2022-03-18,full
2022-03-18,year_2022
2022-03-18,event_russia_ukraine
2022-03-25,full
2022-03-25,year_2022
2022-03-25,event_russia_ukraine
2022-04-01,full
2022-04-01,year_2022
2022-04-01,event_russia_ukraine
2022-04-08,full
2022-04-08,year_2022
2022-04-08,event_russia_ukraine
2022-04-08,event_eu_ru_oil_ban
2022-04-15,full
2022-04-15,year_2022
2022-04-15,event_russia_ukraine
2022-04-15,event_eu_ru_oil_ban
2022-04-22,full
2022-04-22,year_2022
2022-04-22,event_eu_ru_oil_ban
2022-04-29,full
2022-04-29,year_2022
2022-04-29,event_eu_ru_oil_ban
2022-05-06,full
2022-05-06,year_2022
2022-05-06,event_eu_ru_oil_ban
2022-05-13,full
2022-05-13,year_2022
2022-05-13,event_eu_ru_oil_ban
2022-05-20,full
2022-05-20,year_2022
2022-05-20,event_eu_ru_oil_ban
2022-05-27,full
2022-05-27,year_2022
2022-05-27,event_eu_ru_oil_ban
2022-06-03,full
2022-06-03,year_2022
2022-06-03,event_eu_ru_oil_ban
2022-06-10,full
2022-06-10,year_2022
2022-06-10,event_eu_ru_oil_ban
2022-06-17,full
2022-06-17,year_2022
2022-06-17,event_eu_ru_oil_ban
2022-06-24,full
2022-06-24,year_2022
2022-06-24,event_eu_ru_oil_ban
2022-07-01,full
2022-07-01,year_2022
