channel,node_id,feature,group,mean_abs_shap
fin,,crude_production,eia_fundamentals,0.0029326244
fin,,cushing_stocks,eia_fundamentals,0.0021298523
fin,,fed_funds_rate,financial_macro,0.0017557035
fin,,crude_exports,eia_fundamentals,0.0014698748
fin,,wti_price,oil_price_basis,0.0013420874
fin,,brent_wti_spread,oil_price_basis,0.0013180174
fin,,treasury_10y,financial_macro,0.0011830512
fin,,crude_stocks_change,eia_fundamentals,0.0011587174
fin,,crude_imports,eia_fundamentals,0.0010168523
fin,,dollar_index,financial_macro,0.0009991738
fin,,global_econ_activity,financial_macro,0.000978779
fin,,dgs10_change,financial_macro,0.0009632086
fin,,nonoil_industrial_commodity,financial_macro,0.0008853077
fin,,wti_log_return,oil_price_basis,0.00087925023
fin,,distillate_supplied,eia_fundamentals,0.0008309275
fin,,brent_price,oil_price_basis,0.0008086468
fin,,brent_log_return,oil_price_basis,0.0007741797
fin,,crude_stocks_excl_spr,eia_fundamentals,0.00071063545
fin,,gold_return,financial_macro,0.0006882759
fin,,brent_roll_week,oil_price_basis,0.0006706123
fin,,gasoline_supplied,eia_fundamentals,0.0006652209
fin,,cadusd_log_return,financial_macro,0.0006563708
fin,,refinery_crude_input,eia_fundamentals,0.00060419046
fin,,sp500_log_return,financial_macro,0.00059369626
fin,,jet_fuel_supplied,eia_fundamentals,0.0005492644
fin,,cushing_stocks_change,eia_fundamentals,0.00050494785
fin,,vix,financial_macro,0.0004506847
fin,,gpr,gpr,0.00044301007
fin,,refinery_utilisation,eia_fundamentals,0.00043840316
fin,,brent_f1_spot_log_basis,oil_price_basis,0.00027190027
fin,,ovx,financial_macro,0.00022338331
choke,cape,pw_n_tanker_wow_pct,PortWatch_chokepoint,2.8047705e-05
aoi,P004,sar_detections_total,SAR,2.648372e-05
aoi,P004,gfw_n_visits,GFW,2.5089481e-05
aoi,P004,gfw_self_loops,GFW,2.1639946e-05
choke,mandeb,pw_n_tanker_wow_pct,PortWatch_chokepoint,1.9015173e-05
choke,suez,pw_n_tanker_wow_pct,PortWatch_chokepoint,1.8993567e-05
aoi,P002,sar_detections_total,SAR,1.6366534e-05
choke,cape,pw_avg_tanker_size,PortWatch_chokepoint,1.6131591e-05
aoi,P001,pw_import_tanker,PortWatch_directional,1.6043528e-05
choke,panama,pw_n_tanker_wow_pct,PortWatch_chokepoint,1.5932144e-05
choke,hormuz,gfw_total_hours_mom_pct,GFW,1.5494132e-05
aoi,P011,gfw_dwell_hrs_median,GFW,1.537966e-05
aoi,P008,sar_detections_dark,SAR,1.3364157e-05
aoi,P011,gfw_dwell_hrs_mean,GFW,1.3065401e-05
aoi,P004,pw_import_tanker,PortWatch_directional,1.305207e-05
choke,suez,sar_dark_share,SAR,1.2283612e-05
aoi,P011,sar_dark_share,SAR,1.1524078e-05
choke,hormuz,pw_capacity_tanker,PortWatch_chokepoint,1.017168e-05
choke,hormuz,pw_n_tanker_wow_pct,PortWatch_chokepoint,9.887766e-06
aoi,P010,gfw_dwell_hrs_median,GFW,9.7677475e-06
choke,hormuz,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,9.460649e-06
aoi,P006,sar_detections_total,SAR,8.243618e-06
aoi,P010,gfw_dwell_hrs_mean,GFW,8.179546e-06
choke,hormuz,sar_dark_share,SAR,8.127048e-06
choke,mandeb,sar_dark_share,SAR,8.044741e-06
aoi,P007,gfw_dwell_hrs_median,GFW,7.901638e-06
choke,mandeb,pw_avg_tanker_size,PortWatch_chokepoint,7.799373e-06
choke,hormuz,pw_avg_tanker_size,PortWatch_chokepoint,7.782293e-06
choke,hormuz,pw_n_tanker,PortWatch_chokepoint,7.7772875e-06
aoi,P003,gfw_dwell_hrs_mean,GFW,7.6691485e-06
aoi,P005,sar_dark_share,SAR,7.6201727e-06
aoi,P001,sar_detections_total,SAR,7.480043e-06
aoi,P009,pw_import_tanker,PortWatch_directional,7.4243485e-06
aoi,P007,gfw_dwell_hrs_mean,GFW,7.305806e-06
choke,hormuz,gfw_mean_presence_hours_per_vessel,GFW,7.2486687e-06
aoi,P004,pw_portcalls_cargo,PortWatch_directional,7.047831e-06
aoi,P005,pw_export_tanker,PortWatch_directional,6.844324e-06
choke,hormuz,pw_capacity,PortWatch_chokepoint,6.6909292e-06
aoi,P003,pw_export_tanker,PortWatch_directional,6.484178e-06
choke,panama,sar_dark_share,SAR,6.3638304e-06
aoi,P006,pw_import_tanker,PortWatch_directional,6.329746e-06
aoi,P004,pw_export_tanker,PortWatch_directional,6.3266943e-06
choke,mandeb,gfw_total_hours_mom_pct,GFW,6.269362e-06
aoi,P008,pw_export_tanker,PortWatch_directional,6.225552e-06
aoi,P006,gfw_n_visits,GFW,6.1475794e-06
choke,malacca,sar_detections_dark,SAR,6.1445858e-06
choke,suez,gfw_total_hours_mom_pct,GFW,6.098015e-06
choke,suez,pw_avg_tanker_size,PortWatch_chokepoint,6.049848e-06
aoi,P009,sar_detections_total,SAR,5.998278e-06
aoi,P004,gfw_dwell_hrs_mean,GFW,5.956807e-06
aoi,P004,sar_detections_dark,SAR,5.9110016e-06
aoi,P004,gfw_dwell_hrs_median,GFW,5.7781717e-06
choke,suez,sar_detections_dark,SAR,5.705722e-06
choke,suez,pw_tanker_cap_share,PortWatch_chokepoint,5.5585183e-06
aoi,P006,pw_portcalls_cargo,PortWatch_directional,5.550857e-06
aoi,P009,pw_export_tanker,PortWatch_directional,5.4142147e-06
choke,hormuz,pw_n_total,PortWatch_chokepoint,5.332558e-06
choke,mandeb,pw_tanker_cap_share,PortWatch_chokepoint,5.265688e-06
aoi,P011,pw_export_tanker,PortWatch_directional,5.1622255e-06
aoi,P009,pw_portcalls_tanker,PortWatch_directional,5.1457628e-06
aoi,P006,sar_detections_dark,SAR,5.117149e-06
aoi,P001,pw_portcalls_tanker,PortWatch_directional,5.0651215e-06
choke,cape,sar_dark_share,SAR,4.98291e-06
choke,malacca,sar_dark_share,SAR,4.956223e-06
aoi,P011,pw_import_tanker,PortWatch_directional,4.9054806e-06
aoi,P005,gfw_dwell_hrs_mean,GFW,4.791383e-06
aoi,P008,sar_detections_total,SAR,4.7457133e-06
choke,mandeb,pw_n_total,PortWatch_chokepoint,4.7233043e-06
aoi,P004,pw_portcalls_tanker,PortWatch_directional,4.672069e-06
choke,cape,pw_capacity,PortWatch_chokepoint,4.5229303e-06
choke,mandeb,pw_n_tanker,PortWatch_chokepoint,4.513937e-06
choke,suez,pw_n_tanker,PortWatch_chokepoint,4.5117185e-06
choke,suez,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,4.481065e-06
choke,mandeb,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,4.4743547e-06
choke,panama,gfw_total_hours_mom_pct,GFW,4.4614294e-06
choke,cape,pw_n_total,PortWatch_chokepoint,4.4431595e-06
aoi,P005,gfw_dwell_hrs_median,GFW,4.4236886e-06
choke,hormuz,sar_detections_dark,SAR,4.4145127e-06
choke,suez,pw_n_total,PortWatch_chokepoint,4.378746e-06
choke,mandeb,pw_capacity,PortWatch_chokepoint,4.3521145e-06
aoi,P008,gfw_dwell_hrs_mean,GFW,4.3030377e-06
aoi,P001,sar_dark_share,SAR,4.2672827e-06
choke,suez,pw_capacity_tanker,PortWatch_chokepoint,4.2305264e-06
choke,suez,pw_capacity,PortWatch_chokepoint,4.206352e-06
aoi,P003,gfw_dwell_hrs_median,GFW,4.151576e-06
aoi,P006,gfw_self_loops,GFW,4.1277317e-06
choke,hormuz,gfw_other_share,GFW,4.1052413e-06
aoi,P001,pw_portcalls_cargo,PortWatch_directional,4.102677e-06
choke,mandeb,pw_capacity_tanker,PortWatch_chokepoint,4.083619e-06
choke,suez,gfw_mean_presence_hours_per_vessel,GFW,3.977833e-06
aoi,P001,pw_export_tanker,PortWatch_directional,3.955017e-06
choke,cape,gfw_total_hours_mom_pct,GFW,3.7238688e-06
aoi,P008,sar_dark_share,SAR,3.7157968e-06
choke,cape,pw_tanker_cap_share,PortWatch_chokepoint,3.7144946e-06
aoi,P002,pw_export_tanker,PortWatch_directional,3.6747406e-06
choke,panama,gfw_mean_presence_hours_per_vessel,GFW,3.6611775e-06
aoi,P003,sar_dark_share,SAR,3.6390297e-06
aoi,P003,sar_detections_total,SAR,3.6162253e-06
choke,malacca,pw_n_tanker,PortWatch_chokepoint,3.5480625e-06
aoi,P007,sar_dark_share,SAR,3.48318e-06
aoi,P006,gfw_dwell_hrs_mean,GFW,3.4303412e-06
choke,malacca,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,3.389244e-06
aoi,P005,pw_import_tanker,PortWatch_directional,3.3788904e-06
aoi,P006,sar_dark_share,SAR,3.3421734e-06
choke,malacca,pw_n_total,PortWatch_chokepoint,3.3388708e-06
choke,suez,gfw_other_share,GFW,3.2637176e-06
choke,panama,pw_avg_tanker_size,PortWatch_chokepoint,3.1979125e-06
choke,hormuz,gfw_cargo_hours,GFW,3.0916622e-06
choke,hormuz,pw_tanker_share,PortWatch_chokepoint,3.0137194e-06
choke,suez,pw_tanker_share,PortWatch_chokepoint,2.9849343e-06
choke,malacca,pw_capacity_tanker,PortWatch_chokepoint,2.9699745e-06
choke,cape,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,2.9191574e-06
