period,period_id,n_weeks,mask_type,mask_name,original_RMSE,masked_RMSE,delta_RMSE,delta_RMSE_pct,RMSE_M0,RMSE_S1,RMSE_S3
full OOS,full,257,group,GFW,4.145610653311856,4.144823465906323,-0.0007871874055327,-0.0189884548107199,4.1517846708743695,4.249855085312962,4.145610653311856
full OOS,full,257,group,PortWatch,4.145610653311856,4.146207962197593,0.0005973088857373,0.0144082244013965,4.1517846708743695,4.249855085312962,4.145610653311856
full OOS,full,257,group,all shipping,4.145610653311856,4.144829763795717,-0.0007808895161387,-0.018836537761091,4.1517846708743695,4.249855085312962,4.145610653311856
2021,year_2021,50,group,GFW,3.01352171476674,3.0161277750755686,0.0026060603088287,0.0864788959727302,2.954908458818988,3.132163559427324,3.01352171476674
2021,year_2021,50,group,PortWatch,3.01352171476674,3.0147451123631557,0.0012233975964157,0.040596939800408,2.954908458818988,3.132163559427324,3.01352171476674
2021,year_2021,50,group,all shipping,3.01352171476674,3.019623788090691,0.0061020733239511,0.2024897744738352,2.954908458818988,3.132163559427324,3.01352171476674
2022,year_2022,52,group,GFW,6.612841821083311,6.608579001431119,-0.0042628196521921,-0.0644627494128302,6.664388280543545,6.692943776582054,6.612841821083311
2022,year_2022,52,group,PortWatch,6.612841821083311,6.614074817056036,0.0012329959727246,0.0186454780876976,6.664388280543545,6.692943776582054,6.612841821083311
2022,year_2022,52,group,all shipping,6.612841821083311,6.608351971627339,-0.0044898494559717,-0.0678959149099434,6.664388280543545,6.692943776582054,6.612841821083311
2023,year_2023,52,group,GFW,3.79010893018202,3.791387616653908,0.0012786864718878,0.0337374596731221,3.7763306365999094,3.9480593089358247,3.79010893018202
2023,year_2023,52,group,PortWatch,3.79010893018202,3.789523356358366,-0.0005855738236539,-0.0154500526090672,3.7763306365999094,3.9480593089358247,3.79010893018202
2023,year_2023,52,group,all shipping,3.79010893018202,3.789164317600367,-0.000944612581653,-0.0249230984927795,3.7763306365999094,3.9480593089358247,3.79010893018202
2024,year_2024,52,group,GFW,3.0827395233669748,3.0821784000221575,-0.0005611233448172,-0.0182021004552557,3.058473412567881,3.2618732426667263,3.0827395233669748
2024,year_2024,52,group,PortWatch,3.0827395233669748,3.083687337184395,0.0009478138174201,0.0307458288394402,3.058473412567881,3.2618732426667263,3.0827395233669748
2024,year_2024,52,group,all shipping,3.0827395233669748,3.083146435873964,0.0004069125069889,0.0131997044805265,3.058473412567881,3.2618732426667263,3.0827395233669748
2025,year_2025,51,group,GFW,2.9627386225069015,2.9632138598541906,0.0004752373472891,0.0160404749740328,2.98987769439671,2.996907726158107,2.9627386225069015
2025,year_2025,51,group,PortWatch,2.9627386225069015,2.9626821665237286,-5.6455983172831736e-05,-0.0019055337093898,2.98987769439671,2.996907726158107,2.9627386225069015
2025,year_2025,51,group,all shipping,2.9627386225069015,2.962156416867879,-0.0005822056390223,-0.0196509281851442,2.98987769439671,2.996907726158107,2.9627386225069015
Russia–Ukraine,event_russia_ukraine,16,group,GFW,8.821692731134869,8.81785131785616,-0.0038414132787085,-0.0435450813782156,8.923886134975053,9.0607692114981,8.821692731134869
Russia–Ukraine,event_russia_ukraine,16,group,PortWatch,8.821692731134869,8.821291735374718,-0.0004009957601507,-0.0045455648068015,8.923886134975053,9.0607692114981,8.821692731134869
Russia–Ukraine,event_russia_ukraine,16,group,all shipping,8.821692731134869,8.81701500998553,-0.0046777211493385,-0.0530252106019202,8.923886134975053,9.0607692114981,8.821692731134869
EU RU oil ban,event_eu_ru_oil_ban,16,group,GFW,5.058500147122012,5.057166372290877,-0.001333774831135,-0.0263670019243544,5.047909839725744,5.191359672204176,5.058500147122012
EU RU oil ban,event_eu_ru_oil_ban,16,group,PortWatch,5.058500147122012,5.064793085438879,0.006292938316867,0.1244032447137,5.047909839725744,5.191359672204176,5.058500147122012
EU RU oil ban,event_eu_ru_oil_ban,16,group,all shipping,5.058500147122012,5.064845762628702,0.0063456155066896,0.1254446045692026,5.047909839725744,5.191359672204176,5.058500147122012
OPEC+,event_opec_plus,16,group,GFW,4.358140753151505,4.359721506130576,0.0015807529790707,0.0362712695299638,4.39155866407361,4.270815717781587,4.358140753151505
OPEC+,event_opec_plus,16,group,PortWatch,4.358140753151505,4.357880313961438,-0.0002604391900673,-0.0059759242488688,4.39155866407361,4.270815717781587,4.358140753151505
OPEC+,event_opec_plus,16,group,all shipping,4.358140753151505,4.357384389424053,-0.0007563637274525,-0.0173551927368453,4.39155866407361,4.270815717781587,4.358140753151505
Red Sea,event_red_sea,16,group,GFW,3.2647437507362245,3.265318076869569,0.0005743261333446,0.0175917675993675,3.350153914374682,3.8840459275176302,3.2647437507362245
Red Sea,event_red_sea,16,group,PortWatch,3.2647437507362245,3.2698660819022547,0.0051223311660302,0.1568984139987961,3.350153914374682,3.8840459275176302,3.2647437507362245
Red Sea,event_red_sea,16,group,all shipping,3.2647437507362245,3.2697546749777575,0.005010924241533,0.1534859892266649,3.350153914374682,3.8840459275176302,3.2647437507362245
