group,config,seed,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,epochs,RMSE,skill_vs_M0,DirAcc,DM_p_vs_M0,DM_p_vs_Flat_S1,n_test
hyper,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.1,80,4.145610653311856,0.0014870755715791217,0.5369649805447471,0.4266008658267577,0.0582043174519028,257
hyper,m3_deep_gated,42,4,64,2,2,meanpool,0.001,0.0001,0.1,80,4.183108906454693,-0.0075447640143935235,0.5058365758754864,0.9054840362173691,0.14540405678417678,257
hyper,m3_deep_gated,42,8,32,2,2,meanpool,0.001,0.0001,0.1,80,4.161233132351972,0.00251354091146494,0.5375494071146245,0.38566492361672566,0.045797858633227606,253
hyper,m3_deep_gated,42,8,64,2,2,meanpool,0.001,0.0001,0.1,80,4.216103868996387,-0.010639487304496154,0.466403162055336,0.8667495906077144,0.19897242813423932,253
hyper,m3_deep_gated,42,12,32,2,2,meanpool,0.001,0.0001,0.1,80,4.1833089150993565,-0.0006007330092447916,0.5140562248995983,0.5241739337953997,0.0762746097353767,249
hyper,m3_deep_gated,42,12,64,2,2,meanpool,0.001,0.0001,0.1,80,4.225874108705115,-0.01078185154172373,0.4738955823293173,0.9054815925360751,0.22463673820589314,249
hyper,m3_deep_gated,42,4,32,1,1,meanpool,0.001,0.0001,0.1,80,4.204153562383121,-0.01261358564092463,0.5291828793774319,0.8964244628084084,0.2693793722013482,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.1,80,4.2473340827514265,-0.02301405767677589,0.4591439688715953,0.9908260022789304,0.45729247721351973,257
rs,m_rs_deep,42,4,32,2,2,cls,0.001,0.0001,0.1,80,4.609718578948405,-0.11029808729882751,0.4591439688715953,0.954213791026156,0.8961286718587795,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.3,80,4.190772007710942,-0.009390500694816062,0.490272373540856,0.8659331349949219,0.19754969414735113,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.1,80,4.248685993525153,-0.02333967927830316,0.4280155642023346,0.9923735618304277,0.46347458583035595,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.3,80,4.18914796173472,-0.008999332533419002,0.490272373540856,0.8621815983029981,0.19525936666921906,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,80,4.228421712711202,-0.018458819016905492,0.4357976653696498,0.9663056898765167,0.36766592768000117,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,80,4.19040916367868,-0.009303105981210757,0.4591439688715953,0.9146992113588609,0.18128606733046437,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.1,80,4.21976554912672,-0.01637389307043069,0.45525291828793774,0.9529968634747419,0.327182884292216,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.3,80,4.192116798335254,-0.009714407335193131,0.4591439688715953,0.9213020210570424,0.18795261235967853,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.3,80,4.1457548447447925,0.0014523455833048704,0.5447470817120622,0.4284782549569004,0.053591972370814034,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.1,80,4.1453142487637535,0.0015584676527199415,0.5447470817120622,0.424869192298845,0.05574369244005695,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.3,80,4.143103961771641,0.002090837986764016,0.556420233463035,0.39726308187408366,0.04723184357235577,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,80,4.153736783337395,-0.0004701863458189681,0.5330739299610895,0.5221336511414729,0.07698206939991714,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,80,4.144121750139302,0.0018456932000410209,0.5603112840466926,0.38729414699837317,0.0499951320026335,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.1,80,4.15687186439569,-0.0012253028335038607,0.5291828793774319,0.5586239507576356,0.08309714769607568,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.3,80,4.143399994173365,0.002019535540902506,0.5525291828793775,0.37811625962393813,0.047917521788194195,257
