arm,model,test_weeks,M1_RMSE,M3_RMSE,skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
core,Ridge,257,4.256348943170461,4.355370593109425,-0.049035761334939476,0.30931128639228533,0.823020307832595
core,XGB,257,4.368428737773503,4.420672021746037,-0.0647642814325049,,0.7267242211870061
full,Ridge,257,4.256348943170461,4.447107712921947,-0.07113158929443775,0.2974553547276133,0.8473964799506511
full,XGB,257,4.368428737773503,4.4080070771629805,-0.06171379938995014,,0.6326258075114058
portwatch-only,Ridge,257,4.256348943170461,4.3470598039344726,-0.04703402236392429,0.12668046350395556,0.8942125839154638
portwatch-only,XGB,257,4.368428737773503,4.338734281391525,-0.045028734709833484,,0.39135697257925006
gfw-only,Ridge,257,4.256348943170461,4.383093368861135,-0.05571307674250159,0.3536006472253981,0.8175911755035608
gfw-only,XGB,257,4.368428737773503,4.388431819698826,-0.05699889748246956,,0.6217606188735999
gfw-presence,Ridge,257,4.256348943170461,4.321937443899033,-0.04098304380242079,0.31274478996251087,0.7622864483447656
gfw-presence,XGB,257,4.368428737773503,4.358978466792668,-0.049904754784564354,,0.4499018377505104
gfw-aggregate,Ridge,257,4.256348943170461,4.243775198259846,-0.022156863777355706,0.031561579685229324,0.19918990088979283
gfw-aggregate,XGB,257,4.368428737773503,4.360454855275932,-0.05026035812151508,,0.4258005655726377
tanker-only,Ridge,257,4.256348943170461,4.28574733752071,-0.03226628480665594,0.11050561444938456,0.7009007260743991
tanker-only,XGB,257,4.368428737773503,4.331747782937826,-0.04334596476689523,,0.384031118321003
