feature,mean_abs_shap
pw_hormuz_tanker_share,0.012245208
pw_suez_n_tanker_wow_pct,0.007924107
gold_return,0.004692139
pw_malacca_tanker_cap_share,0.0043352917
brent_f1_spot_log_basis,0.003821424
vix,0.0033185722
pw_malacca_avg_tanker_size,0.002510564
cadusd_log_return,0.0020705988
brent_wti_spread,0.0019994825
pw_hormuz_n_tanker_wow_pct,0.001562797
pw_malacca_tanker_share,0.0014977942
crude_production,0.0014734389
pw_hormuz_avg_tanker_size,0.0014536332
distillate_supplied,0.0014045585
gfw_mandeb_other_share,0.0013458661
dollar_index,0.0013452835
cushing_stocks,0.0013426034
gpr,0.0011923561
cushing_stocks_change,0.0011656873
pw_mandeb_n_tanker_wow_pct,0.001115273
gasoline_supplied,0.0011124859
gfw_suez_other_share,0.0010448305
ovx,0.00094239204
pw_cape_capacity_tanker,0.00092631136
pw_suez_avg_tanker_size,0.00091810833
gfw_cape_other_hours,0.000844968
crude_imports,0.00084328593
sp500_log_return,0.00075400044
crude_stocks_excl_spr,0.0007482799
pw_panama_capacity_tanker,0.00070644106
brent_price,0.00063473574
pw_panama_n_tanker_wow_pct,0.0005898503
crude_stocks_change,0.0005694812
pw_malacca_n_tanker_wow_pct,0.0005570788
pw_suez_tanker_cap_share,0.0005220202
wti_price,0.00051912636
pw_suez_capacity,0.000517238
gfw_mandeb_bunker_hours,0.0004081668
pw_mandeb_avg_tanker_size,0.00038764213
pw_cape_avg_tanker_size,0.00036773997
gfw_malacca_bunker_hours,0.00036264627
gfw_hormuz_mean_presence_hours_per_vessel,0.00035318447
gfw_cape_cargo_hours,0.00034176666
brent_log_return,0.00034121994
pw_cape_tanker_share,0.0003336331
pw_suez_capacity_tanker,0.00029773513
wti_log_return,0.00029018565
gfw_panama_total_hours,0.00028920668
gfw_malacca_cargo_hours,0.0002864455
pw_all_tanker_share,0.00027844746
dgs10_change,0.00027346355
gfw_panama_other_share,0.00027217754
refinery_crude_input,0.00026994347
gfw_panama_total_vessels,0.000261023
gfw_mandeb_total_hours,0.0002502646
gfw_hormuz_total_hours_mom_pct,0.0002234499
pw_cape_capacity,0.00021936282
pw_cape_n_total,0.00020684517
pw_hormuz_tanker_cap_share,0.00019565935
pw_panama_n_total,0.00019452692
pw_cape_n_tanker_wow_pct,0.0001943955
pw_mandeb_tanker_cap_share,0.00018606472
pw_imp_hubs_import_vol,0.00018214605
jet_fuel_supplied,0.00018030115
pw_panama_tanker_share,0.00017862042
gfw_hormuz_cargo_hours,0.00017786304
gfw_cape_total_vessels,0.00015683085
gfw_mandeb_cargo_hours,0.00014852137
gfw_hormuz_total_hours,0.00014432859
gfw_cape_other_share,0.00013501252
gfw_suez_other_hours,0.0001288532
pw_cape_n_tanker,0.00012689595
pw_panama_avg_tanker_size,0.000113527596
crude_exports,9.87507e-05
pw_malacca_n_total,9.154886e-05
