source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,DM_p_vs_M0,DM_p_vs_ref
M1_Flat,M1_Flat_Ridge,full,257,4.256348943170461,3.090131492098012,-0.02518537944167276,0.4980544747081712,0.9429066209831212,
M1_Flat,M1_Flat_Ridge,early(<2023-01-01),102,5.336386678655675,3.90798853829971,-0.02846315274377842,0.47058823529411764,0.8911754313830246,
M1_Flat,M1_Flat_Ridge,late(>=2023-01-01),155,3.3613417077378873,2.551928790726572,-0.019817334074873738,0.5161290322580645,0.8554128117179498,
M1_Flat,M1_Flat_XGB,full,257,4.3684287377735025,3.265141454047667,-0.0521809496573693,0.5525291828793775,0.9825397846770562,0.879362944846005
M1_Flat,M1_Flat_XGB,early(<2023-01-01),102,5.422545873857118,4.1363182125243,-0.04506831328980265,0.46078431372549017,0.9001474116598244,0.6941630880085269
M1_Flat,M1_Flat_XGB,late(>=2023-01-01),155,3.5059085737796267,2.6918509420178824,-0.06367833029041914,0.6129032258064516,0.9783695170744108,0.9323894994000733
M2_Flat,M2_Flat_Ridge,full,257,4.41358877234218,3.2009662537932746,-0.06305820802904849,0.5058365758754864,0.9800952374381459,0.9560576300691851
M2_Flat,M2_Flat_Ridge,early(<2023-01-01),102,5.52761681414554,3.959106941317087,-0.06531826836577315,0.5098039215686274,0.91802546005485,0.8643099636915204
M2_Flat,M2_Flat_Ridge,late(>=2023-01-01),155,3.4916822492475847,2.702060769100185,-0.05936212157990539,0.5032258064516129,0.9882672830653764,0.9710230666484881
M2_Flat,M2_Flat_XGB,full,257,4.440163806219408,3.274799342815578,-0.06945907801242135,0.4785992217898833,0.996536756548555,0.9762467102739395
M2_Flat,M2_Flat_XGB,early(<2023-01-01),102,5.557765432900851,4.132823623809774,-0.07112870628249612,0.4215686274509804,0.9746226796131174,0.9281138989361972
M2_Flat,M2_Flat_XGB,late(>=2023-01-01),155,3.5159689757600185,2.7101640095161708,-0.0667306151276752,0.5161290322580645,0.9793015063924082,0.9114576412969674
M3_Flat,M3_Flat_Ridge,full,257,4.447107712921946,3.210627656221777,-0.07113158929443752,0.49416342412451364,0.9471251469155977,0.847396479950651
M3_Flat,M3_Flat_Ridge,early(<2023-01-01),102,5.599183748114435,3.9844597297818614,-0.07911111340757904,0.49019607843137253,0.8748853438035463,0.7624153574307493
M3_Flat,M3_Flat_Ridge,late(>=2023-01-01),155,3.487157581617104,2.7013962271693353,-0.057989355916161944,0.4967741935483871,0.9800380463063755,0.9567450335911493
M3_Flat,M3_Flat_XGB,full,257,4.408007077162981,3.2834164045231025,-0.06171379938995036,0.5058365758754864,0.9903624945946058,0.9089393663777965
M3_Flat,M3_Flat_XGB,early(<2023-01-01),102,5.548759663595862,4.184455866735419,-0.0693930558414706,0.45098039215686275,0.9724172808490733,0.8519190223208057
M3_Flat,M3_Flat_XGB,late(>=2023-01-01),155,3.457758396364402,2.6904743068091905,-0.04906976328463464,0.5419354838709678,0.9101819932808174,0.8094359034919868
M4_Flat,M4_Flat_Ridge,full,257,4.536062411735474,3.3291750522031465,-0.09255724256532205,0.490272373540856,0.9787377953802966,0.9382960515210029
M4_Flat,M4_Flat_Ridge,early(<2023-01-01),102,5.698556874181073,4.15894294790137,-0.09826294866368634,0.47058823529411764,0.9161725570636974,0.8445487054615612
M4_Flat,M4_Flat_Ridge,late(>=2023-01-01),155,3.570212282915753,2.7831342434210895,-0.08318781279003185,0.5032258064516129,0.9965459470394992,0.9946024535854243
M4_Flat,M4_Flat_XGB,full,257,4.506073736788279,3.35943462415012,-0.08533416205308542,0.47470817120622566,0.9942304040424811,0.9678619383609924
M4_Flat,M4_Flat_XGB,early(<2023-01-01),102,5.734548130017344,4.308618648877743,-0.10519941760373408,0.4117647058823529,0.9860185311176887,0.9528624261458012
M4_Flat,M4_Flat_XGB,late(>=2023-01-01),155,3.4678558253446163,2.7348102982003293,-0.05213328196228284,0.5161290322580645,0.8938183316414968,0.784637074181258
M1_Deep,M1_Deep,full,257,4.249855085312962,3.1153579377589478,-0.023621267048500094,0.49416342412451364,0.9773295200392804,
M1_Deep,M1_Deep,early(<2023-01-01),102,5.2579428624492115,3.8339057294805365,-0.013344950224526864,0.5,0.8563269959549631,
M1_Deep,M1_Deep,late(>=2023-01-01),155,3.428399135960625,2.6425071328840968,-0.04016228368907182,0.49032258064516127,0.9570813226172404,
M2_Deep,M2_Deep_gated,full,257,4.252854074526352,3.106046131444684,-0.024343604416916298,0.47470817120622566,0.9483793679970741,
M2_Deep,M2_Deep_gated,early(<2023-01-01),102,5.347255584501987,3.916876473225898,-0.030557878978345387,0.43137254901960786,0.908737953510289,
M2_Deep,M2_Deep_gated,late(>=2023-01-01),155,3.3425881474010377,2.572467454917692,-0.014127580527023564,0.5032258064516129,0.8768884212918872,
M2_Deep,M_rs_deep,full,257,4.2473340827514265,3.1037330644893424,-0.02301405767677589,0.4591439688715953,0.9908260022789305,
M2_Deep,M_rs_deep,early(<2023-01-01),102,5.347914711210284,3.9581440712915246,-0.030684910165043933,0.39215686274509803,0.9822998986004967,
M2_Deep,M_rs_deep,late(>=2023-01-01),155,3.3302340041236205,2.541475498722745,-0.010379383956305555,0.5032258064516129,0.8633766312309957,
M3_Deep,M3_Deep_gated,full,257,4.145273080331479,3.012040366495634,0.0015683834926629725,0.5369649805447471,0.4226334042484883,
M3_Deep,M3_Deep_gated,early(<2023-01-01),102,5.171573990532151,3.757558528275771,0.0033006205820326207,0.5098039215686274,0.38159425993912977,
M3_Deep,M3_Deep_gated,late(>=2023-01-01),155,3.3001438296807533,2.521441318098383,-0.0012501480290174616,0.5548387096774193,0.5434482908461209,
M3_Deep,M_ship_GNN,full,257,4.160727695788734,3.0014423545799644,-0.0021540194454450212,0.5175097276264592,0.6551736439142513,
M3_Deep,M_ship_GNN,early(<2023-01-01),102,5.201330814437086,3.7359081765261375,-0.0024343080825859342,0.5588235294117647,0.6176978269746867,
M3_Deep,M_ship_GNN,late(>=2023-01-01),155,3.301615846561937,2.518116458847644,-0.0016967519336505976,0.49032258064516127,0.6274790907204016,
M4_Deep,M4_Deep_gated,full,257,4.179645672391654,3.0352921305550105,-0.006710608503551541,0.49416342412451364,0.9462150580553539,
M4_Deep,M4_Deep_gated,early(<2023-01-01),102,5.259338869492661,3.8370871538385556,-0.013613997782662146,0.46078431372549017,0.9948902134565477,
M4_Deep,M4_Deep_gated,late(>=2023-01-01),155,3.2806959600048864,2.5076592765232584,0.0046502561341836834,0.5161290322580645,0.24292821150338018,
M4_Deep,M4_Deep_Concat,full,257,4.496450109086841,3.1697751305029165,-0.08301621243278134,0.45136186770428016,0.9228186090562246,
M4_Deep,M4_Deep_Concat,early(<2023-01-01),102,5.85152000645794,4.134827453723323,-0.12774299850794923,0.38235294117647056,0.9175983290928421,
M4_Deep,M4_Deep_Concat,late(>=2023-01-01),155,3.3151977799138717,2.5347084403836813,-0.005817454994177629,0.4967741935483871,0.69242994921007,
Deep_all,M1_Deep,full,257,4.249855085312962,3.1153579377589478,-0.023621267048500094,0.49416342412451364,0.9773295200392804,0.4663425407073484
Deep_all,M1_Deep,early(<2023-01-01),102,5.2579428624492115,3.8339057294805365,-0.013344950224526864,0.5,0.8563269959549631,0.27371584712252317
Deep_all,M1_Deep,late(>=2023-01-01),155,3.428399135960625,2.6425071328840968,-0.04016228368907182,0.49032258064516127,0.9570813226172404,0.7773037381483733
Deep_all,M_ship_GNN,full,257,4.160727695788734,3.0014423545799644,-0.0021540194454450212,0.5175097276264592,0.6551736439142513,0.09157372941627684
Deep_all,M_ship_GNN,early(<2023-01-01),102,5.201330814437086,3.7359081765261375,-0.0024343080825859342,0.5588235294117647,0.6176978269746867,0.15329185224901365
Deep_all,M_ship_GNN,late(>=2023-01-01),155,3.301615846561937,2.518116458847644,-0.0016967519336505976,0.49032258064516127,0.6274790907204016,0.16918633950376372
Deep_all,M_rs_deep,full,257,4.2473340827514265,3.1037330644893424,-0.02301405767677589,0.4591439688715953,0.9908260022789305,0.4572924772135203
