arm,n_shipping_cols,model,RMSE,skill_vs_M0,DM_p_vs_M0,DM_p_vs_M1
locked_M3,113,M3_Flat_Ridge,4.447107712921947,-0.0711315892944377,0.947125146915598,0.8473964799506511
locked_M3,113,M3_Flat_XGB,4.4080070771629805,-0.0617137993899501,0.9903624945946056,0.6326258075114058
m3_sar_cp,131,M3_Flat_Ridge,4.516588294523855,-0.0878667013269398,0.9706188470708708,0.9026489909682
m3_sar_cp,131,M3_Flat_XGB,4.5279388383015,-0.0906005964292728,0.9991317749211668,0.8966458525498999
m3_sar_all,164,M3_Flat_Ridge,4.5529034531106545,-0.0966135804321011,0.9846130930246092,0.9357539739818438
m3_sar_all,164,M3_Flat_XGB,4.357003168787217,-0.0494289839626072,0.8953768119647967,0.4708298253853417
locked_M4,113,M4_Flat_Ridge,4.536062411735474,-0.092557242565322,0.9787377953802966,0.9382960515210028
locked_M4,113,M4_Flat_XGB,4.506073736788279,-0.0853341620530854,0.9942304040424812,0.8465006538754124
m4_sar_cp,131,M4_Flat_Ridge,4.551494568801899,-0.0962742361692254,0.9798004804116224,0.9364349294459932
m4_sar_cp,131,M4_Flat_XGB,4.514098743364866,-0.0872670673487006,0.9990380266703583,0.8576240095512518
m4_sar_all,164,M4_Flat_Ridge,4.538555984310354,-0.0931578451429009,0.9800787061225325,0.9332411126199373
m4_sar_all,164,M4_Flat_XGB,4.4121395116903415,-0.0627091387090508,0.9459031394922234,0.6088025977870015
