axis,lag_weeks,locked,model,n_test,RMSE,skill_vs_M0,DM_p_vs_M0,DM_p_vs_M1
GFW monthly presence,1,False,M3_Flat_Ridge,257,4.477659054789548,-0.0784901939161861,0.9934060131738512,0.9363375260057046
GFW monthly presence,1,False,M3_Flat_XGB,257,4.6927803903451215,-0.1303043780825024,0.9917554357831851,0.9448869544799235
GFW monthly presence,4,True,M3_Flat_Ridge,257,4.5529034531106545,-0.0966135804321011,0.9846130930246092,0.9357539739818438
GFW monthly presence,4,True,M3_Flat_XGB,257,4.357003168787217,-0.0494289839626072,0.8953768119647967,0.4708298253853417
GFW monthly presence,8,False,M3_Flat_Ridge,257,4.4641616014408365,-0.0752391935829079,0.99279483059204,0.9396229171026416
GFW monthly presence,8,False,M3_Flat_XGB,257,4.32308949259974,-0.0412605265699614,0.870315031254149,0.3820662726180555
MONTHLY_LAG_WEEKS,3,False,M1_Flat_Ridge,257,4.255119594128729,-0.0248892780926899,0.9459886368537072,
MONTHLY_LAG_WEEKS,3,False,M1_Flat_XGB,257,4.398832018497854,-0.0595038922313513,0.9918210131136564,
MONTHLY_LAG_WEEKS,5,True,M1_Flat_Ridge,257,4.256348943170461,-0.0251853794416727,0.9429066209831216,
MONTHLY_LAG_WEEKS,5,True,M1_Flat_XGB,257,4.368428737773503,-0.0521809496573695,0.9825397846770564,
MONTHLY_LAG_WEEKS,7,False,M1_Flat_Ridge,257,4.24446805822817,-0.0223237462202685,0.92415225719922,
MONTHLY_LAG_WEEKS,7,False,M1_Flat_XGB,257,4.387474059394255,-0.0567682110715652,0.9852282204712682,
