contract,lookback,model,test_weeks,M0_RMSE,M1_RMSE,M2_RMSE,M2_skill_vs_M0,CW_p_vs_M1,DM_p_vs_M1
anom,1,Ridge,260,4.13664431077246,4.188317765507916,4.229539364142303,-0.022456620968820173,0.44694887504055947,0.7208332989263126
anom,1,XGB,260,4.13664431077246,4.47937331770215,4.5102643698481035,-0.09031959989953187,0.056869174917209,0.6228155716245726
anom,4,Ridge,257,4.1517846708743695,4.256348943170461,4.413588772342179,-0.06305820802904827,0.47381953769779916,0.9560576300691846
anom,4,XGB,257,4.1517846708743695,4.368428737773503,4.440163806219409,-0.06945907801242157,0.08527349668640949,0.8215103716503945
anom,8,Ridge,253,4.1717189185248165,4.339442586697888,4.526019755210003,-0.0849292206893153,0.12182037903114185,0.962505410835077
anom,8,XGB,253,4.1717189185248165,4.645899801753014,4.6682541291874164,-0.11902412898858072,0.07013230015553806,0.5834093446369191
literature,1,Ridge,260,4.13664431077246,4.188317765507916,4.15272330546394,-0.00388696573442604,0.02702964384994655,0.07340951230939724
literature,1,XGB,260,4.13664431077246,4.47937331770215,4.333621735943003,-0.047617684860548515,0.0006973208921098317,0.021912681762564553
literature,4,Ridge,257,4.1517846708743695,4.256348943170461,4.2522246707023035,-0.024192006038401104,0.128526947767568,0.45781338128778726
literature,4,XGB,257,4.1517846708743695,4.368428737773503,4.321592057275716,-0.04089985388514483,0.021747033166103935,0.31920261723827914
literature,8,Ridge,253,4.1717189185248165,4.339442586697888,4.347807775059112,-0.04221014406132695,0.27853308503359975,0.6237600591694269
literature,8,XGB,253,4.1717189185248165,4.645899801753014,4.605627513581179,-0.10401194412441361,0.01825633174644381,0.32930723022701025
level,1,Ridge,260,4.13664431077246,4.188317765507916,4.188317765507916,-0.012491635938069567,,
level,1,XGB,260,4.13664431077246,4.47937331770215,4.47937331770215,-0.08285194016734065,,
level,4,Ridge,257,4.1517846708743695,4.256348943170461,4.256348943170461,-0.02518537944167276,,
level,4,XGB,257,4.1517846708743695,4.368428737773503,4.368428737773503,-0.052180949657369524,,
level,8,Ridge,253,4.1717189185248165,4.339442586697888,4.339442586697888,-0.04020493025747296,,
level,8,XGB,253,4.1717189185248165,4.645899801753014,4.645899801753014,-0.11366558785218328,,
